coarseRadiusM,tauM,rmseCm,medianCm,p95Cm,maxCm,above30cm,above50cm,frame851Cm,fineUsedFrames
1.5,0.15,12.6521685297203,9.13149915862793,22.9660817571608,39.3367952946684,18,0,4.89819696258216,1124
1.5,0.2,12.8881754834639,9.16162959112678,23.6182465956241,39.3367952946684,23,0,4.89819696258216,1158
1.5,0.3,12.9995191554263,9.12710791685228,23.729358898794,46.2088159956691,26,0,4.89819696258216,1168
1.5,0.4,13.077318540045,9.12710791685228,23.7526234656988,53.0923907284944,27,1,4.89819696258216,1169
1.5,0.6,13.077318540045,9.12710791685228,23.7526234656988,53.0923907284944,27,1,4.89819696258216,1169
1.5,Inf,13.077318540045,9.12710791685228,23.7526234656988,53.0923907284944,27,1,4.89819696258216,1169
2,0.15,12.6555804628044,9.15583292690279,23.1507953704785,39.3367952946684,17,0,4.89819696258216,1121
2,0.2,12.7241171863416,9.11667319931447,23.1836461762875,39.3367952946684,20,0,4.89819696258216,1154
2,0.3,12.7897857678466,9.09449786569514,23.3895869621883,44.2570381452487,22,0,4.89819696258216,1168
2,0.4,12.7860613804272,9.09449786569514,23.3895869621883,44.2570381452487,22,0,4.89819696258216,1169
2,0.6,12.7860613804272,9.09449786569514,23.3895869621883,44.2570381452487,22,0,4.89819696258216,1169
2,Inf,12.7860613804272,9.09449786569514,23.3895869621883,44.2570381452487,22,0,4.89819696258216,1169
