frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.506274,55,104,43,65,55,1.42759656467205,0.130909090909091,11,1,1,1,1,0,22.6353158671475,12,13,12,12,12,0.499230176602706,0,237,169,146,151,197,0.378982572007195,0.394287537970701,33,47,0.56051761418846,0.811777512916128,2.0549318848975,9,1,0.253467750779064,0.0250823767902135,0,6,9,0.186014635032477,0.163140110293659,0.835875479362177,26212,25243,50416,41164
11,0.059518,0.112747,56,166,53,103,56,1.28461465980452,0.032142857142857,10,1,1,1,1,0,23.4753772279674,13,14,13,13,13,0.345525332069938,0,232,154,108,115,157,0.785041728411479,0.687879489241865,37,75,0.558414866952499,0.848471402385891,1.82522916912524,8,1,0.240889701020717,0.0123699515251132,0,8,11,0.200695432026784,0.139158646088995,0.543520746681582,26182,25184,50271,41077
21,0.063529,0.173006,70,108,56,89,70,0.505595431994317,0.119999999999999,11,2,2,2,3,0,18.1006831620282,9,10,9,9,9,0.483735464897913,0,246,217,180,188,219,0.350070457447658,0.252385806004338,42,49,0.672466770128676,0.79338474645913,0.769760412242538,10,2,0.194192396352999,0.0537315479520396,0.0416321343131396,5,8,0.133340833518326,0.15288370558883,0.751070354663721,26086,25158,49683,41057
31,0.055847,0.049847,51,195,47,95,51,2.32438854093904,0.0519319242632129,13,2,2,2,2,0,15.2171894357348,11,13,11,11,11,1.60104515352403,0,221,143,118,122,162,0.420256449677183,0.579660783020605,36,98,0.614786689244387,0.865434447739609,3.05606139892041,6,2,0.217735673729377,0.0360140630887163,0.0100446860013462,4,8,0.167477637026236,0.0985514891716743,2.73732386220292,25576,24692,48534,40458
41,0.056999,0.049062,55,153,45,84,53,2.50472413612309,0.135427784316797,11,1,1,1,1,0,24.9655495344229,14,15,14,14,14,0.282842712474619,0,243,202,150,157,200,0.635361499442423,0.404554989364346,33,73,0.527017874558778,0.830879321048314,3.44834535218682,13,1,0.278670360420849,0.0221569499145757,0.0430435258675456,10,11,0.194311765020374,0.14696372903711,0.481503845526132,25898,25000,48291,40807
51,0.057744,0.037554,25,71,19,30,25,4.9651761582601,0.143999999999999,8,3,3,3,3,0,6.88771023634934,9,10,9,9,9,1.56460857724864,0,874,285,239,251,289,0.25013074438545,3.56607805446805,17,44,0.485673341157509,0.716172307125865,6.33272749583755,7,3,0.291738119722936,0.100467100460448,0.0322806279065468,7,8,0.222588539119555,0.183360592413687,2.09723452041397,26031,25384,48838,41471
61,0.058125,0.029305,54,40,12,25,17,1.43535675274319,6.76502452033826,10,4,3,3,3,1.69705627484771,6.66657941641228,8,10,8,8,8,0.919036743786047,0,324,99,95,99,122,0.024242424242424,2.14788625016611,41,24,0.668988893396006,0.645464505317745,1.80187084845067,8,3,0.22071100630978,0.150263755030091,0.0131943664078945,5,8,0.110300100294214,0.204271739652164,1.23734842580041,26771,25763,49217,41266
71,0.05916,0.025143,15,18,6,16,15,0.502149836741534,0.36,13,5,5,5,6,0,8.38769309683926,13,15,13,13,13,0.612691162524032,0,41,36,30,36,40,0.0999999999999996,0.17560975609756,9,9,0.338314339741056,0.35765097622395,0.672549245242637,9,5,0.383167190637728,0.293164177250336,0.028027967694338,8,9,0.278518469621217,0.349184846525714,1.16882267645649,26709,25574,48975,41137
81,0.062528,0.024725,56,42,23,37,28,0.434584945712821,1.92492699854935,9,2,2,2,2,0,11.1548377132385,14,14,14,14,14,0,0,66,2066,37,67,56,11.760256583243,0.396433626082827,41,22,0.657339938363361,0.628070886459856,0.812854032748131,6,2,0.150320696265789,0.102522829838719,0.012285260920791,11,9,0.19233936537085,0.269406283701425,0.144805905559017,26235,25265,48610,41410
91,0.056156,0.025999,75,177,24,58,28,2.53245501622362,4.58554850009603,11,1,1,1,1,0,15.6577980086031,19,19,19,19,19,0,0,230,40,40,40,66,0,2.42196371949777,47,80,0.665731091972243,0.855058860371916,3.06110469295504,8,1,0.173187641921523,0.0176136645918215,0.00970326011081261,13,12,0.161081266106234,0.127327475036263,0.10343904392658,25776,24802,48924,42869
101,0.061995,0.023925,109,105,47,76,51,0.789913302227402,4.25961191154939,15,4,4,4,4,0,9.8137425864952,17,17,17,17,17,0,0,209,1355,171,201,191,9.83028525276502,0.176984937809663,66,47,0.649108542194796,0.731796344416822,1.13619692511645,12,4,0.210090086604659,0.115264591559045,0.0404502727728676,9,8,0.140801371200545,0.152939064024133,0.0992538658693266,24016,22881,49462,42979
111,0.054704,0.026885,163,109,65,94,84,0.469976943333918,4.01664619085225,16,5,4,4,5,1.44996551683135,5.74131512553638,12,12,12,12,12,0,0,193,799,175,209,189,10.0873775202374,0.0683937823834195,101,50,0.747465851540012,0.749069985708222,0.710442431628833,16,5,0.190945594184195,0.127671071687895,1.48825690426383,8,7,0.0615885542757932,0.123258942603883,0.0812590743664839,23109,22175,50572,45488
121,0.048599,0.025626,129,93,56,86,59,0.441654358229743,4.19086367648034,11,3,1,1,1,8.93504397243585,22.9332663631874,9,9,9,9,9,0,0,189,594,159,187,173,5.998125682805,0.149955771357142,75,43,0.744835977949183,0.76596555817057,0.745094261872874,9,3,0.165524867166299,0.0897673139204363,8.88626445065563,7,7,0.0896391548845182,0.144267127908994,0.149034184678356,22826,20675,50546,47211
131,0.054258,0.027991,125,191,101,171,125,0.371958331260669,0.121164675298173,8,1,1,1,1,0,16.9529073314729,6,6,6,6,6,0,0,193,155,108,114,144,0.897949792161853,0.483707797499847,85,78,0.803683660854112,0.918256127016333,0.547179020869642,7,1,0.109675916402914,0.0213110723734269,0,5,4,0.086640422742974,0.0604328006102407,0.146691196073857,20342,18281,50658,48445
141,0.056333,0.027859,125,81,49,74,55,0.36478916740927,4.47435623707959,8,2,1,1,1,13.2034086507992,14.8283187928969,5,5,5,5,5,0,0,204,492,171,201,186,6.09454088055076,0.156576670522058,88,35,0.83979207158891,0.785700851329082,0.707626869699048,7,2,0.110702455002356,0.0895228194683384,13.1284523666067,3,4,0.0495054734087335,0.12477632920258,0.120485465656548,19755,17631,50340,48230
151,0.054622,0.043586,97,53,35,44,39,0.898447263917577,5.42268249338689,8,3,3,3,3,0,4.36006406148022,0,0,0,0,0,NaN,NaN,209,494,193,224,209,3.5441954273704,0.0471221441982001,70,33,0.858242501487265,0.853475483326526,0.995495914433387,6,3,0.115968741119714,0.146524516673474,0.0355829599246502,0,0,0.0257887573930219,0,NaN,20607,18640,50448,47821
161,0.055985,0.027483,108,72,45,69,48,0.253451779686442,4.45864026294867,3,4,3,3,3,0.948683298050514,0,3,3,3,3,3,0,0,200,446,172,207,189,2.81476481596403,0.118950844619619,80,30,0.883132698221833,0.770029754379474,0.463129258411778,3,4,0.0725083959675594,0.193705352422214,1.03500603728363,2,1,0.0443589058106072,0.0362648931983124,0.179246110333249,21035,18767,51457,47066
171,0.053759,0.025896,111,188,104,175,111,0.40479126430256,0.0378378378378379,6,1,1,1,1,0,17.6748136012609,2,2,2,2,2,0,0,190,156,125,131,158,0.401912225821454,0.323799887549197,74,80,0.875466106485706,0.94126901631073,0.794006133818051,4,1,0.0930444312406894,0.0230490201484514,0.0357132233491396,2,2,0.0314894622736048,0.0356819635408182,0.188131410700088,19086,17360,48098,45337
181,0.049072,0.024567,121,149,97,141,121,0.286721305448476,0.121062216011767,4,2,2,2,2,0,8.69587749219684,4,4,4,4,4,0,0,205,227,169,179,190,0.632878610970129,0.154117622193636,78,65,0.854610691960338,0.924663889854873,0.558379683599188,4,2,0.0893887826313685,0.0392026876972115,0.0130006377804984,3,2,0.0560005254082935,0.0361334224479161,0.0776499543236066,18579,16822,44508,41952
191,0.049752,0.02354,114,91,55,86,56,0.297492494435647,4.82684445786989,4,2,2,2,2,0,2.04213401825412,0,0,0,0,0,NaN,NaN,239,1396,211,246,225,8.85508232813989,0.111052890320083,76,39,0.92036357554401,0.921051371705076,0.470343007338096,3,2,0.0796364244559896,0.0789486282949243,0.0174596610325113,0,0,0,0,NaN,20365,19388,45800,43959
201,0.052166,0.027773,126,137,106,125,126,0.384388620067108,0.0952380952380955,6,2,2,2,2,0,13.3495693965856,3,3,3,3,3,0,0,254,298,235,247,254,0.479282619285638,0.0458603469977316,71,54,0.84515323504989,0.896652155064805,0.707068714718976,7,2,0.124831706428262,0.0530382860162836,0.0239068506381374,2,3,0.0300150585218473,0.050309558918911,0.152953582549302,21360,19861,48969,46506
211,0.051461,0.02562,106,157,95,139,106,0.389950047711707,0.0622641509433961,5,2,2,2,3,0,6.19365514207735,2,2,2,2,2,0,0,286,293,222,233,260,0.559994804479019,0.200935535128038,61,61,0.889932307375193,0.928762209789202,0.672439122679767,3,2,0.0808594432429172,0.050471504272375,0.0507781420892893,1,1,0.0292082493818897,0.0207662859384234,0.0550099905095722,22161,21257,50461,47838
221,0.051353,0.026811,51,113,49,63,51,8.82718381214371,0.0235294117647058,5,2,2,2,2,0,13.4639682726108,4,4,4,4,4,0,0,801,705,632,642,674,0.194159463747231,0.531719262012428,31,56,0.707130028502043,0.851923049656871,11.7082580266232,4,2,0.170205796273397,0.0775800225194766,0.0400112565914083,5,4,0.12266417522456,0.0704969278236525,0.0954166254738128,22536,21484,49730,45000
231,0.05115,0.02626,131,73,46,66,66,0.356395274289445,4.76572294514056,3,3,3,3,3,0,0,5,5,5,5,5,0,0,284,1981,245,289,263,11.1585072133709,0.144037219821196,85,36,0.859398231410246,0.772815074466741,0.690572246633363,3,3,0.0785384717667052,0.139063504504647,0.00179884896448169,4,3,0.0620632968230492,0.0881214210286124,0.0119016246048908,21925,20400,48757,44062
241,0.049734,0.029052,122,83,61,73,61,0.481643224356926,4.70807041634946,5,0,0,0,0,NaN,NaN,5,5,5,5,5,0,0,241,1088,225,261,240,10.7846264432778,0.0423236514522822,73,34,0.844139211379378,0.901189110595231,1.08700722892368,4,0,0.0780290373175446,0,NaN,5,3,0.077831751303078,0.098810889404769,0.0790585653508964,20473,19163,48433,45602
