frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.55514,55,70,47,61,54,0.457757444776035,0.102700511589524,11,5,2,2,2,5.88888883896282,12.1896777562672,12,13,12,12,12,0.499230176602706,0,237,245,181,191,223,0.734160819064881,0.196288376080455,33,34,0.56051761418846,0.702198604063147,0.876654990271075,9,4,0.253467750779064,0.115995310868243,5.40350128577609,6,9,0.186014635032477,0.18180608506861,0.835875479362177,26212,25243,50416,41164
11,0.059518,0.120162,56,63,41,52,55,0.540517084338584,0.175866573882569,10,6,3,4,3,1.32340761322782,8.03735110874609,13,14,13,13,13,0.345525332069938,0,232,263,188,200,223,0.803390284994211,0.146693144875186,37,31,0.558414866952499,0.647118188482551,0.825090132274332,8,4,0.240889701020717,0.123696406764014,0.916213918084196,8,11,0.200695432026784,0.229185404753435,0.543520746681582,26182,25184,50271,41077
21,0.063529,0.202413,70,64,41,58,70,0.345268003618604,0.266323438387419,11,10,3,3,4,9.71020300514381,6.31027765389063,9,10,9,9,9,0.483735464897913,0,246,264,203,215,239,0.516203633686091,0.127002604419184,42,30,0.672466770128676,0.590244205491743,0.499512424062903,10,9,0.194192396352999,0.23461379184017,10.0160051119433,5,8,0.133340833518326,0.175142002668088,0.751070354663721,26086,25158,49683,41057
31,0.055847,0.061158,51,70,33,47,46,2.04482341312332,0.281015876674973,13,13,9,10,9,3.98209369496198,4.63995612076405,11,13,11,11,11,1.60104515352403,0,221,263,185,202,215,0.710418781551776,0.120774519568069,36,37,0.614786689244387,0.612037069151715,2.64922304370533,6,10,0.217735673729377,0.234719916660237,3.23864612106508,4,8,0.167477637026236,0.153243014188048,2.73732386220292,25576,24692,48534,40458
41,0.056999,0.044833,55,43,29,33,44,1.46895534585301,0.614653954566922,11,11,4,4,4,5.34387874346023,7.66193755896358,14,15,14,14,14,0.282842712474619,0,243,245,223,242,242,0.0658602176987562,0.0518518518518519,33,21,0.527017874558778,0.485300397998156,1.58053409017006,13,9,0.278670360420849,0.281962331383793,4.89762428754655,10,11,0.194311765020374,0.23273727061805,0.481503845526132,25898,25000,48291,40807
51,0.057744,0.035914,25,10,0,0,0,10.8578614585399,13.6894952555598,8,6,4,4,5,3.46206861205162,3.58437690545024,9,10,9,9,9,1.56460857724864,0,874,1679,829,912,862,3.71255539666262,0.0413898864059453,17,5,0.485673341157509,0.229990132928262,10.9277684633688,7,6,0.291738119722936,0.412612447441011,3.50803340818526,7,8,0.222588539119555,0.357397419630726,2.09723452041397,26031,25384,48838,41471
61,0.058125,0.042453,54,23,0,2,1,3.01217296694087,10.6200797947854,10,9,4,4,4,7.54946105710841,5.3411360943498,8,10,8,8,8,0.919036743786047,0,324,1978,324,381,324,8.45328100483751,0,41,8,0.668988893396006,0.313719197307603,3.17326672366435,8,8,0.22071100630978,0.451849759650788,7.67878975373979,5,8,0.110300100294214,0.234431043041609,1.23734842580041,26771,25763,49217,41266
71,0.05916,0.042235,15,38,10,17,15,2.4058040126144,0.216568542494923,13,12,10,10,11,4.36835449160637,1.02739807502166,13,15,13,13,13,0.612691162524032,0,41,64,34,50,41,0.523391504294496,0.102439024390243,9,23,0.338314339741056,0.507673683877218,2.90786417425627,9,9,0.383167190637728,0.289149814006619,2.92436465241236,8,9,0.278518469621217,0.203176502116163,1.16882267645649,26709,25574,48975,41137
81,0.062528,0.040656,56,130,49,80,55,1.58298699773344,0.0857142857142855,9,8,6,6,7,3.53831463473507,1.49839800189906,14,14,14,14,14,0,0,66,16,2,5,7,1.48020509831248,3.42256052450224,41,56,0.657339938363361,0.77153118216397,1.97744112486842,6,7,0.150320696265789,0.12741297001921,4.06932052696822,11,9,0.19233936537085,0.10105584781682,0.144805905559017,26235,25265,48610,41410
91,0.056156,0.037386,75,124,19,38,23,2.81149017599171,4.98079459074671,11,12,8,9,9,3.27638853411309,1.02620793452997,19,19,19,19,19,0,0,230,43,43,43,75,0,2.49708952341455,47,53,0.665731091972243,0.705720796503273,2.92630867388186,8,9,0.173187641921523,0.165437254117799,4.44117134817437,13,12,0.161081266106234,0.128841949378928,0.10343904392658,25776,24802,48924,42869
101,0.061995,0.042099,109,189,95,149,109,0.662482952754198,0.0770642201834859,15,11,8,8,9,4.01661479598915,4.08514163627353,17,17,17,17,17,0,0,209,207,145,149,188,1.00538313430504,0.258454981266326,66,80,0.649108542194796,0.771426175557904,0.981715817182439,12,11,0.210090086604659,0.152122155765817,4.09283159913193,9,8,0.140801371200545,0.0764516686762798,0.0992538658693266,24016,22881,49462,42979
111,0.054704,0.051029,163,101,64,97,86,0.296760630424492,4.11760664793682,16,13,7,7,8,4.76763726123314,4.11456239343087,12,12,12,12,12,0,0,193,751,187,216,192,10.3597888334796,0.0230493685876884,101,37,0.747465851540012,0.611867024857256,0.52281439302342,16,12,0.190945594184195,0.282319155206198,3.69953031888143,8,7,0.0615885542757932,0.105813819936546,0.0812590743664839,23109,22175,50572,45488
121,0.048599,0.041626,129,180,99,174,127,0.312477539277408,0.154586362686045,11,12,5,5,5,9.09014633141715,3.42166550388299,9,9,9,9,9,0,0,189,209,163,172,181,0.487930725909309,0.111315857467448,75,72,0.744835977949183,0.77650544006406,0.501589998967858,9,11,0.165524867166299,0.156552825064311,8.96445454612354,7,7,0.0896391548845182,0.0669417348716293,0.149034184678356,22826,20675,50546,47211
131,0.054258,0.046976,125,193,95,171,125,0.428992150818532,0.149964675298173,8,8,3,3,3,12.2413456988904,5.86837219425127,6,6,6,6,6,0,0,193,225,166,177,185,0.74043223150631,0.110829890797532,85,81,0.803683660854112,0.862401406467675,0.66324541636666,7,6,0.109675916402914,0.0888639843535614,15.1079675516014,5,4,0.086640422742974,0.0487346091787635,0.146691196073857,20342,18281,50658,48445
141,0.056333,0.04623,125,62,36,51,55,0.448043618460773,5.20845407535023,8,7,3,3,4,16.2718388256998,3.81434778644064,5,5,5,5,5,0,0,204,323,202,229,204,1.0273767513549,0.00588235294117645,88,30,0.83979207158891,0.718906870159557,0.667829297424658,7,7,0.110702455002356,0.191916256045068,16.3639551271253,3,4,0.0495054734087335,0.0891768737953756,0.120485465656548,19755,17631,50340,48230
151,0.054622,0.054136,97,64,37,56,39,0.65338209399356,5.46135557603497,8,7,4,5,4,9.22380407139249,2.8009273663497,0,0,0,0,0,NaN,NaN,209,374,193,220,209,1.64313211205545,0.0471221441982001,70,32,0.858242501487265,0.838868692517684,1.1465645719309,6,5,0.115968741119714,0.161131307482315,6.46039407923242,0,0,0.0257887573930219,0,NaN,20607,18640,50448,47821
161,0.055985,0.046514,108,149,86,135,108,0.386188496273199,0.126824595137478,3,6,3,3,3,5.54876168858902,0,3,3,3,3,3,0,0,200,212,167,175,196,0.570156564501003,0.117921407368096,80,64,0.883132698221833,0.872437191793945,0.580421203024677,3,5,0.0725083959675594,0.110069989666383,3.81357468593358,2,1,0.0443589058106072,0.0174928185396712,0.179246110333249,21035,18767,51457,47066
171,0.053759,0.033452,111,144,84,134,111,0.34548134495509,0.148184938174989,6,3,3,3,3,0,10.1334367387468,2,2,2,2,2,0,0,190,209,174,182,187,0.331570847981563,0.0620535206522302,74,59,0.875466106485706,0.90097269797275,0.610408921837389,4,3,0.0930444312406894,0.0621215129648509,0.166072288622258,2,2,0.0314894622736048,0.0369057890623991,0.188131410700088,19086,17360,48098,45337
181,0.049072,0.031458,121,150,97,141,121,0.279079906117118,0.11900826446281,4,4,2,2,2,3.02167319141746,8.69587749219684,4,4,4,4,4,0,0,205,249,191,202,205,0.543226685502889,0.0434002745114522,78,58,0.854610691960338,0.88892094126683,0.567780533039511,4,4,0.0893887826313685,0.0776041210007629,3.07774271452048,3,2,0.0560005254082935,0.033474937732407,0.0776499543236066,18579,16822,44508,41952
191,0.049752,0.03779,114,142,100,134,114,0.311227823189211,0.0758642819072268,4,6,2,2,2,6.40023679124107,1.59852813742386,0,0,0,0,0,NaN,NaN,239,274,213,227,239,0.546087340415629,0.0673516998947604,76,65,0.92036357554401,0.91976247546847,0.533712418580634,3,5,0.0796364244559896,0.0802375245315304,4.64211368078865,0,0,0,0,NaN,20365,19388,45800,43959
201,0.052166,0.035691,126,134,106,129,126,0.195118617414365,0.0952380952380955,6,3,2,2,2,1.28062484748657,10.7405430684294,3,3,3,3,3,0,0,254,300,235,247,254,0.502395062508061,0.0458603469977316,71,51,0.84515323504989,0.874370726567991,0.47330747922076,7,3,0.124831706428262,0.0755003319418017,1.2974015131593,2,3,0.0300150585218473,0.0501289414902068,0.152953582549302,21360,19861,48969,46506
211,0.051461,0.046252,106,118,81,99,105,0.436730699731093,0.148506045155659,5,4,2,2,3,5.69772675074119,1.39882250993908,2,2,2,2,2,0,0,286,344,259,273,283,0.566696626140703,0.063806042438545,61,53,0.889932307375193,0.888957327574701,0.714989479179142,3,4,0.0808594432429172,0.0921717205814915,5.88977011936257,1,1,0.0292082493818897,0.0188709518438072,0.0550099905095722,22161,21257,50461,47838
221,0.051353,0.037708,51,85,47,59,51,2.46684376849158,0.0470588235294119,5,4,4,4,4,0,2.88998269891015,4,4,4,4,4,0,0,801,328,307,310,363,0.0790004498727777,3.34433907932208,31,44,0.707130028502043,0.812048643519228,3.62798413555155,4,3,0.170205796273397,0.117271280878136,0.0266741710609388,5,4,0.12266417522456,0.070680075602636,0.0954166254738128,22536,21484,49730,45000
231,0.05115,0.034894,131,146,80,128,120,0.421305466144415,0.317762764585789,3,3,3,3,3,0,0,5,5,5,5,5,0,0,284,353,257,275,284,0.778392090320441,0.0596675507474351,85,64,0.859398231410246,0.877502213476663,0.66003048516679,3,3,0.0785384717667052,0.0754849886328194,0.00179884896448169,4,3,0.0620632968230492,0.0470127978905176,0.0119016246048908,21925,20400,48757,44062
241,0.049734,0.034778,122,169,96,146,121,0.544761030093599,0.135984991179703,5,11,5,5,5,7.00545724313774,0,5,5,5,5,5,0,0,241,283,211,221,233,0.815084538764337,0.103427063319996,73,74,0.844139211379378,0.840905102432749,0.922011242855369,4,8,0.0780290373175446,0.120712517210749,8.68837338812941,5,3,0.077831751303078,0.0383823803565026,0.0790585653508964,20473,19163,48433,45602
251,0.049455,0.032246,104,129,66,106,102,0.472729855115993,0.232131161408653,3,4,1,1,1,17.9784388402181,13.4,9,9,9,9,9,0,0,227,270,211,216,227,0.61214251004575,0.0422907488986783,90,65,0.921228738517065,0.89316058327075,0.6958514755815,2,4,0.0339189260168125,0.0672958556114424,18.2582341691155,4,3,0.0448523354661222,0.0395435611178073,0.144614275820049,19395,18020,50116,48282
261,0.043135,0.03061,103,60,27,55,41,0.591083705696377,5.6999020383387,2,2,2,2,2,0,0,3,3,3,3,3,0,0,217,325,213,238,217,0.803508726672941,0.0110599078341013,64,33,0.91342277776677,0.859283745767664,0.682417459011081,2,2,0.0540361453413085,0.0809424569890167,0.0261614515841721,1,2,0.0325410768919218,0.0597737972433191,0.197776985751507,18151,16705,51936,50451
271,0.046322,0.033143,135,72,47,70,71,0.242258898432212,4.4494141448459,3,9,3,3,3,12.3845759605425,0,3,3,3,3,3,0,0,212,285,212,231,212,0.596621941042189,0,78,34,0.865011524872075,0.797016309415268,0.425131833491197,2,7,0.0863281240135478,0.178329669772224,13.4935318797905,3,1,0.0486603511143768,0.0246540208125075,0.00612686285038549,19763,17800,53681,51332
281,0.045965,0.035261,143,71,45,61,67,0.537889703153855,4.80063440243051,8,5,3,3,4,1.34593400423758,2.98094816159245,2,2,2,2,2,0,0,195,307,194,216,195,1.07821045332092,0.00307692307692307,80,38,0.862339379267724,0.82134518342121,0.972918239815976,5,5,0.118284739179358,0.155666818131729,1.32647388539929,1,1,0.019375881552918,0.0229879984470609,0.0181242096787999,19999,18591,54102,51290
291,0.048399,0.033843,86,76,39,61,44,0.76823562540515,4.29813303118032,6,3,3,3,3,0,7.46682392393585,0,0,0,0,0,NaN,NaN,224,326,199,211,216,1.20042151787705,0.0923536839230868,80,37,0.870188203338047,0.853459440662805,1.23155971837294,4,3,0.128086983974186,0.146540559337195,0.0180810240613957,0,0,0.00172481268776748,0,NaN,20604,19699,53588,51063
301,0.047005,0.031555,123,15,0,0,0,3.62702932085931,10.1598521113518,1,6,1,1,1,16.4458253177217,0,2,2,2,2,2,0,0,220,1284,220,258,220,9.13154332690823,0,74,7,0.95452120668677,0.446679409609401,3.72789853035457,1,5,0.0261388025647761,0.469872522925202,17.984269539764,1,1,0.0193399907484542,0.0834480674653965,1.77635683940025e-15,19064,18818,53064,50337
311,0.04886,0.030896,110,95,47,80,52,0.610358802063417,4.73477607444361,6,10,2,2,2,6.04068764530898,2.41655250605964,2,2,2,2,2,0,0,222,1305,207,225,222,9.73030314336589,0.0405405405405404,66,39,0.876945099054155,0.722808792738375,0.766797141384079,3,8,0.102680201779989,0.253335861991193,6.76594306063131,1,1,0.0203746991658566,0.0238553452704318,0,19005,18469,55468,53189
321,0.048589,0.030269,96,71,41,59,51,0.662495765144413,4.23246446074429,3,10,3,3,3,5.59909926523718,0,0,0,0,0,0,NaN,NaN,224,297,212,226,224,0.948492429635428,0.032142857142857,62,38,0.894470259863323,0.758370603940968,1.01349720119741,3,9,0.0916429068730653,0.241629396059032,5.58034709432403,0,0,0.0138868332636117,0,NaN,19098,18068,56676,54246
331,0.04521,0.049407,138,159,103,145,138,0.298160819684523,0.152173913043478,9,4,4,4,5,0,5.14179180034191,1,1,1,1,1,0,0,198,226,173,178,195,0.73383261967005,0.0868190349693119,77,70,0.797476358136932,0.883859366660856,0.55898486383007,8,4,0.194467116184572,0.100013566453963,0.0289288348258697,1,1,0.00805652567849581,0.0161270668851816,0.091318365621686,20292,19100,54419,52043
341,0.051665,0.034585,143,67,41,58,58,0.439293574720198,5.56865214895382,6,4,3,4,3,0.15,11.9837290424563,2,2,2,2,2,0,0,196,336,194,220,196,1.39803156337053,0.00612244897959181,76,32,0.830321610290028,0.861156561043528,0.565658004522097,7,3,0.13051480768058,0.0936040858958205,0.0332502515838765,3,2,0.0391635820293923,0.0452393530606519,0.0215103461581328,19765,18659,54258,51401
351,0.04895,0.032957,120,220,102,187,117,0.471686434577096,0.120047275714952,7,5,4,4,4,2.29259678094514,6.16090024270681,2,2,2,2,2,0,0,210,198,153,159,187,0.555115360779901,0.231778335699636,100,87,0.867139298329448,0.9053586645202,0.676270759750447,6,5,0.101178381583203,0.0741467371625767,2.33680775795168,2,2,0.0316823200873495,0.0204945983172236,0.0237053958191886,18906,17880,55203,52862
361,0.046314,0.032844,121,88,54,84,62,0.285570184172092,4.2881174458603,6,3,2,2,2,2.60768096208106,5.69031811158525,1,1,1,1,1,0,0,222,274,202,214,214,0.656777788422765,0.0763136972364858,82,33,0.878934663717864,0.863094658389681,0.607680775598435,6,3,0.0932448095680256,0.105052447848587,2.61769131388546,3,1,0.0278205267141101,0.0318528937617322,0.0440847283719281,17906,16313,55419,53869
371,0.044648,0.033676,135,124,97,115,133,0.320146038463736,0.178826968788888,5,4,2,2,2,6.51354751568669,6.84142614338137,1,1,1,1,1,0,0,204,232,194,199,204,0.343800270432042,0.0306300398893326,76,47,0.885541321353241,0.900986433188781,0.617623805559234,5,3,0.0912783747738334,0.0745252333333302,4.34551147593752,1,1,0.0231803038729258,0.0244883334778885,0.00568936822372131,16390,15144,55331,53968
381,0.040572,0.033092,119,187,108,158,118,0.406569781088594,0.0658714038768704,3,2,2,2,2,0,3.68781778291716,4,4,4,4,4,0,0,206,222,159,169,191,0.86768000492259,0.182476548174387,87,82,0.92487102135786,0.942511418402822,0.653611354112645,3,2,0.0584901418606691,0.0296288173165076,0.0227121036412396,1,2,0.0166388367814713,0.0278597642806707,0.228221914236834,15546,14972,55009,53598
