frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.554956,55,70,47,61,54,0.457757444776035,0.102700511589524,11,5,2,2,2,5.88888883896282,12.1896777562672,12,13,12,12,12,0.499230176602706,0,237,245,181,191,223,0.734160819064881,0.196288376080455,33,34,0.56051761418846,0.702198604063147,0.876654990271075,9,4,0.253467750779064,0.115995310868243,5.40350128577609,6,9,0.186014635032477,0.18180608506861,0.835875479362177,26212,25243,50416,41164
11,0.059518,0.116315,56,63,41,52,55,0.540517084338584,0.175866573882569,10,6,3,4,3,1.32340761322782,8.03735110874609,13,14,13,13,13,0.345525332069938,0,232,263,188,200,223,0.803390284994211,0.146693144875186,37,31,0.558414866952499,0.647118188482551,0.825090132274332,8,4,0.240889701020717,0.123696406764014,0.916213918084196,8,11,0.200695432026784,0.229185404753435,0.543520746681582,26182,25184,50271,41077
21,0.063529,0.207286,70,64,41,58,70,0.345268003618604,0.266323438387419,11,10,3,3,4,9.71020300514381,6.31027765389063,9,10,9,9,9,0.483735464897913,0,246,264,203,215,239,0.516203633686091,0.127002604419184,42,30,0.672466770128676,0.590244205491743,0.499512424062903,10,9,0.194192396352999,0.23461379184017,10.0160051119433,5,8,0.133340833518326,0.175142002668088,0.751070354663721,26086,25158,49683,41057
31,0.055847,0.059154,51,55,28,40,46,1.19659362587819,0.347489777144065,13,13,9,10,9,3.98209369496198,4.63995612076405,11,13,11,11,11,1.60104515352403,0,221,263,185,202,215,0.710418781551776,0.120774519568069,36,32,0.614786689244387,0.585737678006893,1.82558843720739,6,10,0.217735673729377,0.250631207164796,3.23864612106508,4,8,0.167477637026236,0.16363111482831,2.73732386220292,25576,24692,48534,40458
41,0.056999,0.044769,55,42,29,33,44,1.59741433111996,0.614653954566922,11,11,4,4,4,5.34387874346023,7.66193755896358,14,15,14,14,14,0.282842712474619,0,243,234,219,234,242,0.0416477966336391,0.0617283950617284,33,22,0.527017874558778,0.485014543122903,2.32699627511805,13,9,0.278670360420849,0.282118928176856,4.89762428754655,10,11,0.194311765020374,0.232866528700242,0.481503845526132,25898,25000,48291,40807
51,0.057744,0.035598,25,5,0,0,0,10.3357867433505,13.6894952555598,8,6,4,4,5,3.46206861205162,3.58437690545024,9,10,9,9,9,1.56460857724864,0,874,1680,829,912,862,3.71194273367234,0.0413898864059453,17,3,0.485673341157509,0.125261994291957,10.4318077161191,7,6,0.291738119722936,0.46873138233596,3.50803340818526,7,8,0.222588539119555,0.406006623372082,2.09723452041397,26031,25384,48838,41471
61,0.058125,0.038632,54,10,0,0,0,3.57411297558979,11.3875994629829,10,9,4,4,4,7.54946105710841,5.3411360943498,8,10,8,8,8,0.919036743786047,0,324,1985,324,381,324,8.43223668895143,0,41,6,0.668988893396006,0.241902074396752,3.32008883958239,8,8,0.22071100630978,0.499134412811375,7.67878975373979,5,8,0.110300100294214,0.258963512791873,1.23734842580041,26771,25763,49217,41266
71,0.05916,0.039709,15,10,6,10,15,0.240000000000001,0.393137084989847,13,12,10,10,11,4.36835449160637,1.02739807502166,13,15,13,13,13,0.612691162524032,0,41,44,34,44,41,0.147660369882902,0.102439024390243,9,8,0.338314339741056,0.322767267939561,0.326248607902801,9,9,0.383167190637728,0.397747819081917,2.92436465241236,8,9,0.278518469621217,0.279484912978523,1.16882267645649,26709,25574,48975,41137
81,0.062528,0.035525,56,39,14,24,17,1.4841769234199,3.94254590116075,9,8,6,6,7,3.53831463473507,1.49839800189906,14,14,14,14,14,0,0,66,16,2,5,7,1.48020509831248,3.42256052450224,41,20,0.657339938363361,0.501214922068423,1.97753162285275,6,7,0.150320696265789,0.278163509499733,4.06932052696822,11,9,0.19233936537085,0.220621568431845,0.144805905559017,26235,25265,48610,41410
91,0.056156,0.03605,75,104,19,32,23,2.63337042977106,4.98079459074672,11,12,8,9,9,3.27638853411309,1.02620793452997,19,19,19,19,19,0,0,230,43,43,43,75,0,2.49708952341455,47,46,0.665731091972243,0.672916946606726,2.66362120939386,8,9,0.173187641921523,0.183878852392132,4.44117134817437,13,12,0.161081266106234,0.143204201001142,0.10343904392658,25776,24802,48924,42869
101,0.061995,0.040554,109,182,95,147,109,0.642749516952045,0.0770642201834859,15,11,8,8,9,4.01661479598915,4.08514163627353,17,17,17,17,17,0,0,209,207,145,149,188,1.00538313430504,0.258454981266326,66,78,0.649108542194796,0.765827170412897,0.975217157332026,12,11,0.210090086604659,0.155848447413083,4.09283159913193,9,8,0.140801371200545,0.0783243821740202,0.0992538658693266,24016,22881,49462,42979
111,0.054704,0.038815,163,61,41,59,71,0.264234821033642,4.26268964264494,16,13,7,7,8,4.76763726123314,4.11456239343087,12,12,12,12,12,0,0,193,751,187,216,192,10.3597888334796,0.0230493685876884,101,25,0.747465851540012,0.486730172675821,0.529570411688248,16,12,0.190945594184195,0.373340873677897,3.69953031888143,8,7,0.0615885542757932,0.139928953646282,0.0812590743664839,23109,22175,50572,45488
121,0.048599,0.043199,129,139,97,136,127,0.21160537740209,0.163888688267441,11,12,5,5,5,9.09014633141715,3.42166550388299,9,9,9,9,9,0,0,189,209,163,172,181,0.487930725909309,0.111315857467448,75,65,0.744835977949183,0.75642078123926,0.412822839739447,9,11,0.165524867166299,0.170621668978796,8.96445454612354,7,7,0.0896391548845182,0.0729575497819443,0.149034184678356,22826,20675,50546,47211
131,0.054258,0.039417,125,152,92,137,125,0.351428230820146,0.164364675298173,8,8,3,3,3,12.2413456988904,5.86837219425127,6,6,6,6,6,0,0,193,225,166,177,185,0.74043223150631,0.110829890797532,85,69,0.803683660854112,0.8450418820887,0.586114285837178,7,6,0.109675916402914,0.10007512004323,15.1079675516014,5,4,0.086640422742974,0.0548829978680695,0.146691196073857,20342,18281,50658,48445
141,0.056333,0.038053,125,44,34,42,55,0.188353080000563,5.21805407535023,8,7,3,3,4,16.2718388256998,3.81434778644064,5,5,5,5,5,0,0,204,323,202,229,204,1.0273767513549,0.00588235294117645,88,24,0.83979207158891,0.669299709802811,0.431271363788656,7,7,0.110702455002356,0.225785530950854,16.3639551271253,3,4,0.0495054734087335,0.104914759246335,0.120485465656548,19755,17631,50340,48230
151,0.054622,0.063707,97,56,37,48,39,0.656570104967214,5.45185651173649,8,7,4,5,4,9.22380407139249,2.8009273663497,0,0,0,0,0,NaN,NaN,209,374,193,220,209,1.64313211205545,0.0471221441982001,70,31,0.858242501487265,0.829626755308853,1.14428735723626,6,5,0.115968741119714,0.170373244691147,6.46039407923242,0,0,0.0257887573930219,0,NaN,20607,18640,50448,47821
161,0.055985,0.046236,108,102,72,96,108,0.318088526175088,0.204602372915256,3,6,3,3,3,5.54876168858902,0,3,3,3,3,3,0,0,200,238,189,199,199,0.533080637286607,0.039193485306738,80,53,0.883132698221833,0.855140163085685,0.497270763440345,3,5,0.0725083959675594,0.12499505911219,3.81357468593358,2,1,0.0443589058106072,0.019864777802126,0.179246110333249,21035,18767,51457,47066
