frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.506608,55,63,46,59,55,0.253902254122506,0.107219204997231,11,5,3,3,3,3.24888883896282,11.3907521430161,12,13,12,12,12,0.499230176602706,0,237,219,177,189,223,0.363537004534634,0.202152758370203,33,31,0.56051761418846,0.707235186427674,0.482700526811945,9,3,0.253467750779064,0.0981420277215904,2.72817647887362,6,9,0.186014635032477,0.194622785850735,0.835875479362177,26212,25243,50416,41164
2,0.148312,0.096584,65,53,38,50,61,0.215824472855615,0.333351897967265,11,7,5,5,5,3.68571428571429,6.62198612123763,12,14,12,12,12,0.69893438569431,0,225,227,185,197,217,0.346014468382174,0.135886446211302,43,25,0.588834455298859,0.579145551245283,0.384555375733689,8,6,0.251923037692101,0.183903345365121,2.34584780311287,7,11,0.15924250700904,0.236951103389596,0.566924667197486,26228,25207,50426,41163
3,0.222217,0.187301,53,48,31,43,52,0.354188593638657,0.285765743627766,10,5,3,3,3,3.02939525113668,13.8898043644396,14,15,14,14,14,0.32,0,226,238,193,206,219,0.352976431844681,0.113419511553288,34,24,0.540573893525227,0.599695539710873,0.598683708107475,8,5,0.25421499781225,0.169233540062589,3.07884836585867,7,12,0.205211108662524,0.231070920226538,0.559243754956849,26260,25225,50409,41134
4,0.071835,0.032135,52,60,45,57,52,0.260197648378371,0.0855486180273818,12,7,6,7,6,0.0857142857142859,7.70643931966857,14,14,14,14,14,0,0,241,233,186,198,229,0.408259950367292,0.177261555227446,31,29,0.560825767587614,0.596235827041502,0.614222025299243,9,7,0.249371636751257,0.191014555612758,0.157512938379499,8,11,0.18980259566113,0.21274961734574,0.112857913682516,26274,25247,50464,41151
5,0.07364,0.02666,60,61,47,60,58,0.149862963713112,0.16064495102246,10,8,4,4,4,4.97950261989493,7.1367893493641,15,16,15,15,15,0.302334665561196,0,250,231,196,207,243,0.251532746014386,0.155913576093258,41,29,0.635015257289486,0.587996612526568,0.333446471700359,8,7,0.194977084540131,0.189126079034505,3.99340618577908,8,13,0.170007658170384,0.222877308438927,0.520652595339891,26238,25195,50449,41131
6,0.066239,0.028068,53,54,42,51,53,0.211974302560706,0.129217512026865,8,8,5,6,5,1.96837203196043,5.9622787204371,13,13,13,13,13,0,0,264,221,197,208,248,0.134914381103571,0.201137775218416,35,27,0.575012049318344,0.562468763374934,0.515912752632688,6,7,0.210314855181717,0.208687859129783,2.23854019832476,8,11,0.214673095499938,0.228843377495282,0.140482121807382,26230,25154,50411,41148
7,0.073139,0.026985,56,64,44,60,55,0.302879398025299,0.155129021406633,7,6,4,4,4,2.5244960426139,6.00388692083781,14,14,14,14,14,0,0,241,231,183,195,228,0.452901552108517,0.191932730896306,39,31,0.641746425180799,0.661279946120476,0.590357357041113,5,6,0.185869492904763,0.169927157488043,2.5970425095231,8,9,0.172384081914438,0.168792896391481,0.129325221392839,26282,25264,50344,41127
8,0.06901,0.027639,60,67,45,57,58,0.565327318234816,0.184787086646191,12,10,7,8,7,2.1669458320773,6.05552271326052,12,13,12,12,12,0.36923076923077,0,237,225,188,198,227,0.278653856733861,0.158951504946796,42,33,0.65192211559553,0.634175865616137,0.891059495503767,9,7,0.206234304733011,0.1837256042223,1.55716399685866,7,10,0.141843579671459,0.182098530161564,0.584378111528861,26291,25279,50386,41132
9,0.065522,0.02415,51,63,45,58,51,0.271351436122254,0.0754613360279186,10,8,4,4,4,2.70769016532768,7.70396285864131,13,13,13,13,13,0,0,262,222,195,204,243,0.172045984263236,0.210491987767503,32,30,0.542870384040586,0.615584993445286,0.562473722266871,9,7,0.283977615525688,0.200258645144118,2.64480361681632,7,9,0.173152000433726,0.184156361410596,0.114971569684515,26292,25252,50364,41131
10,0.064272,0.026731,53,66,47,61,52,0.376033073876017,0.103280441044728,6,8,4,4,4,4.97950261989493,4.21246117974981,14,14,14,14,14,0,0,235,221,182,196,227,0.27517266802581,0.161635240313273,32,33,0.56879988438678,0.636872949823115,0.646820857652506,5,7,0.21515312510375,0.194634819782696,4.00839137557914,7,9,0.21604699050947,0.168492230394188,0.139510781613738,26301,25219,50378,41143
