frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.552161,55,63,46,59,55,0.253902254122506,0.107219204997231,11,5,2,2,2,5.88888883896282,12.1896777562672,12,13,12,12,12,0.499230176602706,0,237,219,177,189,223,0.363537004534634,0.202152758370203,33,31,0.56051761418846,0.689292521768147,0.482700526811945,9,4,0.253467750779064,0.121022302172935,5.40350128577609,6,9,0.186014635032477,0.189685176058918,0.835875479362177,26212,25243,50416,41164
2,0.148312,0.099731,65,53,38,50,61,0.215824472855615,0.333351897967265,11,9,2,2,2,8.13329818908306,11.7305912094208,12,14,12,12,12,0.69893438569431,0,225,227,185,197,217,0.346014468382174,0.135886446211302,43,25,0.588834455298859,0.587345426216748,0.384555375733689,8,6,0.251923037692101,0.172348580732555,7.28966690320734,7,11,0.15924250700904,0.240305993050697,0.566924667197486,26228,25207,50426,41163
3,0.222217,0.183596,53,48,31,43,52,0.354188593638657,0.285765743627766,10,7,3,3,3,4.48448863578536,11.2416556886025,14,15,14,14,14,0.32,0,226,238,193,206,219,0.352976431844681,0.113419511553288,34,24,0.540573893525227,0.583736092703105,0.598683708107475,8,6,0.25421499781225,0.191342380991428,3.87687983783454,7,12,0.205211108662524,0.224921526305467,0.559243754956849,26260,25225,50409,41134
4,0.071835,0.029427,52,60,45,57,52,0.260197648378371,0.0855486180273818,12,7,5,5,5,2.32063488497344,9.49269178564507,14,14,14,14,14,0,0,241,233,186,198,229,0.408259950367292,0.177261555227446,31,29,0.560825767587614,0.610832806068861,0.614222025299243,9,6,0.249371636751257,0.171209064178683,1.43091315132216,8,11,0.18980259566113,0.217958129752456,0.112857913682516,26274,25247,50464,41151
5,0.07364,0.02858,60,61,47,60,58,0.149862963713112,0.16064495102246,10,7,3,3,3,5.84764127118431,10.2494801029111,15,16,15,15,15,0.302334665561196,0,250,231,196,207,243,0.251532746014386,0.155913576093258,41,29,0.635015257289486,0.62749390999449,0.333446471700359,8,5,0.194977084540131,0.134657519551252,4.09871063657661,8,13,0.170007658170384,0.237848570454258,0.520652595339891,26238,25195,50449,41131
6,0.066239,0.029498,53,54,42,51,53,0.211974302560706,0.129217512026865,8,9,3,3,3,6.22808868012679,9.77438179332375,13,13,13,13,13,0,0,264,221,197,208,248,0.134914381103571,0.201137775218416,35,27,0.575012049318344,0.56717629855153,0.515912752632688,6,7,0.210314855181717,0.202065038483777,5.08647367415125,8,11,0.214673095499938,0.230758662964694,0.140482121807382,26230,25154,50411,41148
7,0.073139,0.034403,56,64,44,60,55,0.302879398025299,0.155129021406633,7,12,3,4,3,9.19844892589461,12.73688744126,14,14,14,14,14,0,0,241,231,183,195,228,0.452901552108517,0.191932730896306,39,31,0.641746425180799,0.632913004224386,0.590357357041113,5,8,0.185869492904763,0.205534812356756,7.86535022230732,8,9,0.172384081914438,0.161552183418858,0.129325221392839,26282,25264,50344,41127
8,0.06901,0.036772,60,67,45,57,58,0.565327318234816,0.184787086646191,12,9,5,5,5,4.54509131838419,9.8797699076794,12,13,12,12,12,0.36923076923077,0,237,225,188,198,227,0.278653856733861,0.158951504946796,42,33,0.65192211559553,0.652048440191622,0.891059495503767,9,6,0.206234304733011,0.160721062732184,3.4255165118514,7,10,0.141843579671459,0.187230497076194,0.584378111528861,26291,25279,50386,41132
9,0.065522,0.036284,51,63,45,58,51,0.271351436122254,0.0754613360279186,10,8,3,4,3,4.07868629785537,10.895171828234,13,13,13,13,13,0,0,262,222,195,204,243,0.172045984263236,0.210491987767503,32,30,0.542870384040586,0.657294571038971,0.562473722266871,9,5,0.283977615525688,0.14607136889401,3.23144366270035,7,9,0.173152000433726,0.196634060067019,0.114971569684515,26292,25252,50364,41131
10,0.064272,0.036254,53,66,47,61,52,0.376033073876017,0.103280441044728,6,7,3,3,3,5.84764127118431,8.82252209702838,14,14,14,14,14,0,0,235,221,182,196,227,0.27517266802581,0.161635240313273,32,33,0.56879988438678,0.683678649341766,0.646820857652506,5,5,0.21515312510375,0.135446121882268,4.15883441738955,7,9,0.21604699050947,0.180875228775966,0.139510781613738,26301,25219,50378,41143
11,0.059518,0.032788,56,53,40,47,54,0.331778895728663,0.202353744828993,10,6,3,4,3,1.32340761322782,8.03735110874609,13,14,13,13,13,0.345525332069938,0,232,217,184,195,225,0.236374234221118,0.152032356346511,37,26,0.558414866952499,0.623105692377551,0.622209204281302,8,4,0.240889701020717,0.132113557743972,0.916213918084196,8,11,0.200695432026784,0.244780749878477,0.543520746681582,26182,25184,50271,41077
