frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.029016,55,63,46,59,55,0.253902254122506,0.107219204997231,11,9,7,8,8,1.53333333333333,3.80016990624345,12,13,12,12,12,0.499230176602706,0,237,219,177,189,223,0.363537004534634,0.202152758370203,33,31,0.56051761418846,0.624325779738403,0.482700526811945,9,8,0.253467750779064,0.203867125729336,1.76106690764142,6,9,0.186014635032477,0.171807094532261,0.835875479362177,26212,25243,50416,41164
2,0.148312,0.026998,65,53,38,50,61,0.215824472855615,0.333351897967265,11,10,5,6,6,5.3476266685315,6.51884613828203,12,14,12,12,12,0.69893438569431,0,225,227,185,197,217,0.346014468382174,0.135886446211302,43,25,0.588834455298859,0.547510283981091,0.384555375733689,8,9,0.251923037692101,0.228481838158987,5.94160273715346,7,11,0.15924250700904,0.224007877859922,0.566924667197486,26228,25207,50426,41163
3,0.222217,0.027046,53,48,31,43,52,0.354188593638657,0.285765743627766,10,9,5,6,6,3.82133287971023,6.94746033506294,14,15,14,14,14,0.32,0,226,238,193,206,219,0.352976431844681,0.113419511553288,34,24,0.540573893525227,0.562543925275656,0.598683708107475,8,8,0.25421499781225,0.220700181318893,4.29555550576157,7,12,0.205211108662524,0.216755893405451,0.559243754956849,26260,25225,50409,41134
4,0.071835,0.027813,52,60,45,57,52,0.260197648378371,0.0855486180273818,12,9,8,9,8,0.0666666666666664,5.49354950662913,14,14,14,14,14,0,0,241,233,186,198,229,0.408259950367292,0.177261555227446,31,29,0.560825767587614,0.588908906052643,0.614222025299243,9,8,0.249371636751257,0.20095587775969,0.100209485956154,8,11,0.18980259566113,0.210135216187666,0.112857913682516,26274,25247,50464,41151
5,0.07364,0.028799,60,61,47,60,58,0.149862963713112,0.16064495102246,10,9,6,6,7,4.00635188419454,2.34150487873479,15,16,15,15,15,0.302334665561196,0,250,231,196,207,243,0.251532746014386,0.155913576093258,41,29,0.635015257289486,0.574745172400872,0.333446471700359,8,9,0.194977084540131,0.207400414267478,4.04087936424436,8,13,0.170007658170384,0.21785441333165,0.520652595339891,26238,25195,50449,41131
6,0.066239,0.030144,53,54,42,51,53,0.211974302560706,0.129217512026865,8,9,5,6,7,2.28714787829584,0.754669331122391,13,13,13,13,13,0,0,264,221,197,208,248,0.134914381103571,0.201137775218416,35,27,0.575012049318344,0.555814439267195,0.515912752632688,6,8,0.210314855181717,0.218049530032439,2.56601690640799,8,11,0.214673095499938,0.226136030700366,0.140482121807382,26230,25154,50411,41148
7,0.073139,0.030227,56,64,44,60,55,0.302879398025299,0.155129021406633,7,9,4,5,5,5.51179846932365,5.04332501091778,14,14,14,14,14,0,0,241,231,183,195,228,0.452901552108517,0.191932730896306,39,31,0.641746425180799,0.6353592663314,0.590357357041113,5,8,0.185869492904763,0.202464137444244,6.15470056666012,8,9,0.172384081914438,0.162176596224355,0.129325221392839,26282,25264,50344,41127
8,0.06901,0.030196,60,67,45,57,58,0.565327318234816,0.184787086646191,12,10,9,10,10,0.0599999999999998,2.69239306112406,12,13,12,12,12,0.36923076923077,0,237,225,188,198,227,0.278653856733861,0.158951504946796,42,33,0.65192211559553,0.627739411181644,0.891059495503767,9,8,0.206234304733011,0.19201023509415,0.0924065486361806,7,10,0.141843579671459,0.180250353724206,0.584378111528861,26291,25279,50386,41132
9,0.065522,0.029192,51,63,45,58,51,0.271351436122254,0.0754613360279186,10,8,5,6,5,2.22742335886533,9.05689398289668,13,13,13,13,13,0,0,262,222,195,204,243,0.172045984263236,0.210491987767503,32,30,0.542870384040586,0.623065021312107,0.562473722266871,9,7,0.283977615525688,0.190540916992411,2.56182963784071,7,9,0.173152000433726,0.186394061695482,0.114971569684515,26292,25252,50364,41131
10,0.064272,0.028757,53,66,47,61,52,0.376033073876017,0.103280441044728,6,10,4,5,5,7.03374014341854,3.57131099154196,14,14,14,14,14,0,0,235,221,182,196,227,0.27517266802581,0.161635240313273,32,33,0.56879988438678,0.620368915011938,0.646820857652506,5,9,0.21515312510375,0.215505191139665,7.82829452698005,7,9,0.21604699050947,0.164125893848397,0.139510781613738,26301,25219,50378,41143
