frame,elapsedBase,elapsedCand,curbBase,curbCand,curbShared,curbSharedTol,curbRecallTol,curbMeanNearestCandToBase,curbMeanNearestBaseToCand,poleBase,poleCand,poleShared,poleSharedTol,poleRecallTol,poleMeanNearestCandToBase,poleMeanNearestBaseToCand,trafficSignBase,trafficSignCand,trafficSignShared,trafficSignSharedTol,trafficSignRecallTol,trafficSignMeanNearestCandToBase,trafficSignMeanNearestBaseToCand,roadBase,roadCand,roadShared,roadSharedTol,roadRecallTol,roadMeanNearestCandToBase,roadMeanNearestBaseToCand,curbComponentsBase,curbComponentsCand,curbWeightBase,curbWeightCand,curbMeanCompDist,poleComponentsBase,poleComponentsCand,poleWeightBase,poleWeightCand,poleMeanCompDist,trafficSignComponentsBase,trafficSignComponentsCand,trafficSignWeightBase,trafficSignWeightCand,trafficSignMeanCompDist,groundPointsBase,groundPointsCand,retainedBase,retainedCand
1,0.645039,0.601338,55,63,46,59,55,0.253902254122506,0.107219204997231,11,5,3,4,4,2.41259678094514,10.1007749363094,12,13,12,12,12,0.499230176602706,0,237,219,177,189,223,0.363537004534634,0.202152758370203,33,31,0.56051761418846,0.684593558907944,0.482700526811945,9,4,0.253467750779064,0.127014364217132,2.91118342704375,6,9,0.186014635032477,0.188392076874924,0.835875479362177,26212,25243,50416,41164
2,0.148312,0.114022,65,53,38,50,61,0.215824472855615,0.333351897967265,11,6,3,4,5,2.37105244500068,5.14853420005584,12,14,12,12,12,0.69893438569431,0,225,227,185,197,217,0.346014468382174,0.135886446211302,43,25,0.588834455298859,0.603451797236141,0.384555375733689,8,5,0.251923037692101,0.149652463186679,2.7726410010784,7,11,0.15924250700904,0.246895739577181,0.566924667197486,26228,25207,50426,41163
3,0.222217,0.205188,53,48,31,43,52,0.354188593638657,0.285765743627766,10,4,2,3,3,1.98098334236006,13.9695683675458,14,15,14,14,14,0.32,0,226,238,193,206,219,0.352976431844681,0.113419511553288,34,24,0.540573893525227,0.640572392723383,0.598683708107475,8,3,0.25421499781225,0.112606274688967,2.53712729049651,7,12,0.205211108662524,0.24682133258765,0.559243754956849,26260,25225,50409,41134
4,0.071835,0.031276,52,60,45,57,52,0.260197648378371,0.0855486180273818,12,6,4,5,4,1.74924225024706,10.2818111003148,14,14,14,14,14,0,0,241,233,186,198,229,0.408259950367292,0.177261555227446,31,29,0.560825767587614,0.633159441630695,0.614222025299243,9,5,0.249371636751257,0.140915810448385,2.07794876935512,8,11,0.18980259566113,0.22592474792092,0.112857913682516,26274,25247,50464,41151
5,0.07364,0.028506,60,61,47,60,58,0.149862963713112,0.16064495102246,10,5,3,3,4,3.87974008958782,7.24745968407988,15,16,15,15,15,0.302334665561196,0,250,231,196,207,243,0.251532746014386,0.155913576093258,41,29,0.635015257289486,0.618852634753178,0.333446471700359,8,5,0.194977084540131,0.146574228912819,3.95868749958849,8,13,0.170007658170384,0.234573136334003,0.520652595339891,26238,25195,50449,41131
6,0.066239,0.033099,53,54,42,51,53,0.211974302560706,0.129217512026865,8,7,3,4,4,3.88713716577273,8.96009985230651,13,13,13,13,13,0,0,264,221,197,208,248,0.134914381103571,0.201137775218416,35,27,0.575012049318344,0.576944878383913,0.515912752632688,6,6,0.210314855181717,0.188322060519911,4.4796514216096,8,11,0.214673095499938,0.234733061096177,0.140482121807382,26230,25154,50411,41148
7,0.073139,0.033585,56,64,44,60,55,0.302879398025299,0.155129021406633,7,5,2,3,2,3.14939525113668,13.9925885329256,14,14,14,14,14,0,0,241,231,183,195,228,0.452901552108517,0.191932730896306,39,31,0.641746425180799,0.70044096746774,0.590357357041113,5,4,0.185869492904763,0.120770214961507,3.78197209800061,8,9,0.172384081914438,0.178788817570753,0.129325221392839,26282,25264,50344,41127
8,0.06901,0.03007,60,67,45,57,58,0.565327318234816,0.184787086646191,12,9,6,7,6,2.47953204434519,7.15552271326051,12,13,12,12,12,0.36923076923077,0,237,225,188,198,227,0.278653856733861,0.158951504946796,42,33,0.65192211559553,0.633135328995199,0.891059495503767,9,7,0.206234304733011,0.185064922615811,3.16383934612934,7,10,0.141843579671459,0.18179974838899,0.584378111528861,26291,25279,50386,41132
9,0.065522,0.029897,51,63,45,58,51,0.271351436122254,0.0754613360279186,10,7,3,4,4,4.18319582509261,11.64196767336,13,13,13,13,13,0,0,262,222,195,204,243,0.172045984263236,0.210491987767503,32,30,0.542870384040586,0.629767221427958,0.562473722266871,9,6,0.283977615525688,0.181833708957389,4.83034688975758,7,9,0.173152000433726,0.188399069614653,0.114971569684515,26292,25252,50364,41131
10,0.064272,0.029322,53,66,47,61,52,0.376033073876017,0.103280441044728,6,9,4,5,5,3.56194274607776,2.3,14,14,14,14,14,0,0,235,221,182,196,227,0.27517266802581,0.161635240313273,32,33,0.56879988438678,0.631052123161797,0.646820857652506,5,8,0.21515312510375,0.201995614607487,4.03069177294412,7,9,0.21604699050947,0.166952262230717,0.139510781613738,26301,25219,50378,41143
11,0.059518,0.026123,56,53,40,47,54,0.331778895728663,0.202353744828993,10,9,6,7,7,4.10030627885466,3.54559393835726,13,14,13,13,13,0.345525332069938,0,232,217,184,195,225,0.236374234221118,0.152032356346511,37,26,0.558414866952499,0.557236279459769,0.622209204281302,8,8,0.240889701020717,0.223859101285032,4.57424273324147,8,11,0.200695432026784,0.218904619255199,0.543520746681582,26182,25184,50271,41077
12,0.062754,0.028407,50,47,28,43,50,0.4663926868437,0.268970562748477,9,6,2,3,3,7.6943498626766,13.5248689156433,15,15,15,15,15,0,0,214,246,179,191,207,0.668113160192013,0.125386960799267,34,26,0.534280796370109,0.602596353106522,0.739400700365873,8,5,0.259229108073266,0.161939845519019,9.72750599833209,8,10,0.206490095556625,0.235463801374459,0.126320576126456,26271,25184,50275,41125
13,0.069292,0.02976,59,54,38,49,57,0.320959439081919,0.242912028990231,7,11,4,4,4,7.37929468716593,4.86579291095063,12,13,12,12,12,0.499230176602706,0,237,223,190,200,227,0.266794166953451,0.161696466820424,38,28,0.671943451244445,0.577608092842893,0.724962342923733,6,10,0.147678675418013,0.24725689893222,8.21585010328005,7,9,0.180377873337542,0.175135008224887,0.844000137364658,26344,25207,50302,41106
14,0.066463,0.028387,60,55,42,52,59,0.269504408607892,0.194142135623731,8,10,3,3,3,9.75213882920721,5.79160113833298,13,14,13,13,13,0.463570878273941,0,237,226,186,200,228,0.269084777140283,0.163580434376533,35,29,0.635369316248542,0.590434135479278,0.591625726266035,6,9,0.181109657281884,0.215164441776429,10.8261709020156,7,11,0.183521026469573,0.194401422744292,0.727464853388526,26250,25186,50286,41101
15,0.066879,0.0262,59,51,39,50,59,0.177918889713149,0.207602171820744,7,11,4,5,4,6.65683036458104,2.68395854717566,16,16,16,16,16,0,0,226,222,184,196,218,0.271031015510384,0.142794277311463,34,26,0.60650514096215,0.54645950698809,0.458811581671287,9,10,0.19427112507842,0.22311316422852,7.21297574802417,9,12,0.19922373395943,0.230427328783391,0.124411467840135,26293,25148,50244,41101
16,0.062231,0.026918,54,63,46,57,54,0.38597155055923,0.0888888888888887,7,8,3,4,3,7.67673692155822,9.7047840216013,15,15,15,15,15,0,0,250,217,190,200,238,0.175943579904256,0.186274251788953,34,31,0.655482069498177,0.636782682501826,0.653904605803465,6,6,0.148040056918784,0.151085635638561,7.58399598295139,9,11,0.196477873583039,0.212131681859613,0.137830099709164,26143,25144,50166,41072
17,0.065372,0.029415,57,60,45,53,57,0.455431525090362,0.126315789473684,8,9,5,5,7,9.61831226853155,1.40722909606802,12,11,11,11,11,0,0.474341649025257,239,245,183,197,227,0.552145670838437,0.18480570270811,34,29,0.652401770879248,0.587039661669625,0.833853892567588,6,9,0.171282066383032,0.236226177481823,9.5866827935777,7,8,0.17631616273772,0.176734160848552,0.167650384608426,26171,25101,50024,41079
18,0.064425,0.028278,60,52,43,47,60,0.374169153405304,0.17,6,9,4,5,4,9.53882786460367,2.5568368896547,11,11,11,11,11,0,0,233,228,180,191,219,0.472395845325975,0.189730729650583,35,27,0.670797911202851,0.58243973164231,0.765016202675033,5,8,0.131585619089181,0.220818436641925,10.6382418340391,7,8,0.197616469707968,0.196741831715765,0.142456122576871,26114,25200,49893,41029
19,0.069114,0.0304,50,53,32,43,50,0.625356554186351,0.220970562748477,9,8,5,5,7,5.41174596429878,2.47074135706337,11,12,11,11,11,0.403112887414928,0,227,237,186,198,219,0.468515226494006,0.143476579690506,35,27,0.633818174920164,0.596831950691349,0.970393602773537,6,6,0.175333300564104,0.191857051461949,4.45758018110708,6,9,0.190848524515732,0.211310997846702,0.658433954368686,26175,25263,49818,41044
20,0.063779,0.034015,56,60,18,24,20,2.32297973345055,2.55841801251388,11,8,4,4,6,7.64641720304704,3.44533828637433,11,12,11,11,11,0.403112887414928,0,230,403,201,234,224,1.14640652308909,0.0968582353160658,38,33,0.635599686650766,0.641169212231991,2.74809250342244,8,7,0.210435436494707,0.173139230381004,7.5644776487574,5,9,0.153964876854527,0.185691557387005,0.713345278128936,26174,25151,49788,41041
21,0.063529,0.031043,70,51,38,50,68,0.17722935414407,0.319142961188862,11,7,4,4,4,6.38502822490337,4.88112003573573,9,10,9,9,9,0.483735464897913,0,246,227,199,209,241,0.162045715552256,0.133466705735947,42,26,0.672466770128676,0.627788469995882,0.395083690167465,10,5,0.194192396352999,0.162674582544533,5.6651547613758,5,8,0.133340833518326,0.209536947459585,0.751070354663721,26086,25158,49683,41057
22,0.059896,0.034405,49,51,35,47,49,0.385853402028436,0.171428571428571,14,7,6,6,7,3.72142171647298,11.822711198978,8,9,8,8,8,1.18696625431766,0,238,242,192,207,233,0.331404046509101,0.133792607929073,30,25,0.571714103699741,0.612016840176429,0.766159101460897,9,6,0.244954148825173,0.2136541358466,4.4082693264447,4,7,0.183331747475086,0.174329023976972,1.667753240474,26093,25063,49565,41000
23,0.061592,0.028353,63,56,42,53,61,0.223062127603508,0.285714285714286,11,7,6,6,8,1.57583796950145,1.99428389306672,11,11,11,11,11,0,0,226,233,192,208,225,0.239411039367525,0.0984187641022978,39,28,0.646273936368259,0.606996907625424,0.547595339050178,8,6,0.190535378730849,0.190184526514061,1.87514764929137,7,9,0.163190684900892,0.202818565860515,0.105464921271326,26213,25166,49558,41004
24,0.063472,0.029196,66,53,23,26,28,1.83975657613907,2.28274988256898,11,9,6,6,8,2.92472819665371,3.24911245238146,12,14,12,12,12,1.07535617632393,0,254,432,226,261,252,1.05941600032784,0.0747799706680922,39,31,0.691458023609255,0.625348310059515,2.21045680617384,6,7,0.177067625105072,0.182439805963619,4.50221823830591,5,11,0.131474351285673,0.192211883976866,1.57053248430752,26146,25076,49488,41073
25,0.059987,0.026457,51,36,32,36,45,0.0735702260395515,0.48264114336245,8,10,5,5,5,5.80133214603216,3.13251910312127,11,11,11,11,11,0,0,237,228,198,213,235,0.152027195185271,0.107992036074664,33,18,0.635175373348104,0.516121921805199,0.328018155714998,7,8,0.186327874575018,0.281110672972431,6.01558255205586,5,7,0.178496752076877,0.20276740522237,0.160890805213785,26137,25052,49225,40880
26,0.05621,0.033001,53,41,28,37,44,0.497719362534789,0.888757656369895,9,8,6,6,7,3.30850781849398,2.52994519286129,12,12,12,12,12,0,0,227,183,154,162,197,0.24813003753641,0.356162121447751,35,22,0.578579958797021,0.571493824690389,0.703631069512328,9,7,0.262891781269554,0.237625533169095,3.84504846986094,6,7,0.158528259933425,0.190880642140516,0.160079307345375,25942,25051,49176,40835
27,0.056996,0.02624,50,37,31,37,48,0.104014273984429,0.274715066723905,11,7,5,5,8,5.60908304894829,3.26407416225151,10,11,10,10,10,1.45238475880302,0,257,250,208,220,253,0.295204764612464,0.128570586331204,35,21,0.581895064690016,0.552063280144815,0.263747175760731,7,7,0.219669917962491,0.24943901005369,5.69929941042046,5,7,0.198435017347493,0.198497709801496,2.41313417100608,25741,24937,48939,40761
28,0.058263,0.026007,52,38,29,35,48,0.285008719957209,0.336103733128752,10,10,6,6,8,3.02180566443929,1.5755270113827,10,13,10,10,10,1.68152680601686,0,226,241,178,193,214,0.648857337849919,0.170442631901834,30,24,0.567281787974541,0.523480768283558,0.544362198956773,7,9,0.210201264787474,0.240894259955691,3.4232314855079,7,11,0.222516947237985,0.235624971760751,2.08179097325187,25799,24819,48863,40765
29,0.059658,0.027333,38,62,14,19,21,2.83522495304528,1.87894736842105,6,10,5,5,5,8.94977130456925,1.22065556157337,11,14,11,11,11,1.51659746808051,0,237,432,221,253,236,1.22239633134248,0.0440866166136027,23,35,0.565159360715346,0.628795130919034,3.35110491439374,6,8,0.188346095160322,0.175756175623988,10.5033784097813,7,11,0.246494544124332,0.195448693456978,2.11719234171668,25503,24772,48698,40690
30,0.055166,0.029825,44,49,19,26,27,2.18951168218448,1.612310017875,11,9,4,6,5,4.37444024734605,5.19197156918936,15,15,15,15,15,0,0,231,426,218,257,231,1.06073379788732,0.0348421131490209,31,26,0.531503934200071,0.598626849551399,2.76950314808981,9,8,0.24714096907537,0.22692135335765,4.88404834371593,8,8,0.221355096724558,0.174451797090951,0.135973820735336,25522,24683,48508,40518
31,0.055847,0.027744,51,41,27,36,46,0.291019749034722,0.359254483026418,13,8,6,7,6,1.56370749309594,11.1022102668775,11,13,11,11,11,1.60104515352403,0,221,244,186,206,217,0.373048672982149,0.109256038064577,36,23,0.614786689244387,0.584180917294827,0.477925246767399,6,7,0.217735673729377,0.215893868940095,1.77982664110699,4,8,0.167477637026236,0.199925213765078,2.73732386220292,25576,24692,48534,40458
32,0.053694,0.027775,53,43,30,41,49,0.280787520357455,0.333721230165498,7,8,4,4,4,8.05793544227681,9.59255968142045,11,14,11,11,11,2.245297016978,0,249,243,199,215,241,0.291442189959584,0.15044849637074,33,24,0.614798229036073,0.547003109338441,0.627239934797107,7,7,0.181035989752793,0.2214149966912,9.21998619918643,10,12,0.204165781211134,0.231581893970359,2.73862237552953,25534,24853,48585,40523
33,0.054903,0.02585,52,64,27,31,46,1.94311503886005,0.397983470686576,11,8,5,6,7,1.99004460244765,3.62282499074611,12,14,12,12,12,1.16552912611558,0,254,289,212,239,246,0.393362081970356,0.125096261407649,38,35,0.610411561197536,0.654919286845226,2.16854920024587,8,7,0.190226412075993,0.155042658338385,2.25841931008874,9,11,0.199362026726471,0.190038054816389,1.58798515002391,25466,24729,48554,40504
