functionName,calls,inclusiveSeconds,selfSeconds,inclusiveMillisecondsPerFrame,selfMillisecondsPerFrame
selectPillarFootprints>computePoleCandidateContextRatio,153090,0.552653,0.318348,11.05306,6.36696
sub2ind,151980,0.291592,0.291592,5.83184,5.83184
aggregatePillarStatistics,100,0.416353,0.247059,8.32706,4.94118
perceptionKernelsMex,550,0.219517,0.219517,4.39034,4.39034
buildCurbEnergyMaps>boxSumMap,500,0.201268,0.201268,4.02536,4.02536
ind2sub,195640,0.183568,0.183568,3.67136,3.67136
buildCurbEnergyMaps>applyLocalLinearityEnergyGate,50,0.473133,0.160478,9.46266,3.20956
selectPillarFootprints>passesPoleCandidateContext,149445,0.697603,0.15748,13.95206,3.1496
perceiveFrame>buildGroundXYView,50,0.156589,0.147581,3.13178,2.95162
unique>uniqueR2012a,1505,0.102566,0.102566,2.05132,2.05132
refineCurbCellsByRoadAdjacency>recoverRoadFacingShoulderCurbCells,100,0.098175,0.097004,1.9635,1.94008
refineCurbCellsByRoadAdjacency>completeBoundaryEvidenceRuns,100,0.097106,0.095835,1.94212,1.9167
selectPillarFootprints>computePoleFootprintContextBounds,153090,0.092754,0.092754,1.85508,1.85508
selectPillarFootprints>selectMinimalPoleSupportFootprint,19725,0.637314,0.0869650000000001,12.74628,1.7393
buildCurbEnergyMaps>shiftMap,600,0.085868,0.085868,1.71736,1.71736
segmentGround>bridgeSlopeGridSmoothComponentsDistanceTransform,50,0.182671,0.076689,3.65342,1.53378
pillarizePointCloud,50,0.352005,0.071428,7.0401,1.42856
segmentGround>labelSlopeGridGroundPoints,50,0.065157,0.065157,1.30314,1.30314
bwdist,200,0.073062,0.064759,1.46124,1.29518
buildCurbEnergyMaps>buildGroundCellStats,50,0.064124,0.064124,1.28248,1.28248
selectPillarFootprints>selectBestPassingFootprintOfSize,7170,0.419281,0.063838,8.38562,1.27676
buildCurbEnergyMaps>smoothStepMap,750,0.061124,0.061124,1.22248,1.22248
buildCurbEnergyMaps>buildGroundFeatureEnergyMaps,50,0.917599,0.0597559999999999,18.35198,1.19512
images/private/labelBinaryRuns,550,0.056746,0.056746,1.13492,1.13492
sortrows,300,0.05567,0.055354,1.1134,1.10708
analyzeStructuralPillars,50,1.640983,0.0546419999999999,32.81966,1.09284
refineCurbCellsByRoadAdjacency>removeRoadFacingDuplicateCurbCells,50,0.052967,0.052361,1.05934,1.04722
refineCurbCellsByRoadAdjacency>extendDominantBoundaryRunOneDirection,1710,0.048173,0.048173,0.96346,0.96346
buildCurbEnergyMaps>computeCurvatureEnergyMap,50,0.102394,0.046376,2.04788,0.92752
refineCurbCellsByRoadAdjacency>completeDominantBoundaryContinuation,50,0.096699,0.043504,1.93398,0.87008
refineCurbCellsByRoadAdjacency,50,0.719362,0.0419099999999999,14.38724,0.838199999999998
refineCurbCellsByRoadAdjacency>keepSameColumnFeaturePeakCurbCells,50,0.044028,0.041551,0.88056,0.83102
analyzeStructuralPillars>projectStatistics,50,0.041093,0.041093,0.82186,0.82186
aggregatePlanarCellMoments,150,0.119746,0.040358,2.39492,0.80716
buildCoarseSemanticProbabilityCloud>aggregateComponents,150,0.05765,0.03854,1.153,0.7708
selectPillarFootprints>selectBestValidPoleFootprintSubset,3280,0.073633,0.038132,1.47266,0.76264
segmentGround>fillSlopeGridHoles,50,0.058641,0.036693,1.17282,0.73386
extractRoadSurface,100,0.128751,0.035963,2.57502,0.71926
buildCurbEnergyMaps>computeLocalMeanMap,50,0.035311,0.035311,0.70622,0.70622
median,7065,0.0494,0.034334,0.988,0.68668
buildCurbEnergyMaps>computeLineComponentSupportMaps,50,0.0573,0.033779,1.146,0.67558
refineCurbCellsByRoadAdjacency>completeProjectedCurbBoundaryPaths,50,0.059215,0.031961,1.1843,0.63922
buildCurbEnergyMaps>computeResidualSlopeEnergyMap,50,0.061147,0.031085,1.22294,0.6217
perceiveFrame>subsetOffGroundPillars,50,0.059921,0.030455,1.19842,0.6091
perceiveFrame>buildBranchInputs,50,0.252758,0.030452,5.05516,0.60904
refineCurbCellsByRoadAdjacency>completeWeakCurbBoundaryGaps,50,0.030879,0.030223,0.61758,0.60446
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbCells,50,0.031097,0.029957,0.62194,0.59914
extractRoadSurface>buildCurbBoundedInteriorMask,100,0.043807,0.029865,0.87614,0.5973
selectPillarFootprints>buildPoleFootprintCandidates,50,1.229263,0.02881,24.58526,0.5762
segmentGround>computeSlopeGridCellStats,50,0.062621,0.027109,1.25242,0.54218
segmentGround>promoteSlopeGridSmoothFlatComponents,50,0.306453,0.026378,6.12906,0.52756
detectPolePillars,50,1.31422,0.025393,26.2844,0.50786
unique,2050,0.127928,0.024676,2.55856,0.49352
perception/private/filterPerceptionAttributes,50,0.022072,0.022072,0.44144,0.44144
refineCurbCellsByRoadAdjacency>keepRoadFacingBoundaryAnchors,40,0.042536,0.021885,0.85072,0.4377
selectPillarFootprints>filterMinimalPoleCandidateFootprints,50,0.531317,0.019551,10.62634,0.39102
refineCurbCellsByRoadAdjacency>removeShadowedSameSideCurbComponents,50,0.05514,0.016673,1.1028,0.33346
buildCurbEnergyMaps>computeRelativeHeightEnergyMap,50,0.049153,0.01665,0.98306,0.333
selectPillarFootprints>filterPoleCandidatesByContextContrast,50,0.036897,0.016342,0.73794,0.32684
perceiveFrame,50,4.85357,0.0161650000000009,97.0714,0.323300000000017
perception/private/readPerceptionPoints,50,0.015981,0.015981,0.31962,0.31962
profile_coarse,1,4.869111,0.0155409999999998,97.38222,0.310819999999996
segmentGround>canUseSlopeGridDistanceTransformBridge,50,0.015462,0.015462,0.30924,0.30924
segmentGround>buildSlopeGridComponentMemberIndex,50,0.015276,0.015276,0.30552,0.30552
buildCurbEnergyMaps>computeDirectionalLinearityMap,50,0.029408,0.015234,0.58816,0.30468
buildCurbEnergyMaps>computeLocalMinimumMap,50,0.027134,0.014457,0.54268,0.28914
segmentGround>extractGroundMaskSlopeGrid,50,0.560897,0.0142579999999999,11.21794,0.285159999999998
buildPerceptionCandidates,50,0.016692,0.014232,0.33384,0.28464
groundSegmentation/private/groupedFiniteMedian,100,0.03675,0.014,0.735,0.28
refineCurbCellsByRoadAdjacency>keepRoadConsistentPeakPromotionProtection,50,0.014582,0.013839,0.29164,0.27678
checkInputName,14130,0.01325,0.01325,0.265,0.265
refineCurbCellsByRoadAdjacency>projectCurbAnchorsToRoadFacingEvidence,50,0.01291,0.01291,0.2582,0.2582
refineCurbCellsByRoadAdjacency>removeFartherSameSideOutlierComponents,50,0.022517,0.012871,0.45034,0.25742
segmentGround>propagateSlopeGridGround,50,0.02768,0.012649,0.5536,0.25298
movmin,100,0.012677,0.012342,0.25354,0.24684
buildCurbEnergyMaps>computeHeightStepFeatureMaps,50,0.020913,0.012105,0.41826,0.2421
buildCurbEnergyMaps>computeRoughnessEnergyMap,50,0.011703,0.011703,0.23406,0.23406
buildCurbEnergyMaps>computeFullCellReliefEnergyMap,50,0.016096,0.011565,0.32192,0.2313
buildCoarseSemanticProbabilityCloud>concatenateComponents,50,0.012943,0.01137,0.25886,0.2274
images/private/bwconncomp_2d,550,0.067993,0.011247,1.35986,0.22494
analyzeGroundPillars>probabilityAboveThreshold,50,0.010738,0.010738,0.21476,0.21476
analyzeGroundPillars,50,1.84875,0.0104209999999998,36.975,0.208419999999996
extractRoadSurface>growRoadCellsFromSeeds,100,0.013359,0.01018,0.26718,0.2036
selectPillarFootprints>selectPreferredMinimalPoleFootprint,3645,0.429216,0.00993500000000003,8.58432,0.198700000000001
bwconncomp,550,0.091102,0.009897,1.82204,0.19794
refineCurbCellsByRoadAdjacency>buildRoadAdjacencyBoundaryContinuation,40,0.021856,0.009785,0.43712,0.1957
extractRoadSurface>buildRoadSeedMask,100,0.009314,0.009314,0.18628,0.18628
buildCoarseSemanticProbabilityCloud>selectOffGroundColumns,100,0.012484,0.009252,0.24968,0.18504
interp1,615,0.015666,0.009242,0.31332,0.18484
extractRoadSurface>growMaskByChebyshevRadius,100,0.008575,0.008575,0.1715,0.1715
bwconncomp>parseInputs,550,0.012074,0.008051,0.24148,0.16102
segmentGround,50,0.580425,0.00785600000000009,11.6085,0.157120000000002
segmentGround>buildSlopeGridSmoothFlatComponents,50,0.029916,0.007778,0.59832,0.15556
buildCoarseSemanticProbabilityCloud,50,0.113447,0.00771100000000002,2.26894,0.15422
bwdist>parse_inputs,200,0.007196,0.007196,0.14392,0.14392
intersect>intersectR2012a,320,0.022517,0.006897,0.45034,0.13794
buildCoarseSemanticProbabilityCloud>regularizeCovariances,140,0.00666,0.00666,0.1332,0.1332
buildCoarseSemanticProbabilityCloud>emptyComponents,200,0.006496,0.006496,0.12992,0.12992
buildCurbEnergyMaps>countValidNeighbors,50,0.005973,0.005973,0.11946,0.11946
segmentGround>estimateSlopeGridSeedHeight,50,0.008768,0.005872,0.17536,0.11744
perception/private/buildMaskFromIndices,50,0.005796,0.005796,0.11592,0.11592
buildPillarShapeScores,50,0.062403,0.00552299999999999,1.24806,0.11046
cell.unique,200,0.006521,0.005373,0.13042,0.10746
segmentGround>resolveSlopeGridParams,50,0.010982,0.005276,0.21964,0.10552
intersect,320,0.027745,0.005228,0.5549,0.10456
meshgrid,150,0.005145,0.005145,0.1029,0.1029
ismember>ismemberClassTypes,200,0.025861,0.005124,0.51722,0.10248
cell.intersect>cellintersectR2012a,100,0.011617,0.005096,0.23234,0.10192
