region,replacedClass,samples,rmseM,p95M,maximumM,accepted,productionRmseM
selected_frames,all,73,0.47483951153460796,0.8132589004082865,0.885136921934863,68,0.4831320201835874
selected_frames,curb,73,0.47290909219374533,0.7616802427226066,0.832147395294883,72,0.4831320201835874
selected_frames,pole,73,0.4765164610304813,0.8713237745249243,0.898452265132627,69,0.4831320201835874
selected_frames,trafficSign,73,0.5015041680821666,0.7908313198964994,0.835348739356448,71,0.4831320201835874
first_peak,all,21,0.46264146319132393,0.80887089559821,0.818810609951883,21,0.5284769253402112
first_peak,curb,21,0.44355845357563034,0.759598404653235,0.762460931998621,21,0.5284769253402112
first_peak,pole,21,0.5081362682831491,0.8843953565388588,0.898452265132627,21,0.5284769253402112
first_peak,trafficSign,21,0.5277293464350196,0.827533455380229,0.835348739356448,21,0.5284769253402112
second_peak,all,43,0.5233137595573047,0.8364070823300103,0.885136921934863,38,0.497680484260981
second_peak,curb,43,0.523050298557596,0.7792853854418921,0.832147395294883,42,0.497680484260981
second_peak,pole,43,0.5054276592487548,0.8441980605814464,0.891868031473715,39,0.497680484260981
second_peak,trafficSign,43,0.5279912440000186,0.7316322112448629,0.748661024492322,41,0.497680484260981
