frame,freeDimensions,positionErrorM,yawErrorDeg,initialScore,finalScore,exitflag
30,3,0.0249961404363684,-0.11747325056749,0.525459149374416,0.503607201477742,1
30,2,0.0317705625505837,0,0.525459149374416,0.51344429742177,1
75,3,0.0655187292320004,-0.678099689682186,2.44662112410128,2.22447228710895,1
75,2,0.0810023247713358,0,2.44662112410128,2.40217084758412,1
85,3,0.387557446890928,-0.731570272771521,3.75586535337263,3.02596873388724,1
85,2,0.346451706210269,0,3.75586535337263,3.16347879476565,1
90,3,0.159751798181046,-0.924627187152917,4.29634247141179,4.06890757331838,1
90,2,0.13586373163466,0,4.29634247141179,4.2542498550604,1
92,3,0.164070993669003,-1.43594073960826,4.31685025003044,3.73038175972757,1
92,2,0.187222674206689,0,4.31685025003044,4.21140983413152,1
94,3,0.227584275822755,-0.948656701551626,4.34567686130837,3.84121193170673,1
94,2,0.25643010946086,0,4.34567686130837,4.09996249337561,1
100,3,0.0988923350579141,-0.76975475923623,2.54438772042435,2.18283534876302,1
100,2,0.135727133550762,0,2.54438772042435,2.42037676872391,1
200,3,0.0259016487056433,-0.215392023378505,1.11047896106686,1.08751300267868,1
200,2,0.0110272157009286,0,1.11047896106686,1.10919514079281,1
425,3,0.0773005777381267,0.336369853000563,0.974061058013691,0.776874176431144,1
425,2,0.108645111658425,0,0.974061058013691,0.866797717400335,1
600,3,0.0360276941856223,0.450860570416887,1.0165372979043,0.876191861236077,1
600,2,0.0950743174264952,0,1.0165372979043,0.94220743292896,1
800,3,0.0774027107296374,0.0188821595064963,1.6822286783176,1.65173896808094,1
800,2,0.078231231237,0,1.6822286783176,1.65184963873536,1
820,3,0.607400855693231,-1.36148427903968,3.33544412238803,2.73593706078737,1
820,2,0.247531376002747,0,3.33544412238803,3.0929002833901,1
830,3,0.583780197718703,-1.82299670789369,5.34277523773269,3.82037068042511,1
830,2,0.593979355126945,0,5.34277523773269,4.84170562980496,1
840,3,0.215616587773948,-0.956097525797309,2.97823860632729,2.20474638263646,1
840,2,0.181922906373674,0,2.97823860632729,2.77930202460083,1
842,3,0.118266886588613,-1.88016627031759,3.16606347547834,2.49760696117379,1
842,2,0.179025339747609,0,3.16606347547834,2.94632809283973,1
900,3,0.159892549727747,0.0504882659532152,1.09715056096046,0.819770851122803,1
900,2,0.164897553711705,0,1.09715056096046,0.821304640893647,1
966,3,0.069640161796526,0.611117021796612,2.59325520411524,2.51545591902172,1
966,2,0.0607267883689808,0,2.59325520411524,2.56740660089654,1
1100,3,0.184676767684655,0.412030773986521,1.45851626260173,1.00967000488547,1
1100,2,0.0899204078638548,0,1.45851626260173,1.3897827586562,1
