region,variant,samples,rmseM,p95M,maximumM,accepted
full,exact_initial,1170,0.16158241620919442,0.274685745243867,0.800147008146878,1166
full,exact_window_motion,1170,0.17684829480434452,0.317941069193742,0.789288905016123,1165
full,reproduce,1170,0.18258183139453746,0.328039881177392,0.844665886034694,1166
full,single_scan,1170,0.20942437965228655,0.417201053289755,1.31246120834606,1167
full,uniform_map_prior,1170,0.18105083816402628,0.331613757353628,0.818259236154555,1168
full,without_curb,1170,0.2096359602053728,0.432849201394481,0.958919108599471,1164
full,without_pole,1170,0.28921523228730095,0.569064754799169,1.83406795478742,1087
full,without_sign,1170,0.19494196546606943,0.337598227114791,0.96806267132515,1164
first_peak,exact_initial,21,0.4281991201187198,0.7703351496853362,0.800147008146878,21
first_peak,exact_window_motion,21,0.4995127565727074,0.769808555162813,0.789288905016123,19
first_peak,reproduce,21,0.5284769253554509,0.8303794560178487,0.844665886034694,21
first_peak,single_scan,21,0.46568496789110886,0.7905393231946491,0.819359959827243,20
first_peak,uniform_map_prior,21,0.5217686385531791,0.810434646750925,0.818259236154555,21
first_peak,without_curb,21,0.6133300944303998,0.9560612048991628,0.958919108599471,21
first_peak,without_pole,21,0.4840695085406268,0.7734245277339038,0.810407326944472,21
first_peak,without_sign,21,0.45353970711134783,0.7432313218319514,0.77099583391707,21
second_peak,exact_initial,43,0.4521512217996385,0.7031872114469836,0.769146714614636,42
second_peak,exact_window_motion,43,0.5067726023016341,0.7208817691811155,0.780267299462271,42
second_peak,reproduce,43,0.49971421732686216,0.7031973436211983,0.769146959709281,42
second_peak,single_scan,43,0.5297516343830976,0.8232363539698969,0.89106531394641,41
second_peak,uniform_map_prior,43,0.4821054840035156,0.7088437510358069,0.776520191313804,42
second_peak,without_curb,43,0.5679431188815913,0.8161374695879984,0.889230145366478,41
second_peak,without_pole,43,0.9959023420919711,1.7875715466132955,1.83406795478742,42
second_peak,without_sign,43,0.45441023457480456,0.8792624081122136,0.96806267132515,43
