frame,timeSeconds,rosStamp,referenceX,referenceY,referencePsi,predictedX,predictedY,predictedPsi,x,y,psi,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi,directionalAccepted,variant
28,2.69885396896601,1717776574.09055,484200.464803196,4977499.98371771,-2.13052669075943,484200.430679067,4977500.03009434,-2.13428938490137,484200.419458457,4977500.0216802,-2.13347071813945,1,accepted,0.0591379409413559,-0.168680343646528,0.680394649947323,3,4,144,65.234,59.969,5.219,0.046,0,10.3370601345771,-0.902025792649455,92.6746631842616,11.7688910349922,-26.7462809067186,3030.22561516129,0,coarse_recursive
91,8.99964395989581,1717776579.86573,484193.853855045,4977485.48400909,-1.63795998492176,484194.645206102,4977485.36629749,-1.64496822954402,484194.665749566,4977485.41466714,-1.64930167483111,1,accepted,0.814850304732692,-0.649830964351558,0.45038497212812,3,9,198,76.87,67.228,9.6,0.042,0,7.84109096813425,0.848075853272332,5.9121304767368,9.11776015354134,19.8162203975892,1447.59234797,0,coarse_recursive
92,9.09923735126782,1717776579.95723,484193.803258615,4977484.98879146,-1.60809194331152,484194.666385792,4977484.91733909,-1.61976530077535,484194.645654335,4977484.9269052,-1.62126931527021,1,accepted,0.844665886034694,-0.75500779830698,0.40316420111835,3,6,193,80.209,72.159,7.998,0.052,0,7.4962080668622,0.665666524087841,6.54572912147899,8.66535453288466,29.7367919430607,1583.12961273229,0,coarse_recursive
94,9.29898263593232,1717776580.14045,484193.755599737,4977483.96797225,-1.54852504049152,484194.601436866,4977483.91683586,-1.56783644840477,484194.573892701,4977483.94246038,-1.56819889568449,1,accepted,0.818690558731339,-1.12722886930892,0.258379496466559,3,13,141,78.031,66.921,11.069,0.041,0,6.72279593467276,0.548082812244401,13.2570433199462,7.05070473262472,18.8073717007908,1352.60156867893,0,coarse_recursive
214,21.2983417054566,1717776591.14116,484219.478058518,4977372.37669366,-1.55481817884345,484219.407644452,4977372.39757816,-1.55299641283372,484219.436895916,4977372.38604022,-1.55244111125961,1,accepted,0.0422104030288689,0.136195940171642,0.632870775000945,3,5,184,62.157,55.496,6.616,0.045,0,14.8161197714306,-0.570638669505681,9.79723340781282,11.2255206485685,97.2594668432926,7683.05991262848,0,coarse_recursive
425,42.3992649644748,1717776610.48212,484266.139925541,4977079.73528791,-1.40796638859043,484266.047283011,4977079.72027184,-1.40277299888178,484266.063625909,4977079.7470743,-1.40200801542573,1,accepted,0.0772046176685509,0.341389635101225,0.549769701580477,3,6,264,52.665,43.775,8.837,0.053,0,11.1728511223653,0.0796450065885204,-45.800566045258,12.2436222488786,-8.30622607773993,3104.73614198789,0,coarse_recursive
600,59.9053024831122,1717776626.52947,484337.337048046,4976874.16854747,-1.33756629575711,484337.362188015,4976874.01743574,-1.32528205985854,484337.35381138,4976874.20497816,-1.32970311026045,1,accepted,0.0401024294947707,0.450527342487123,0.542770552221967,3,5,133,61.57,55.3,6.228,0.042,0,10.4368971073518,-0.647052326128783,92.8196038707128,11.6132378525554,8.10424295462418,1999.1067642413,0,coarse_recursive
615,61.3994020232331,1717776627.89899,484341.581879079,4976857.28466684,-1.38070277008684,484341.574399188,4976857.31282029,-1.37769816402462,484341.567485959,4976857.34308931,-1.37808532611669,1,accepted,0.0601693136860666,0.149968492601807,0.627533801529759,3,5,206,65.278,58.658,6.577,0.043,0,14.5631494643424,0.443910748961422,62.5124173720799,8.6928489408821,-37.1392784958291,1488.43910688038,0,coarse_recursive
805,80.3991925637517,1717776645.31585,484321.870846659,4976646.23298506,-1.2071132955039,484322.338957464,4976645.96124745,-1.2373199508158,484322.340759921,4976645.94341496,-1.23851248004692,1,accepted,0.551968584980884,-1.7990407544672,0.392210596833834,3,7,77,69.521,63.077,6.402,0.042,0,6.42649193278087,3.24248619667669,33.1758027657561,11.7514616283628,-11.4686606276278,1969.94456775498,0,coarse_recursive
806,80.4993896516082,1717776645.40743,484322.117161437,4976645.53666971,-1.18386460531432,484322.620458843,4976645.23837036,-1.21516463897359,484322.618354496,4976645.18543437,-1.21807094194263,1,accepted,0.612013677489552,-1.95987872140565,0.387773671949966,3,9,83,69.384,62.302,7.04,0.042,0,6.44801801365005,3.36759628431598,32.5260014962608,11.8030877648137,-18.7810418264273,1916.45707528138,0,coarse_recursive
807,80.5715006113104,1717776645.49905,484322.303040095,4976645.0420795,-1.16712230080167,484322.827388024,4976644.68298534,-1.201361093846,484322.833272795,4976644.62601921,-1.19710901990919,1,accepted,0.673982849437485,-1.71811244630496,0.388874025493237,3,9,126,72.25,63.144,9.065,0.041,0,5.92033240597955,3.3745903267982,27.6765347404961,11.5885247870658,-16.2516330715274,1782.22561229078,0,coarse_recursive
808,80.6994285309097,1717776645.59122,484322.68610879,4976644.15533695,-1.13783914222597,484323.2277031,4976643.74851369,-1.16770643503403,484322.723704357,4976643.94405185,-1.15130881293292,1,accepted,0.214603868266229,-0.771755282938833,0.467806647140326,3,16,140,73.814,60.752,13.02,0.042,0,7.27578144931653,3.6085541005176,23.2064347532292,11.6863250578044,-10.4390908457991,1961.74637813231,0,coarse_recursive
