poseMode,source,target,semanticName,sourceForwardM,sourceLeftM,targetForwardM,targetLeftM,pullForwardM,pullLeftM,weight,robustWeight,squaredStandardizedResidual
reference,1,256,curb,2.09412835054086,6.358123749483,2.91021774246657,6.13592604891992,0.816089391925712,-0.222197700563078,0.00512819561817515,0.00457323140815187,0.758441024100119
reference,2,256,curb,2.62303793104817,6.32537210001851,2.91021774246657,6.13592604891992,0.287179811418405,-0.189446051098589,0.0153845868545255,0.0138942220105264,0.670406753824498
reference,3,256,curb,3.61020060621889,6.27278077589437,2.91021774246657,6.13592604891992,-0.699982863752322,-0.136854726974447,0.0153845868545255,0.014079557124702,0.579310537906521
reference,4,152,curb,4.75425196173306,-3.03788214437781,3.65991677999831,-3.11250039921904,-1.09433518173475,-0.0746182548412238,0.00512819645354506,0.00492179533036476,0.262100906943092
reference,5,252,curb,4.48264572809719,6.23243335881297,6.87217719574446,6.06711216699394,2.38953146764728,-0.165321191819023,0.0128204930208161,0.0126915742432632,0.0634864000526639
reference,6,152,curb,5.3563543941361,-3.03622487898195,3.65991677999831,-3.11250039921904,-1.69643761413779,-0.0762755202370853,0.0153845893606352,0.0145124113051016,0.375617306626967
reference,7,252,curb,5.32840456701329,6.19770639967006,6.87217719574446,6.06711216699394,1.54377262873117,-0.13059423267612,0.0153845916249793,0.015203939088824,0.074262225359812
reference,8,152,curb,6.24712711775748,-3.07418072544446,3.65991677999831,-3.11250039921904,-2.58721033775916,-0.0383196737745726,0.0153845893606352,0.0146072479677453,0.332600892124923
reference,9,252,curb,6.20553795033687,6.15141688648604,6.87217719574446,6.06711216699394,0.666639245407596,-0.0843047194920912,0.0153845916249793,0.0152368919231054,0.060584740074986
reference,10,153,curb,7.18696629051565,-3.10598129261787,9.3268105747185,-3.17940827246276,2.13984428420286,-0.073426979844887,0.0153845957209759,0.0153679147602557,0.00678400460491122
reference,11,252,curb,7.12679988076174,6.13903402781377,6.87217719574446,6.06711216699394,-0.254622685017275,-0.0719218608198213,0.0153845916249793,0.0150281077105355,0.148257153075345
reference,12,153,curb,8.06097783059604,-3.13770308863894,9.3268105747185,-3.17940827246276,1.26583274412246,-0.0417051838238214,0.0153845957209759,0.0153767015538972,0.00320865590509671
reference,13,252,curb,8.03775575024999,6.07206110537927,6.87217719574446,6.06711216699394,-1.16557855450552,-0.00494893838532828,0.0153845916249793,0.0152061897079825,0.0733261916787037
reference,14,153,curb,8.88095239089859,-3.1756636933341,9.3268105747185,-3.17940827246276,0.445858183819915,-0.00374457912866166,0.0128204964341466,0.01281044024388,0.00490624740210529
reference,15,202,curb,8.90526687563595,6.04584996656618,9.93426540584197,6.03417028463128,1.02899853020602,-0.0116796819349005,0.0153845864790402,0.0153118387657831,0.029694226461741
reference,16,150,curb,9.88724833951435,-3.22929122594388,9.44540303748389,-3.22317103263137,-0.44184530203046,0.00612019331251545,0.0102563942785702,0.0102506426240616,0.0035068865433435
reference,17,202,curb,9.83769014276686,5.99801227348928,9.93426540584197,6.03417028463128,0.0965752630751133,0.0361580111419935,0.0153845864790402,0.0152978585546357,0.0354330330347978
reference,18,199,curb,10.4469421042536,-3.25393500798516,10.7887130084676,-3.23991835193811,0.341770904213996,0.0140166560470441,0.00512820402680042,0.00511396911396157,0.0173970947536453
reference,19,199,curb,10.7912933616646,-3.1755577317477,10.7887130084676,-3.23991835193811,-0.00258035319696504,-0.0643606201904126,0.00256410201340021,0.00252845357096193,0.0881181951680021
reference,20,202,curb,10.6755691708227,5.96157140926813,9.93426540584197,6.03417028463128,-0.74130376498076,0.072598875363151,0.0128204887325335,0.0127607920778541,0.0292383176114853
reference,21,199,curb,11.568292963108,-3.29345277792419,10.7887130084676,-3.23991835193811,-0.779579954640386,0.0535344259860802,0.0102564080536008,0.0102423147751873,0.00859991047124082
reference,22,250,curb,11.522563831049,5.92475758310669,11.2738849155749,5.99607280631228,-0.248678915474136,0.0713152232055965,0.0128205000761562,0.0126685781582712,0.0749501621190988
reference,23,199,curb,12.683094916084,-3.3548319014032,10.7887130084676,-3.23991835193811,-1.89438190761643,0.114913549465086,0.00769230604020063,0.00766257977373015,0.0242462944500103
reference,24,250,curb,12.4433972224628,5.88897077694706,11.2738849155749,5.99607280631228,-1.16951230688799,0.10710202936522,0.00769230004569371,0.00762469053018862,0.0554198849427122
reference,25,149,curb,13.5571829517931,-3.39152560511827,13.9556740736153,-3.30084362814868,0.398491121822206,0.0906819769695861,0.00769228178109209,0.00739517681059076,0.251096912649069
reference,26,250,curb,13.0252091820273,5.83834204461452,11.2738849155749,5.99607280631228,-1.75132426645248,0.157730761697765,0.00256410001523124,0.0025174561836429,0.115801001551209
reference,27,149,curb,14.3926628629824,-3.40632961341208,13.9556740736153,-3.30084362814868,-0.436988789367085,0.105485985263399,0.00512818785406139,0.00501831125818473,0.13684458553844
reference,28,250,curb,14.0233351382298,5.82289648666403,11.2738849155749,5.99607280631228,-2.74945022265495,0.17317631964825,0.00512820003046248,0.00509848619097276,0.0364248307938004
reference,29,149,curb,15.3702457572092,-3.49615448542181,13.9556740736153,-3.30084362814868,-1.41457168359387,0.195310857273131,0.00512818785406139,0.00489827192678758,0.293363571263335
reference,30,249,curb,15.3364262210539,5.75880795385517,16.0343313578817,5.90277297124069,0.697905136827732,0.143965017385518,0.00769230260963955,0.0069326919645648,0.68480852113198
reference,31,149,curb,15.9877136451967,-3.47087639381891,13.9556740736153,-3.30084362814868,-2.0320395715814,0.170032765670222,0.00512818785406139,0.00506386396763581,0.0793908155371637
reference,32,200,curb,16.9788804582177,-3.55969799664014,16.7563671787982,-3.33351926086231,-0.222513279419555,0.226178735777824,0.00512820501712626,0.00442336540684142,0.995904059263756
reference,33,949,pole,-9.06525773713747,-3.76528443660499,-8.32186728627187,-3.94331290628702,0.743390450865597,-0.17802846968203,0.111110849607799,0.042722371436465,10.0047814341601
reference,34,931,pole,1.24538126241569,-13.5094991527577,1.948914175533,-13.5698483426474,0.703532913117307,-0.0603491898896582,0.111107331149425,0.102798552072616,0.50516148508954
reference,35,931,pole,1.4174717151109,-13.5295448198806,1.948914175533,-13.5698483426474,0.531442460422103,-0.0403035227668234,0.111107331149425,0.106370218952952,0.278338726002388
reference,36,1203,trafficSign,-19.7718208486258,7.52705163733384,-19.2647884022615,7.4518158367991,0.507032446364295,-0.0752358005347409,0.19047619047619,0.099902446502913,5.66638675676955
reference,37,1203,trafficSign,-19.7329612593276,7.68290911001976,-19.2647884022615,7.4518158367991,0.468172857066126,-0.231093273220664,0.142857142857143,0.0745857723157845,5.72087748956899
estimate,1,256,curb,2.09412835054086,6.358123749483,2.91021774246657,6.13592604891992,0.816089391925712,-0.222197700563078,0.00512819561817515,0.00470202067770135,0.566478448423879
