frame,timeSeconds,rosStamp,referenceX,referenceY,referencePsi,predictedX,predictedY,predictedPsi,x,y,psi,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi,directionalAccepted,clockModelId,fusedErrorM,gnssOnlyErrorM,gnssMeasurementErrorM
60,5.89969804683854,1717776577.02389,484197.553808681,4977495.03313913,-2.118154174426,484197.433336802,4977495.10088209,-2.12056127661159,484197.42821708,4977495.09776091,-2.12102170785407,1,accepted,0.141241724632087,-0.164297563040729,0.529504066191253,3,5,141,73.077,65.748,7.159,0.066,10.869,7.74415047219058,-1.43216706105172,40.2740065051489,10.9369148484579,-7.52052639401781,3024.28564523149,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0466297542677492,0.0419638017900459,0.0715319646678143
61,6.00006145247989,1717776577.11589,484197.45429069,4977494.86037118,-2.11702346156417,484197.32186318,4977494.93327549,-2.12009760929967,484197.337976262,4977494.94260248,-2.12047870919944,1,accepted,0.1424465984572,-0.197971106673672,0.510994425003364,3,6,135,68.655,59.408,9.075,0.065,10.869,7.79897692406458,-1.11095267892428,37.6942912656907,10.9650891196931,0.845957056018249,2907.79709126457,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0456374131981798,0.0422384746462092,0.0737262230471804
62,6.10028778979435,1717776577.20777,484197.352575669,4977494.68647185,-2.11554050342755,484197.230219694,4977494.77496809,-2.11901367914643,484197.244338865,4977494.74632801,-2.11805200435033,1,accepted,0.123684944184366,-0.143898403118497,0.560839441220119,3,8,131,69.452,60.12,9.12,0.07,10.869,8.66726981998609,-1.0419978678844,40.4804811514532,11.6564715208156,1.02148387073618,2908.55979134482,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0446985774577362,0.0433070543038589,0.0723531258142213
63,6.200692810108,1717776577.29981,484197.245995568,4977494.51203462,-2.11302353009668,484197.135004126,4977494.57614489,-2.11591689643014,484197.127030907,4977494.55128973,-2.11431867527587,1,accepted,0.125273916405615,-0.0742063526243173,0.537901411053081,3,6,121,71.082,62.46,8.434,0.068,10.869,8.96893551766981,-0.982227343789234,38.4580250885391,11.6232533032295,-4.27980647298743,2714.00388977261,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0448820158008272,0.0441504719682647,0.0681017701698822
64,6.30006812737395,1717776577.3909,484197.140955668,4977494.33614144,-2.11165055285608,484197.016071415,4977494.37934115,-2.11274444186773,484196.981917778,4977494.35122515,-2.11266984232723,1,accepted,0.159751584807406,-0.0584009847988919,0.540560376584375,3,6,103,70.354,63.51,6.677,0.063,10.869,9.11919214751132,-0.543442669664243,39.4744008696101,11.2357124957739,-8.0102625258818,2589.88083355584,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0507963050811974,0.04548204059732,0.0649901789540789
65,6.40010797893818,1717776577.4826,484197.038326187,4977494.15401014,-2.11094094246005,484196.870967826,4977494.17668488,-2.11181740578178,484196.885124122,4977494.16244116,-2.11199303988121,1,accepted,0.15343387728953,-0.0602807418688669,0.540837239673129,3,6,86,69.752,62.616,6.95,0.061,10.869,9.47654744945938,-0.0474500215973192,30.5806544557886,11.0704601185137,-2.13896935777582,2540.14063353317,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.055597578310703,0.0464764181202789,0.0647521604064457
66,6.49936235356276,1717776577.57359,484196.936081262,4977493.97219266,-2.10906349939976,484196.778057179,4977493.9873754,-2.1104824636626,484196.788658166,4977493.97355123,-2.1112625991509,1,accepted,0.147429355450533,-0.125999134468278,0.485814471438231,3,4,72,70.964,64.552,6.217,0.064,10.869,10.2158690747092,1.05728762811089,31.0199491156136,10.982583905356,1.25431494557142,2472.76064477792,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0580793359116083,0.0477106022254575,0.0666082661622222
67,6.59974552617345,1717776577.66561,484196.829969023,4977493.7855129,-2.10577352427384,484196.67921259,4977493.79049178,-2.10836204988462,484196.6936397,4977493.79424443,-2.10803534408323,1,accepted,0.136608653037752,-0.129592729096902,0.486468852517759,3,6,72,71.957,64.807,6.962,0.08,10.869,10.299964335968,0.877310271271775,29.445031717796,10.9934984125781,5.6043926884171,2352.93687134464,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0562178538952825,0.0472346590920326,0.067294381645042
68,6.6999136029467,1717776577.75743,484196.720628965,4977493.5917448,-2.10144419473808,484196.583204258,4977493.60372167,-2.10379668316258,484196.576237329,4977493.5933137,-2.1036816310088,1,accepted,0.144400158911337,-0.128195655241952,0.476710244417216,3,5,74,70.654,64.821,5.653,0.062,10.869,10.0458729343897,1.58607672769197,31.7009063802511,10.8276705493367,15.6096289500252,2229.62796545386,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0531623661401738,0.0442723980985141,0.0667288959885756
69,6.79977034995281,1717776577.84896,484196.607209269,4977493.39045544,-2.0958139058411,484196.465649326,4977493.39644643,-2.09835171084557,484196.484800784,4977493.40464176,-2.09877916218146,1,accepted,0.123227793659422,-0.169896673477096,0.583074103524484,3,5,73,65.74,60.015,5.564,0.062,10.869,10.5252645644586,1.59153471298151,31.3764013685403,11.2546863856287,26.9351881444915,2310.10450728179,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0466550482992175,0.0404887393851734,0.0671111936672022
70,6.90044560554469,1717776577.94125,484196.487076146,4977493.17925451,-2.08859807982068,484196.370920366,4977493.19685762,-2.09209072757299,484196.382256636,4977493.20629532,-2.09302882983404,1,accepted,0.108251259593826,-0.253863275843266,0.573265721748586,3,5,78,67.355,60.863,6.297,0.07,10.869,10.5177755653923,1.80537189776385,29.9906659161179,11.442345178346,37.0152680885146,2299.03539131805,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0386977996807393,0.0375841063585161,0.0686959476800882
71,6.99951947652819,1717776578.03207,484196.363949528,4977492.96111502,-2.08012629718592,484196.267100806,4977492.99016551,-2.08508046139046,484196.26911838,4977492.99755295,-2.08650587031712,1,accepted,0.101590694607222,-0.365522615512983,0.561440693959279,3,5,79,65.247,59.19,5.887,0.065,10.869,10.4551636739124,2.17849455302638,27.5354088184449,11.2683487542442,38.9940469424385,2118.42231689697,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0322522075047636,0.0369819962716704,0.0692544733008453
72,7.09941471710617,1717776578.12364,484196.234956076,4977492.72840561,-2.07024732748538,484196.150246144,4977492.76459704,-2.07710705688613,484196.167033313,4977492.75632507,-2.07611977665073,1,accepted,0.0734370370105491,-0.336466552579901,0.561911183770235,3,6,87,71.132,64.658,6.299,0.065,10.869,10.5342204097347,2.37970074539876,28.7502231771508,11.4140229573694,35.5484285137334,2058.41451644259,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0298107806024017,0.0396536253923382,0.0676336467750186
73,7.19946159114635,1717776578.21535,484196.100084045,4977492.48051066,-2.05877169856972,484196.045292424,4977492.50518663,-2.06499276219477,484196.040170318,4977492.51051556,-2.06604753461847,1,accepted,0.0670070772039878,-0.416874698022525,0.561520226026934,3,6,91,71.429,64.059,7.172,0.08,10.869,9.94837893832247,2.34841073113158,32.110098986513,10.6040989636727,24.8052784042781,1945.90898780175,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0313459007899762,0.0439601965556308,0.0659479321161405
74,7.29997480960797,1717776578.30749,484195.958690092,4977492.215999,-2.04531430538742,484195.916488201,4977492.24188005,-2.05316234172534,484195.93821372,4977492.24147434,-2.05326202868151,1,accepted,0.032684471250008,-0.455371001489277,0.583818307804509,3,6,92,67.118,60.479,6.474,0.06,10.869,10.221891324241,2.28978010822832,30.6308794770814,10.8535622339601,23.7390403651866,2042.42454443804,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0381071456389463,0.0505059348918939,0.0646402608794376
75,7.40095775368317,1717776578.40006,484195.810513979,4977491.93389897,-2.02965927089342,484195.812666709,4977491.95416587,-2.03831933854447,484195.785821221,4977491.971677,-2.04215915469816,1,accepted,0.0451321557983725,-0.716190586415232,0.558305336002292,3,8,96,70.226,62.262,7.791,0.063,10.869,9.49623761483477,2.36078266761812,33.126140565525,9.80573595868617,25.2368592897061,1832.42073356085,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0480157463245746,0.0599459143574602,0.06407628143977
76,7.50037000397079,1717776578.49118,484195.660455276,4977491.63969352,-2.01305951498321,484195.659842917,4977491.67073057,-2.02597567035949,484195.669995301,4977491.67030123,-2.0246307759096,1,accepted,0.0320599996056807,-0.662984414726827,0.555893361677549,3,6,98,74.544,67.796,6.575,0.066,10.869,9.8970218693612,2.34716077669547,29.8034269760537,10.1735885506995,29.1060625390405,1878.83105632381,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc,0.0598726745900032,0.0700325149428244,0.0616248426653369
