variant,accepted,directionalAccepted,reason,errorM,yawErrorDeg,rank,similarity,iterations
five_recorded_seed,1,0,accepted,0.35755372916288,0.0303846468853684,3,0.401190312527722,8
five_old_seed,1,0,accepted,0.122743048094197,0.516352598801661,3,0.495692338833603,5
without_pole,1,0,accepted,0.353262518982149,-0.618786824184263,3,0.622716141866032,12
without_sign,1,0,accepted,0.175538092344712,0.6828420704361,3,0.259570476095022,10
without_curb,1,0,accepted,0.421761253992277,-0.104069067098884,3,0.505039906691358,5
only_curb,0,1,acceptedDirectional,0.21646141381804,0.537933996424098,2,0.406112623825303,11
minimum_support_3,0,0,notConverged,0.188097912189045,0.950664759920551,2,0.501738291910071,10
minimum_support_4,1,0,accepted,0.319830295238787,-0.659211189217982,3,0.707288806171572,7
minimum_support_5,0,1,acceptedDirectional,0.408341740641798,0.0799775040926017,2,0.719701618010715,5
reference_motion,1,0,accepted,0.289455038011846,-0.0561485144784462,3,0.39880667086835,8
reference_seed,1,0,accepted,0.122747518668797,0.516344149209028,3,0.495694576241585,6
without_selected_sign_target,1,0,accepted,0.122758458038753,0.516323493702244,3,0.495700002143133,6
without_colocated_pole,1,0,accepted,0.385599091185678,-0.0162661899910909,3,0.425789666711086,6
