source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,temporalStability,weight,robustWeight,globalTarget,sourceXY_1,sourceXY_2,targetBodyXY_1,targetBodyXY_2,referenceDistanceM,detections,frameMask_1,frameMask_2,frameMask_3,frameMask_4,frameMask_5
1,59,curb,20.2954425105131,NaN,0.00274627103144694,0.4,0.0017774877514676,0.000418501158617821,720,1.91031604238272,-3.26658042492853,0.493562827514168,-2.57586571745119,1.57615877340003,2,1,1,0,0,0
2,59,curb,27.6857337699409,NaN,0.00274627103144694,0.4,0.00281002799094361,0.000517527484817609,720,2.43156152762431,-3.53004642838843,0.493562827514168,-2.57586571745119,2.16016198252661,2,1,1,0,0,0
3,59,curb,2.53701655073174,NaN,0.00274627103144694,0.4,0.00396584463662123,0.00282081282489659,720,2.47154078939303,-2.72491050663514,0.493562827514168,-2.57586571745119,1.98358543220637,2,1,1,0,0,0
4,59,curb,26.4020073265272,NaN,0.00274627103144694,0.6,0.00329266622723218,0.00063025723700246,720,3.30952759939052,-3.51308484425529,0.493562827514168,-2.57586571745119,2.96783377029376,3,1,1,1,0,0
5,59,curb,1.28013898537984,NaN,0.00274627103144694,0.6,0.00546567714545127,0.00453650088336946,720,3.460383745639,-2.60824368667311,0.493562827514168,-2.57586571745119,2.966997588997,3,1,1,1,0,0
6,59,curb,0.59528756262335,NaN,0.00274627103144694,0.4,0.00310327996546603,0.00283340905794316,720,3.43998890202862,-2.03118398532526,0.493562827514168,-2.57586571745119,2.99634857816816,2,1,1,0,0,0
7,59,curb,30.8483000347131,NaN,0.00274627103144694,0.6,0.00531878125163241,0.000896062158956004,720,4.13478587709132,-3.70197750804987,0.493562827514168,-2.57586571745119,3.81138204090029,3,1,1,0,1,0
8,59,curb,0.839620730738815,NaN,0.00274627103144694,0.6,0.00540607390175173,0.00476583489712676,720,4.3994372552976,-2.43075037355559,0.493562827514168,-2.57586571745119,3.90856924061049,3,1,1,1,0,0
9,59,curb,0.745644247892283,NaN,0.00274627103144694,0.4,0.00301917479118565,0.00269737021727422,720,4.18602921755301,-2.00780603080852,0.493562827514168,-2.57586571745119,3.73590683089863,2,1,1,0,0,0
10,59,curb,31.0230613716797,NaN,0.00274627103144694,0.4,0.00342276893678206,0.000573934768640761,720,4.712243022997,-3.60278543659827,0.493562827514168,-2.57586571745119,4.34186903318515,2,1,0,0,1,0
11,59,curb,1.29266157083735,NaN,0.00274627103144694,1,0.00817349416284504,0.00677272048308411,720,5.31000449152794,-2.65200544384095,0.493562827514168,-2.57586571745119,4.81704344601358,5,1,1,1,1,1
12,59,curb,0.498452522219634,NaN,0.00274627103144694,0.6,0.00451821403748667,0.00418449083568623,720,4.97005154397896,-2.04704560088234,0.493562827514168,-2.57586571745119,4.50761599344093,3,1,1,1,0,0
13,59,curb,0.414605830129776,NaN,0.00274627103144694,1,0.00931341515600005,0.00873402661892561,720,6.12732103256625,-2.47765902581119,0.493562827514168,-2.57586571745119,5.63461410100768,5,1,1,1,1,1
14,67,curb,0.0600527130709869,NaN,0.00097718142650001,0.8,0.00627679268575101,0.00621705650805115,728,5.91808900489618,-2.0409916302363,8.17765180139982,-2.44159243371538,2.29479956316264,4,1,1,1,1,0
15,59,curb,1.04104252267613,NaN,0.00274627103144694,1,0.00931469421805104,0.0079847070815671,720,6.85685261197554,-2.45865443734496,0.493562827514168,-2.57586571745119,6.36436920403072,5,1,1,1,1,1
16,67,curb,0.062249836241266,NaN,0.00097718142650001,1,0.00783611717785904,0.00775883934131201,728,7.1042215675161,-2.04215419764217,8.17765180139982,-2.44159243371538,1.14533984976204,5,1,1,1,1,1
17,67,curb,2.44992668270055,NaN,0.00097718142650001,0.8,0.00742661099985349,0.00533525401327591,728,8.08830308819068,-2.46574160569383,8.17765180139982,-2.44159243371538,0.0925547138690022,4,1,1,1,0,1
18,67,curb,0.0889766641520736,NaN,0.00097718142650001,1,0.00776148398997345,0.00765254038741959,728,7.94945110960566,-2.03139158646877,8.17765180139982,-2.44159243371538,0.469404187046899,5,1,1,1,1,1
