frame,positionErrorM,yawErrorDeg,accepted,directionalAccepted,predictedX,predictedY,referenceX,referenceY,initialErrorM
949,0.151733912012592,-0.266162346718572,1,0,484451.472509237,4976627.81272685,484451.361101357,4976627.92520669,0.158314334687349
950,0.1571957923351,-0.30058234295172,1,0,484452.647802966,4976627.9350831,484452.532051221,4976628.06537913,0.174285746446361
951,0.179744149602362,-0.272737709798249,1,0,484453.822694893,4976628.06714511,484453.706584541,4976628.20507635,0.180295980841862
952,0.197450411717862,-0.243805045900365,1,0,484455.012290479,4976628.18746522,484454.886783458,4976628.34682977,0.202852344538322
953,0.239294242661551,-0.24450217346779,1,0,484456.195530695,4976628.31471701,484456.060044656,4976628.49025383,0.221742287412083
954,0.293864214218806,-0.220572708340878,1,0,484457.387388543,4976628.41727343,484457.236567789,4976628.63627118,0.265907716203279
955,0.304522303383583,-0.178617063276725,1,0,484458.597478357,4976628.51655051,484458.418561448,4976628.78434913,0.322067323910349
956,0.32430736449481,-0.110571008441726,1,0,484459.781595734,4976628.65235179,484459.603433621,4976628.93338649,0.33274951714811
957,0.345709457186021,-0.0539805356604109,1,0,484460.965046668,4976628.77930434,484460.787217362,4976629.08321959,0.352118926032124
958,0.386346402111816,0.00707311013164132,1,0,484462.152697695,4976628.90597446,484461.975804179,4976629.23648849,0.374874434669726
959,0.357553729188549,0.030384646329995,1,0,484463.369054674,4976629.02505432,484463.174604266,4976629.39182835,0.41513148886675
960,0.17474946934107,0.879375571592427,1,0,484464.528310166,4976629.19873046,484464.359661593,4976629.54603242,0.386084184682291
961,0.0427389050701113,0.160549488472816,1,0,484465.457532298,4976629.54002425,484465.538288747,4976629.69946397,0.178725007903566
962,0.0394771476968912,0.0399742178181099,1,0,484466.709220458,4976629.80541596,484466.73330742,4976629.85399544,0.0542231243969293
963,0.0433301776586861,-0.00251475538077586,1,0,484467.89424567,4976629.96379504,484467.918124131,4976630.00623288,0.0486944668849556
964,0.0472762719722174,0.027903807808219,1,0,484469.092359395,4976630.09893747,484469.105209662,4976630.1589767,0.0613990084865603
965,0.0503345846680245,-0.0957446374968489,1,0,484470.300009794,4976630.24335764,484470.296329444,4976630.31219836,0.0689390249484351
966,0.0947522151086288,0.287357170929738,1,0,484471.503317672,4976630.39210566,484471.486093509,4976630.46613979,0.0760113445423522
967,0.0903432908488247,0.462249102971278,1,0,484472.691681782,4976630.51022113,484472.678715327,4976630.62205328,0.112581335612187
968,0.157620353640786,0.451760331865515,1,0,484473.867262828,4976630.67248017,484473.851573781,4976630.77569288,0.10439832735221
969,0.139513620034232,0.57545396997773,1,0,484475.15105274,4976630.79471229,484475.040896222,4976630.93234186,0.176284872642146
