source,class,x,y,detections,stability,frameMask_1,frameMask_2,frameMask_3,frameMask_4,frameMask_5
1,curb,1.91031604238272,-3.26658042492853,2,0.4,1,1,0,0,0
2,curb,2.43156152762431,-3.53004642838843,2,0.4,1,1,0,0,0
3,curb,2.47154078939303,-2.72491050663514,2,0.4,1,1,0,0,0
4,curb,3.30952759939052,-3.51308484425529,3,0.6,1,1,1,0,0
5,curb,3.460383745639,-2.60824368667311,3,0.6,1,1,1,0,0
6,curb,3.43998890202862,-2.03118398532526,2,0.4,1,1,0,0,0
7,curb,4.13478587709132,-3.70197750804987,3,0.6,1,1,0,1,0
8,curb,4.3994372552976,-2.43075037355559,3,0.6,1,1,1,0,0
9,curb,4.18602921755301,-2.00780603080852,2,0.4,1,1,0,0,0
10,curb,4.712243022997,-3.60278543659827,2,0.4,1,0,0,1,0
11,curb,5.31000449152794,-2.65200544384095,5,1,1,1,1,1,1
12,curb,4.97005154397896,-2.04704560088234,3,0.6,1,1,1,0,0
13,curb,6.12732103256625,-2.47765902581119,5,1,1,1,1,1,1
14,curb,5.91808900489618,-2.0409916302363,4,0.8,1,1,1,1,0
15,curb,6.85685261197554,-2.45865443734496,5,1,1,1,1,1,1
16,curb,7.1042215675161,-2.04215419764217,5,1,1,1,1,1,1
17,curb,8.08830308819068,-2.46574160569383,4,0.8,1,1,1,0,1
18,curb,7.94945110960566,-2.03139158646877,5,1,1,1,1,1,1
19,curb,8.77491457987156,-2.46754423113224,4,0.8,1,1,0,1,1
20,curb,8.67874007672719,-2.08100896848825,3,0.6,1,0,0,1,1
21,curb,9.60671920009141,-2.5034659836747,5,1,1,1,1,1,1
22,curb,9.27411298107961,-2.0741053319473,4,0.8,1,1,1,1,0
23,curb,10.7458911849749,-2.60858816621747,5,1,1,1,1,1,1
24,curb,10.1185560216832,-2.02141534207281,5,1,1,1,1,1,1
25,curb,11.1276624302086,-3.25562283955665,2,0.4,1,1,0,0,0
26,curb,11.652633519677,-2.67868143064675,5,1,1,1,1,1,1
27,curb,11.6910363190051,-2.07972712038038,5,1,1,1,1,1,1
28,curb,12.5052949165871,-2.68564017443662,5,1,1,1,1,1,1
29,curb,13.3880631536503,-2.70158550639897,4,0.8,1,1,0,1,1
30,curb,12.8590948448038,-2.11155738554521,5,1,1,1,1,1,1
31,curb,13.8560384989383,-2.65158079360261,3,0.6,1,0,1,1,0
32,curb,14.5440146188013,-2.89057856683958,3,0.6,1,1,0,0,1
33,curb,14.937597695506,-2.56554448604353,5,1,1,1,1,1,1
34,curb,14.9987386810332,-2.07201818595028,5,1,1,1,1,1,1
35,curb,16.9416363850032,-2.50984065346774,3,0.6,1,0,0,1,1
36,curb,16.089562591352,-1.95059662928986,5,1,1,1,1,1,1
37,curb,18.6604087283126,-2.49092584448475,4,0.8,1,0,1,1,1
38,curb,18.2521153468898,-1.89341914564775,4,0.8,1,0,1,1,1
39,pole,-29.6100902075308,11.3356376775011,2,0.4,1,1,0,0,0
40,pole,-23.8552734534828,-2.96289927569373,2,0.4,1,1,0,0,0
41,pole,1.48967685085338,11.099916406519,2,0.4,1,1,0,0,0
42,pole,14.7082468644423,-10.365599623178,2,0.4,1,1,0,0,0
43,trafficSign,10.6853470458189,-3.53799528172828,5,1,1,1,1,1,1
44,curb,4.71922766403124,7.69580359739997,2,0.4,0,1,0,1,0
45,curb,5.07723689075994,7.56947756749744,2,0.4,0,1,0,1,0
46,curb,5.80118322400057,7.80245680440174,2,0.4,0,1,0,1,0
47,curb,7.15916379692878,6.99051647874143,2,0.4,0,1,0,1,0
48,curb,7.63701706902782,6.96163309889237,2,0.4,0,1,0,1,0
49,curb,10.8200359633908,-2.08435178476002,3,0.6,0,1,1,0,1
50,curb,13.0944735276662,-3.258789116192,2,0.4,0,1,0,1,0
51,curb,14.025252165094,-2.00607600924045,4,0.8,0,1,1,1,1
52,curb,14.1334914817538,-3.30043497644356,3,0.6,0,1,0,1,1
53,curb,16.1441232186909,-2.46598951547459,3,0.6,0,1,1,0,1
54,curb,17.1571083350522,-2.001188408533,4,0.8,0,1,1,1,1
55,curb,17.5023975752874,-2.45338306145186,3,0.6,0,1,1,1,0
56,pole,19.4485503452116,-11.3273249543757,2,0.4,0,1,0,1,0
57,curb,7.54985933862514,-2.44001093012438,2,0.4,0,0,1,1,0
58,curb,15.8374450290911,-2.51864425268597,2,0.4,0,0,1,1,0
59,pole,10.6607207229866,-3.57957204823083,3,0.6,0,0,1,1,1
60,curb,19.5779671624759,-2.51947862797868,2,0.4,0,0,0,1,1
61,curb,19.4542489715529,-1.92908906159277,2,0.4,0,0,0,1,1
