iteration,errorM,yawErrorDeg,similarity,frozenCost,pairs,curbPairs,polePairs,signPairs,x,y
1,0.153166131845898,0.654690282508663,0.503763821931937,3.5798188292537,134,126,5,3,484463.112062042,4976629.25201299
2,0.415898980576265,2.10457914596291,0.466034430521355,3.38261802988393,134,126,5,3,484463.002942802,4976629.01300873
3,0.571323341416397,2.92285437161064,0.449409207980704,3.31852347196361,134,126,5,3,484462.960861844,4976628.86199391
4,0.646829090957897,3.30918120415453,0.442341875905377,3.3010048625962,134,126,5,3,484462.941879589,4976628.78831605
5,0.677276544412036,3.45850268473021,0.440279900607011,3.29543684091621,134,126,5,3,484462.934071967,4976628.75870298
6,0.688301396158551,3.51072825873509,0.439154422663929,3.29505419133186,134,126,5,3,484462.931262541,4976628.74797773
7,0.691526539855829,3.52632109615176,0.438765479515365,3.29500055064497,134,126,5,3,484462.930380023,4976628.74486353
8,0.692455189254803,3.53087847643455,0.438633066366009,3.2949900753332,134,126,5,3,484462.930102366,4976628.74397574
9,0.692722401951338,3.53220910351479,0.438588735955188,3.29498746087472,134,126,5,3,484462.930015165,4976628.74372304
10,0.69279961342634,3.53259932863158,0.438574078332883,3.29498673262741,134,126,5,3,484462.929987796,4976628.74365084
11,0.692822052408022,3.53271442683461,0.43856927626804,3.29498652123528,134,126,5,3,484462.929979205,4976628.7436301
