frame,timeSeconds,rosStamp,referenceX,referenceY,referencePsi,predictedX,predictedY,predictedPsi,x,y,psi,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi,directionalAccepted,clockModelId
949,94.7996703866362,1717776658.51594,484451.361101357,4976627.92520669,0.103419937378145,484451.456856339,4976627.841683,0.0996549308262151,484451.449013481,4976627.84700372,0.100449081417086,1,accepted,0.117661571753344,-0.170217508109968,0.514726528920703,3,5,223,70.453,60.88,9.34,0.099,11.85438,12.270009902957,-0.25067098459241,35.6488758495177,15.2091142002987,131.427326983895,4561.56039584226,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
950,94.8994067111843,1717776658.60737,484452.532051221,4976628.06537913,0.103933839063813,484452.628696721,4976627.96661811,0.100282048655483,484452.622307769,4976627.9669429,0.10045604874851,1,accepted,0.133551244897652,-0.199262707098349,0.51377541344868,3,5,210,73.863,64.794,8.85,0.087,11.85438,11.8452232361413,-0.30621846006945,40.5193878885589,15.0991479699091,128.81182209192,4366.75906138386,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
951,94.9992801040593,1717776658.69892,484453.706584541,4976628.20507635,0.104443737540972,484453.806658759,4976628.08680777,0.100672904708541,484453.801569412,4976628.08669259,0.100685479001306,1,accepted,0.151778918772052,-0.215332352641883,0.503007694556521,3,5,185,66.48,57.558,8.387,0.399,12.01088,11.4547217786194,-0.309217432093329,40.3702787365523,14.5717958821127,120.666806472482,4081.01746742866,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
952,95.0995152844917,1717776658.7908,484454.886783458,4976628.34682977,0.104698065110353,484454.992991473,4976628.20910979,0.100995640842306,484454.999414822,4976628.20008049,0.101584865964629,1,accepted,0.184989665470708,-0.178373171833711,0.50219080758536,3,5,150,67.91,59.128,8.568,0.068,12.01088,11.2206346170529,-0.412013441087555,39.9390163505623,14.2476683849729,112.718498944224,3866.72887236657,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
953,95.199041194853,1717776658.88203,484456.060044656,4976628.49025383,0.104449972388367,484456.185223711,4976628.32394217,0.101705015050706,484456.012837311,4976628.41109911,0.112429279430298,1,accepted,0.0921629134247618,0.457180616941662,0.573243231491422,3,8,149,72.258,62.351,9.688,0.087,12.01088,11.2475931540222,-0.326961519481573,35.996856704795,14.1732823799733,139.520859062036,3995.58880128924,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
954,95.2987398061044,1717776658.97342,484457.236567789,4976628.63627118,0.104073807046121,484457.200207127,4976628.54788909,0.112494191486126,484457.207668169,4976628.51416825,0.113425995021764,1,accepted,0.125476346688789,0.535840900217314,0.574971209104165,3,5,143,66.914,59.616,7.084,0.081,12.01088,10.8107427714095,-0.386505447959047,35.2236023219043,13.3564311369476,122.730578917248,3549.34549732707,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
955,95.3988067072056,1717776659.06515,484458.418561448,4976628.78434913,0.104278348591205,484458.399889208,4976628.65201681,0.113503536123838,484458.379474568,4976628.64577131,0.113563879794064,1,accepted,0.143984702560441,0.532021748460876,0.576438372983612,3,5,144,64.949,56.761,7.975,0.075,12.01088,10.7766737585748,-0.244243447818242,37.3838068352228,13.2463274329574,123.28550239801,3371.89039822535,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
956,95.4989992325988,1717776659.15699,484459.603433621,4976628.93338649,0.10468190095071,484459.574002764,4976628.78331715,0.113915150546784,484459.567260679,4976628.81884386,0.113034404125772,1,accepted,0.120118673237667,0.47856318030063,0.572650105527089,3,5,139,66.386,58.312,7.865,0.08,12.01088,10.7531834618967,-0.298486214380185,40.0864247016472,12.7467461250301,109.850796060894,3210.5761150553,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
957,95.5989610566525,1717776659.24863,484460.787217362,4976629.08321959,0.105025542626021,484460.759304012,4976628.95428098,0.113521123835851,484460.735698826,4976628.98309542,0.113316890081215,1,accepted,0.11260110296354,0.475059215659121,0.584139812135521,3,6,134,62.094,54.4,7.495,0.072,12.01088,11.0237310675314,-0.349015668964426,38.8140402543251,13.6580335341603,115.494401877732,3207.78031726245,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
958,95.6991595641549,1717776659.34048,484461.975804179,4976629.23648849,0.105249597144009,484461.932207861,4976629.11917803,0.113752089060909,484461.905176135,4976629.11078051,0.116487364130404,1,accepted,0.1441902075265,0.64387661947188,0.518602296311903,3,9,154,68.134,57.779,10.148,0.078,12.01088,10.0024239599532,-0.490315480940455,27.2088319651321,12.3694861877545,115.945288806634,2426.12823885352,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
959,95.8001755398762,1717776659.43307,484463.174604266,4976629.39182835,0.105530473068866,484463.112062042,4976629.25201299,0.116956974079454,484462.929979205,4976628.7436301,0.167187971352103,1,accepted,0.692822051536685,3.53271442696463,0.438569276267645,3,11,134,69.099,57.7,11.167,0.089,12.01088,9.24738143004059,-0.265986169841839,16.329049345115,11.6574270293069,121.643072606312,1550.10067453829,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
960,95.8999846901009,1717776659.52457,484464.359661593,4976629.54603242,0.10581962846872,484464.115967476,4976628.94426752,0.167584410678091,484464.210769424,4976629.36435405,0.126915705558332,1,accepted,0.234895532240057,1.20871618151744,0.459622241395655,3,19,164,78.006,61.389,16.401,0.078,12.01088,9.53648677834878,-0.335247064057297,29.363524880287,11.8214106328498,124.352475766153,1619.4016368613,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
961,95.9991849656515,1717776659.6155,484465.538288747,4976629.69946397,0.105862357251438,484465.396110911,4976629.51594805,0.127311253946273,484465.468119421,4976629.76845659,0.104134180432651,1,accepted,0.0984058729954483,-0.0990172379688754,0.479789813583711,3,9,143,70.472,60.024,10.238,0.077,12.01088,9.79270304768069,-0.298052202497112,36.1625536738168,12.226034017301,123.548182078359,1605.81778238766,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
962,96.0997884359336,1717776659.70772,484466.73330742,4976629.85399544,0.106712666219589,484466.673646183,4976629.89483137,0.104427302121373,484466.67647717,4976629.92510714,0.10388990259145,1,accepted,0.0910304983447473,-0.161732442455405,0.45241710717899,3,7,150,63.945,54.676,9.066,0.073,12.01088,10.1339040641995,-0.220480276775738,41.8261664323411,12.3411167577086,114.731676451886,1479.39825667283,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
963,96.1994706614078,1717776659.7991,484467.918124131,4976630.00623288,0.107031170666074,484467.872444607,4976630.04973555,0.104236705052408,484467.870445479,4976630.07596414,0.100918625605222,1,accepted,0.0844730919669684,-0.350223034070363,0.431476783598811,3,7,124,64.615,56.289,8.122,0.075,12.01088,10.3106006933332,-0.125800918374204,39.2159596014533,12.4968654280299,103.894619072346,1270.02697713905,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
