scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,11690,0.117402731465409,0.0673950569958958,0.234138420152717,0.461107186772476,0.713857998289136,0.54683939813387,10824,0,1.73656
both,outage_40_60,2000,0.0735060429814962,0.0487228836580644,0.148366453069317,0.230225228710903,0.82,0.202776534958969,1989,0,1.73656
both,recovery_60_70,1000,0.110668360537283,0.0786193326777987,0.214048734373831,0.254736655500557,0.633,0.460031549533237,945,0,1.73656
lidar_only,full,11690,0.234266524254194,0.0776560271467961,0.303120774147566,1.80903177127928,0.658511548331908,0.333811381030175,0,865,0.836883
lidar_only,outage_40_60,2000,0.0807453790756849,0.0554561801716529,0.160240574565834,0.246317343943115,0.788,0.202935522541925,0,11,0.836883
lidar_only,recovery_60_70,1000,0.126222925805852,0.0885371965640408,0.237209907121032,0.287865219536675,0.574,0.461846277828218,0,55,0.836883
gnss_only,full,11690,0.274211453935885,0.175744608360965,0.55301341135832,0.773572441410377,0.306244653550043,1.43889581358969,0,1,1.271732
gnss_only,outage_40_60,2000,0.11623379876731,0.0764361987576001,0.176582256769798,0.184931681494514,0.5325,1.02980613600715,0,0,1.271732
gnss_only,recovery_60_70,1000,0.145151685140574,0.110545818872561,0.246609656165548,0.249452765484544,0.407,1.50851583428665,0,0,1.271732
gnss_outage,full,11690,0.118240470159158,0.0688241853209138,0.23455323006733,0.461107186772476,0.708383233532934,0.546849488405045,8835,11,1.587685
gnss_outage,outage_40_60,2000,0.0807477577247109,0.055456179545531,0.160240576361429,0.246317315524609,0.788,0.202935522553203,1,11,1.587685
gnss_outage,recovery_60_70,1000,0.111000246895456,0.0786193326777987,0.214398253221528,0.254736655500557,0.633,0.460031549533237,944,0,1.587685
lidar_outage,full,11690,0.122297470384169,0.0714488333229604,0.233685715794625,0.461833999811046,0.677074422583405,0.570726897559927,8845,0,1.661456
lidar_outage,outage_40_60,2000,0.11385642140208,0.0751399957615663,0.187989460186269,0.198913581834634,0.5775,0.451628485569609,11,0,1.661456
lidar_outage,recovery_60_70,1000,0.103628649835684,0.0757423063724044,0.198723005074307,0.250898439920236,0.686,0.437897836240194,944,0,1.661456
both_outage,full,11690,0.667743620028125,0.0823405435140659,1.8873621334678,2.62103883524342,0.581779298545766,0.541619204944608,8835,1990,1.558593
both_outage,outage_40_60,2000,1.57940252980816,1.50110425269891,2.5304152408361,2.62103883524342,0.0425,0.103006979765972,1,1989,1.558593
both_outage,recovery_60_70,1000,0.291809019877153,0.0806916625210161,0.245408479847012,2.6003598941786,0.642,0.447183857926937,944,1,1.558593
alternating,full,11690,0.214624103555709,0.154853816265528,0.369349301571443,0.874183265574283,0.200085543199316,0.338396515060825,291,661,1.168948
alternating,outage_40_60,2000,0.1371680402732,0.126840615574748,0.204520033251696,0.245212397753837,0.261,0.184414930968021,56,74,1.168948
alternating,recovery_60_70,1000,0.197776319598422,0.17699598727554,0.298764770529645,0.331518816893482,0.158,0.563052295810757,0,11,1.168948
