method,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg,headingMaximumDeg
raw_lidar_matching,same_accepted_frames,1083,0.148629049115903,0.0787577504700869,0.330654846663287,0.575064923076906,0.253000923361034,0.616805170821791,0.424512722279809,3.0879731433886
raw_lidar_matching,accepted_before60,570,0.142494906261975,0.0698375610189453,0.32288345062587,0.575064923076906,0.307017543859649,0.680701754385965,0.374355637920386,3.0879731433886
raw_lidar_matching,accepted_after60,513,0.15516060048105,0.09225031715233,0.335151583135704,0.516022997751169,0.192982456140351,0.545808966861598,0.474059131302682,2.51221384075209
raw_lidar_matching,accepted_80_86,22,0.183390321402958,0.161661576706979,0.36497961323855,0.418621341694516,0.136363636363636,0.181818181818182,0.329954267198162,1.01964306982732
full_observer,same_accepted_frames,1083,0.0976133671158029,0.0661776521314265,0.194115964552996,0.401027163438176,0.341643582640813,0.743305632502308,0.375474456513987,3.05134653036481
full_observer,accepted_before60,570,0.090382681695655,0.0586170950671404,0.185838459863757,0.322121552246846,0.410526315789474,0.792982456140351,0.341420896045847,3.05134653036481
full_observer,accepted_after60,513,0.105065444075493,0.0754199364530351,0.202232847463078,0.401027163438176,0.265107212475634,0.688109161793372,0.410007858979896,2.95172403005181
full_observer,accepted_80_86,22,0.213400315263044,0.197940760723604,0.340112589471413,0.401027163438176,0,0.0454545454545455,1.07906906378171,2.95172403005181
lidar_motion_observer,same_accepted_frames,1083,0.138690635004811,0.0756105182636336,0.239216953642724,1.8139386743703,0.270544783010157,0.686980609418283,0.31414987235098,1.43431650858041
lidar_motion_observer,accepted_before60,570,0.107921018969452,0.0702187716812445,0.22288742273714,0.369090256897465,0.315789473684211,0.733333333333333,0.282675750630388,1.43431650858041
lidar_motion_observer,accepted_after60,513,0.166332093906093,0.0818712918867138,0.244236908364407,1.8139386743703,0.220272904483431,0.635477582846004,0.345777208894858,1.27334798966805
lidar_motion_observer,accepted_80_86,22,0.631347250444749,0.309974033207094,1.59570851738075,1.8139386743703,0,0,0.206136065217628,0.34065194815414
previous_offline_observer,same_accepted_frames,1083,0.0933923574405277,0.0655534262717519,0.187978636849747,0.328316764535533,0.357340720221607,0.746999076638966,0.31405982707445,1.5512301941393
previous_offline_observer,accepted_before60,570,0.0860930530167926,0.056643045936502,0.164911436916068,0.328316764535533,0.429824561403509,0.801754385964912,0.277825450333712,1.5512301941393
previous_offline_observer,accepted_after60,513,0.10088518135879,0.0749543082553548,0.202441824959825,0.293905364942161,0.276803118908382,0.686159844054581,0.349947316055071,1.15167576082892
previous_offline_observer,accepted_80_86,22,0.179467701330678,0.176358114776036,0.285483337876856,0.293905364942161,0,0.181818181818182,0.359313945175692,0.944159656172756
