frame,aidUsed,candidates,selected,maxRelativeSupport,validCandidates,maxModeSecondMoment
1,1,2,1,0,0,0
2,1,2,2,1,2,0
3,1,2,2,1,2,0
4,1,2,1,1,2,0
5,1,2,2,0.522763705375854,2,0.000694984660029173
6,1,2,2,0.517742438117615,2,0.000665517162336194
7,1,2,2,0.52101999651018,2,0.00101285876369529
8,1,2,2,0.51829229893701,2,0.000883409145079716
9,1,2,2,0.518976763798538,2,0.00118036433830411
10,1,1,1,1,1,0
11,1,1,1,1,1,0
12,1,1,1,1,1,0
13,1,2,2,0.560165957691431,2,0.00166782516578148
14,1,2,2,0.564593352510698,2,0.00120017543643988
15,1,2,2,0.549967607909591,2,0.00119770450645047
16,1,2,2,0.533574667717224,2,0.000727210668713092
17,1,2,2,0.533751830692299,2,0.000784820974422088
18,1,2,2,1,2,0
19,1,2,1,1,2,0
20,1,2,2,1,2,0
21,1,2,2,1,2,0
22,1,2,2,1,2,0
23,1,2,2,1,2,0
24,1,2,2,1,2,0
25,1,2,2,1,2,0
26,1,2,2,1,2,0
27,1,2,2,1,2,0
28,1,2,1,1,2,0
29,1,2,2,1,2,0
30,1,2,1,1,2,0
31,1,2,2,1,2,0
32,1,2,2,1,2,0
33,1,2,2,1,2,0
34,1,2,1,1,2,0
35,1,2,2,1,2,0
36,1,2,1,1,2,0
37,1,2,1,1,2,0
38,1,2,1,1,2,0
39,1,2,1,1,2,0
40,1,2,1,1,2,0
41,1,2,2,0.596455661183663,2,0.00111836589503716
42,1,2,2,1,2,0
43,1,2,2,1,2,0
44,1,2,2,1,2,0
45,1,1,1,1,1,0
46,1,1,1,1,1,0
47,1,2,1,1,2,0
48,1,2,2,1,2,0
49,1,2,2,1,2,0
50,1,2,2,1,2,0
51,1,2,2,1,2,0
52,1,2,2,1,2,0
53,1,1,1,1,1,0
54,1,1,1,1,1,0
55,1,1,1,1,1,0
56,1,1,1,1,1,0
57,1,1,1,1,1,0
58,1,1,1,1,1,0
59,1,1,1,1,1,0
60,1,1,1,1,1,0
61,1,2,2,1,2,0
62,1,1,1,1,1,0
63,1,1,1,1,1,0
64,1,1,1,1,1,0
65,1,1,1,1,1,0
66,1,1,1,1,1,0
67,1,1,1,1,1,0
68,1,1,1,1,1,0
69,1,1,1,1,1,0
70,1,1,1,1,1,0
71,1,1,1,1,1,0
72,1,1,1,1,1,0
73,1,1,1,1,1,0
74,1,1,1,1,1,0
75,1,2,2,1,2,0
76,1,2,1,1,2,0
77,1,2,1,1,2,0
78,1,2,2,1,2,0
79,1,2,1,1,2,0
80,1,2,2,1,2,0
81,1,2,1,1,2,0
82,1,2,2,1,2,0
83,1,2,1,1,2,0
84,1,2,1,1,2,0
85,1,2,2,1,2,0
86,1,2,2,1,2,0
87,1,2,2,1,2,0
88,1,2,2,1,2,0
89,1,2,2,1,2,0
90,1,2,2,1,2,0
91,1,2,2,1,2,0
92,1,2,2,1,2,0
93,1,2,2,1,2,0
94,1,2,2,1,2,0
95,1,2,2,1,2,0
96,1,2,2,1,2,0
97,1,2,2,1,2,0
98,1,2,2,1,2,0
99,1,2,2,1,2,0
100,1,2,2,1,2,0
101,1,2,2,1,2,0
102,1,2,1,1,2,0
103,1,2,2,1,2,0
104,1,2,2,1,2,0
105,1,2,2,1,2,0
106,1,2,1,1,2,0
107,1,2,2,1,2,0
108,1,2,2,1,2,0
109,1,2,2,1,2,0
110,1,2,2,1,2,0
111,1,2,2,1,2,0
112,1,2,2,1,2,0
113,1,2,2,1,2,0
114,1,1,1,1,1,0
115,1,1,1,1,1,0
116,1,1,1,1,1,0
117,1,1,1,1,1,0
118,1,1,1,1,1,0
119,1,2,2,1,2,0
120,1,2,1,1,2,0
121,1,2,2,1,2,0
122,1,2,1,1,2,0
123,1,2,1,1,2,0
124,1,2,2,1,2,0
125,1,2,1,1,2,0
126,1,2,2,0.539954742326717,2,0.000465916612815637
127,1,2,1,1,2,0
128,1,2,2,1,2,0
129,1,2,2,1,2,0
130,1,2,2,1,2,0
131,1,2,2,1,2,0
132,1,2,2,1,2,0
133,1,2,2,1,2,0
134,1,2,2,1,2,0
135,1,2,2,1,2,0
136,1,2,1,1,2,0
137,1,2,2,1,2,0
138,1,2,2,1,2,0
139,1,2,2,1,2,0
140,1,2,2,1,2,0
141,1,2,1,1,2,0
142,1,2,2,1,2,0
143,1,2,2,1,2,0
144,1,2,2,1,2,0
