variant,population,frames,rmseM,p95M,maxM,maxFrame,above30cm
original_matching,common_accepted_frames,1167,0.171568814227243,0.357961835402307,0.68281122157378,847,74
original_matching,after_2_seconds,1147,0.17280801230626,0.360424486532694,0.68281122157378,847,74
aided_matching,common_accepted_frames,1167,0.115059950563302,0.211525499201117,0.333491352834659,840,1
aided_matching,after_2_seconds,1147,0.115685596085257,0.211723348885974,0.333491352834659,840,1
original_fusion,common_accepted_frames,1167,0.0946407557400897,0.194295400566994,0.431858044691537,2,4
original_fusion,after_2_seconds,1148,0.0939515344688764,0.194266995816732,0.304897442547482,847,3
aided_fusion,common_accepted_frames,1167,0.0800154637375481,0.166945406615029,0.431858042352315,2,1
aided_fusion,after_2_seconds,1148,0.0787541991446304,0.164868110337317,0.235787482376,872,0
gnss_only,common_accepted_frames,1167,0.0900342463330182,0.192325606304262,0.447737892734761,2,2
gnss_only,after_2_seconds,1148,0.0887204087733337,0.191582997916553,0.260214757557461,805,0
