scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.0821556148642554,0.0506280062665531,0.167344715967965,0.640312423976002,0.819503849443969,0.392279406316955,1167,0,10.794283
both,outage_40_60,199,0.0395661935404257,0.0374045810085374,0.0573825649884579,0.0659617638754649,1,0.271641212155361,199,0,10.794283
both,recovery_60_70,100,0.0624858924929932,0.0452810148830352,0.129663295349671,0.135513277115489,0.87,0.42263963192324,100,0,10.794283
lidar_only,full,1169,0.242955110359296,0.153730732476989,0.522190820465836,0.759301362969893,0.296834901625321,0.482628339286809,0,1,6.781212
lidar_only,outage_40_60,199,0.0885582684694054,0.0664416062532964,0.162252071992961,0.185721071178625,0.753768844221106,0.27043136922395,0,0,6.781212
lidar_only,recovery_60_70,100,0.131030834572114,0.0832696722580042,0.257163625595244,0.264681117868324,0.58,0.396512535342815,0,0,6.781212
gnss_only,full,1169,0.0919322844206902,0.0616823310595346,0.192688547091038,0.640312423976002,0.774165953806672,1.45992874187776,0,0,0.095604
gnss_only,outage_40_60,199,0.0448420691896239,0.0422206735653405,0.0686343845839082,0.0994759316718972,1,1.00256388763619,0,0,0.095604
gnss_only,recovery_60_70,100,0.0717769952821223,0.0403147815799425,0.129822881893113,0.144893757547151,0.77,1.51430148822577,0,0,0.095604
gnss_outage,full,1169,0.0871922527376844,0.0603210492565334,0.169252403257477,0.640312423976002,0.784431137724551,0.391956794266746,968,0,9.920957
gnss_outage,outage_40_60,199,0.0809926763971475,0.0659672380034344,0.131454128136484,0.173617741425766,0.793969849246231,0.268898665456531,0,0,9.920957
gnss_outage,recovery_60_70,100,0.0627438742819003,0.045272197674239,0.12960978985213,0.135458899078277,0.87,0.422630723101249,100,0,9.920957
lidar_outage,full,1169,0.082647176933198,0.0511663114900723,0.167344912069436,0.640312423976002,0.822070145423439,0.392125072492088,968,0,8.789383
lidar_outage,outage_40_60,199,0.0463511459667334,0.04579200705961,0.0541052914335873,0.0656844951418313,1,0.234585370382231,0,0,8.789383
lidar_outage,recovery_60_70,100,0.0608821217359695,0.0466283737470043,0.118573363876877,0.124095978975694,0.9,0.463183315355925,100,0,8.789383
both_outage,full,1169,0.395242664129254,0.0668774081976764,1.12645650632383,1.37960763740065,0.657827202737382,0.38263607361524,968,199,8.787052
both_outage,outage_40_60,199,0.933054883887117,1.00604147569974,1.33695922413357,1.37960763740065,0.0703517587939698,0.102596091094797,0,199,8.787052
both_outage,recovery_60_70,100,0.147749299781346,0.0466278251236673,0.19875597851613,0.965237140307448,0.83,0.466005315472794,100,0,8.787052
alternating,full,1169,0.192615706504073,0.145542741907667,0.35071984435696,0.640312423976002,0.296834901625321,0.487298066771417,0,0,3.443287
alternating,outage_40_60,199,0.117268456076537,0.108733936945446,0.175596875272165,0.210227541569672,0.376884422110553,0.295004527592002,0,0,3.443287
alternating,recovery_60_70,100,0.163514888761908,0.14838939137331,0.264634207781766,0.284398408338944,0.24,0.416583421956387,0,0,3.443287
