frame,seconds,confirmedComponents
1,0.18327,0
2,0.076921,50
3,0.075334,58
4,0.072015,61
5,0.076331,63
6,0.073274,63
7,0.078639,62
8,0.075317,61
9,0.075384,60
10,0.069294,60
11,0.067848,68
12,0.07008,66
13,0.074074,61
14,0.069153,64
15,0.074473,64
16,0.070763,65
17,0.077767,62
18,0.074209,61
19,0.065651,61
20,0.071442,61
21,0.069554,60
22,0.063814,63
23,0.067527,60
24,0.065444,61
25,0.066418,58
26,0.061922,58
27,0.060679,63
28,0.064486,66
29,0.061436,61
30,0.059552,62
31,0.059895,61
32,0.060146,62
33,0.059118,59
34,0.059389,62
35,0.060097,61
36,0.058721,59
37,0.062994,59
38,0.060715,63
39,0.061864,63
40,0.062286,52
41,0.063557,54
42,0.062469,62
43,0.061385,62
44,0.05892,60
45,0.071071,61
46,0.060476,67
47,0.057119,63
48,0.058253,67
49,0.059889,72
50,0.061976,80
51,0.058877,69
52,0.065292,67
53,0.05927,65
54,0.065166,66
55,0.067403,56
56,0.066874,49
57,0.061558,54
58,0.067128,57
59,0.067609,60
60,0.068538,62
61,0.061207,70
62,0.067146,63
63,0.066483,65
64,0.067902,60
65,0.073137,55
66,0.073963,49
67,0.069356,40
68,0.067112,40
69,0.066873,41
70,0.066445,42
71,0.062822,42
72,0.063506,41
73,0.071272,43
74,0.065885,41
75,0.061826,41
76,0.067117,45
77,0.07233,47
78,0.064383,52
79,0.062353,56
80,0.068485,63
81,0.066813,64
82,0.067502,67
83,0.067957,73
84,0.068229,93
85,0.063587,99
86,0.062655,114
87,0.061409,118
88,0.062931,122
89,0.061942,111
90,0.060294,104
91,0.063255,99
92,0.069084,122
93,0.062819,122
94,0.060893,102
95,0.068308,93
96,0.06316,91
97,0.062854,91
98,0.064071,99
99,0.063241,116
100,0.066494,115
101,0.061187,117
102,0.061554,119
103,0.059827,127
104,0.059855,118
105,0.061653,128
106,0.059731,130
107,0.0587,132
108,0.058472,134
109,0.056289,133
110,0.058132,129
111,0.060036,135
112,0.061362,137
113,0.057952,130
114,0.055937,130
115,0.058407,139
116,0.061406,141
117,0.059392,135
118,0.058429,132
119,0.058678,128
120,0.055956,122
121,0.056643,108
122,0.059283,115
123,0.055285,115
124,0.057844,116
125,0.056699,113
126,0.057368,111
127,0.054969,104
128,0.057141,99
129,0.057416,102
130,0.062459,110
131,0.0624,102
132,0.053221,105
133,0.055776,107
134,0.057229,106
135,0.057063,111
136,0.057615,106
137,0.059233,109
138,0.061257,108
139,0.063456,104
140,0.059465,102
141,0.05759,105
142,0.055014,100
143,0.059979,98
144,0.059148,103
145,0.056599,104
146,0.054111,101
147,0.05605,102
148,0.060493,104
149,0.054778,98
