pattern,seed,gnssUnavailableFraction,rmseCm,medianCm,p95Cm,maxCm,headingRmseDeg,rmseOnLostFramesCm,rmseOnKeptFramesCm,acceptedMatches,matchRmseCm,matchMaxCm,matchAbove30cm,longestGapSeconds,fusedAbove30cm,seconds
none,0,0,7.87541991450812,5.06286154545945,16.4868110337317,23.5787482376,0.385792310067414,NaN,7.87541991450812,1147,11.5685596085087,33.3491352834659,1,0,0,13.437501
iid_frames,1,0.200348432055749,9.04774832310001,5.38420288448732,18.3774484242269,42.0582279001507,0.387132278539603,10.5780890963996,8.62188125687545,1147,11.6716365779125,33.3491352834659,1,0.5,6,11.966702
iid_frames,2,0.200348432055749,8.80022654277781,5.45191066733803,17.9924332847483,31.9158312544428,0.382938211413489,9.4710761849031,8.62397744040244,1147,11.6737884393526,33.3491352834659,2,0.5,2,12.453362
iid_frames,3,0.200348432055749,9.30971923174351,5.45055355192898,19.5247187899514,37.2181929217722,0.388449599239568,11.5749759931056,8.64972862988182,1148,11.8242551673321,48.2721141746352,5,0.4,9,11.908083
iid_frames,4,0.200348432055749,9.07652514367335,5.34151457060236,19.041623778235,36.6475609650172,0.384393746100077,10.9602727972228,8.53971211607374,1148,11.7754826331418,48.2720956936976,4,0.4,5,12.118438
iid_frames,5,0.200348432055749,8.87225867797754,5.46453442556913,19.1336084508956,28.2048147771887,0.381291480589479,9.97752523049407,8.57304599403931,1147,11.597953553767,33.3491352834659,1,0.4,0,12.238016
iid_frames,6,0.200348432055749,9.08250662336327,5.55037641993111,19.945626664593,34.0657697749212,0.383479567634769,10.5801203645818,8.66684099253709,1147,11.7071626168184,40.0241347359687,2,0.4,2,12.196169
iid_frames,7,0.200348432055749,9.11567317112478,5.46461429191793,19.4725475517062,33.8467112050466,0.386873236143985,10.9232673275145,8.60349931831166,1147,11.792378861805,38.8051805381045,5,0.5,5,12.217407
iid_frames,8,0.200348432055749,8.90954822958974,5.51042378193475,17.3080611143718,36.5464774591074,0.387022424530935,10.2378484310756,8.54446161445852,1147,11.7346313348453,33.3491352834659,2,0.4,6,12.697001
iid_frames,9,0.200348432055749,8.94091788200792,5.47255378460859,19.3790369727792,30.7300351146661,0.388047760968774,10.1096422432515,8.62332142029601,1148,11.8506953683942,40.0240824492521,5,0.4,1,12.258184
iid_frames,10,0.200348432055749,9.00945075204686,5.44384950253515,18.6666535846414,33.4992737551954,0.385848662786469,10.342679548183,8.64326013579755,1147,11.7099054780032,48.2717050912143,2,0.3,3,12.567119
burst_1s,1,0.200348432055749,12.1042030312813,5.82978375267431,24.5467796071022,65.3136344398844,0.38494123532507,20.7931544254322,8.65419885578962,1147,13.2259001115816,68.2810553377924,19,2,45,11.843875
burst_1s,2,0.200348432055749,9.88132792866805,5.62008328054537,20.1497166159057,42.8456587451589,0.389865871035217,14.0425267929587,8.52633802886885,1147,11.8004374404312,33.3491352834659,1,3,12,12.11427
burst_1s,3,0.200348432055749,11.2522200418049,5.8764338186356,21.714651067509,65.3438838737714,0.403258160078488,17.922613432874,8.82352289829117,1148,13.3834563182957,68.2810556565473,20,4,29,12.218677
burst_1s,4,0.200348432055749,11.4903264588837,5.90237307442483,20.8232274798454,68.3279299804965,0.391391237206779,19.3982054215413,8.41598886319298,1147,13.2500826482758,68.281059508469,13,2,19,12.232189
burst_1s,5,0.200348432055749,11.2193977348564,5.76686943484708,23.785506619763,46.7101511077284,0.391441137848235,18.6743482671859,8.36895481137734,1147,12.0547930442151,40.5378524331722,10,5,39,12.027599
burst_1s,6,0.200348432055749,12.4500727850226,5.74709183700172,26.916628052053,50.0509423492483,0.438088836037618,22.5225086886933,8.16992526192856,1148,12.9711691915609,44.171959253365,26,4,51,11.651141
burst_1s,7,0.200348432055749,13.0335406901499,5.65671375850382,32.9843286565576,65.3116920178336,0.437964576253507,23.4970293120662,8.60846628797449,1148,13.9843354505987,68.2810552913623,35,3,66,12.219187
burst_1s,8,0.200348432055749,11.9188904418699,5.73187347132317,24.785670863739,57.9955815822778,0.391965209533484,20.8033428399282,8.31996542230176,1148,12.2400184061586,40.9622754777055,10,3,38,12.453338
burst_1s,9,0.200348432055749,11.3144359536265,5.60082415813739,24.9606764657594,49.6828177666716,0.386242776011188,19.4406811762978,8.08699147138526,1148,12.0341777089602,40.9622689282189,10,4,39,12.052823
burst_1s,10,0.200348432055749,11.6241330844771,5.67990848096231,21.7446514095861,56.6195378614153,0.392914980830948,20.6162168829151,7.90478246976482,1147,11.938673091984,33.3491352834659,4,3,35,12.299024
burst_5s,1,0.217770034843206,16.0944116714283,5.25495678574232,35.7362203664314,75.374286018073,0.379706213031197,31.379184541651,7.5511053415842,1148,14.5270218532529,68.2812340229548,36,5,82,11.597026
burst_5s,2,0.217770034843206,15.1099265422251,5.95695678564305,34.9624269556751,75.9010224588569,0.400969598636064,29.1350985268752,7.45336285481192,1147,13.5061729472531,68.2812457626072,14,10,76,12.049067
burst_5s,3,0.217770034843206,15.4600007950153,5.98291486524878,35.6457979091157,75.3833604817389,0.394294283066079,29.3319394324478,8.12586656696591,1148,14.3793608523831,68.2812341795678,31,5,75,11.950686
burst_5s,4,0.217770034843206,12.8800911192934,6.3696027618662,21.5232262955409,75.3833666617261,0.394536220264492,22.8214115080334,8.19074250832672,1147,13.2806377945671,68.2812341853634,14,5,37,12.769572
burst_5s,5,0.217770034843206,13.2888598305512,6.00661473416467,33.5573147272556,57.7458289243372,0.42556399856139,24.1345711825374,7.97478597593218,1147,12.7209045164312,42.6463397480915,21,10,64,12.455445
burst_5s,6,0.217770034843206,10.3528479777688,6.08675247416851,19.8579491728595,39.6107653027857,0.398151422291548,15.8046423146318,8.214661633259,1147,12.0117386310571,33.3491352834659,4,10,15,12.069321
burst_5s,7,0.217770034843206,12.1406513181574,5.76995873410181,23.0335528566835,57.7458289243372,0.378197046362252,21.3012928480856,7.8809111172843,1147,11.9596086588111,38.6345659132471,6,10,37,12.484574
burst_5s,8,0.217770034843206,14.2978116867516,5.7287653201285,30.7590504979507,60.8785840780277,0.385223798162479,27.5130354694991,7.1135318255506,1147,11.8117571359446,33.3491352834659,1,5,58,12.55482
burst_5s,9,0.217770034843206,14.1880377929966,5.65932869726248,28.761793697108,75.3734586371861,0.402327291096932,26.9107658249754,7.46525349296137,1147,13.6260048417947,68.2812340635903,17,10,55,12.223572
burst_5s,10,0.217770034843206,13.0372446192577,6.12082029891575,23.016507871794,75.3838634073267,0.388833004998412,23.3746223487251,8.07343987223637,1147,13.32007216695,68.2812342463166,14,10,37,12.132579
block_23s,5,0.200348432055749,16.6401722596026,5.8641699323398,41.1780297652719,69.0659435946638,0.463263281926494,33.9460793338265,7.58671673399567,1148,14.4289674640104,64.4056096150651,52,23,110,12.159202
block_23s,25,0.200348432055749,10.1271112088928,7.01569674037674,20.0550529162691,25.447027974297,0.400126343073189,14.8577304741928,8.54081743114126,1147,12.1549510926339,33.3491352834659,1,23,0,12.344218
block_23s,45,0.200348432055749,8.7055886747072,5.77589348350231,18.7518116551731,26.4662979927312,0.382981321450509,9.75388703433042,8.42252781923366,1147,11.6793919250521,33.3491352834659,1,23,0,13.105918
