variant,frame,source,class,oldTarget,newTarget,oldReferenceDistanceM,newReferenceDistanceM,heightResidualM,heightCost,accepted
relative_z_all,60,14,trafficSign,1152,1150,0.454216678340285,0.263277764371074,0.351804579658932,0.266064676186586,1
relative_z_all,81,34,trafficSign,1154,1153,0.334814567715636,0.0863370201128669,-0.774019716674843,0.70765593035343,1
relative_z_all,81,61,curb,3,5,3.02163391883324,2.56204114997064,0.920844980779492,4.45566150899278,1
relative_z_all,83,68,curb,5,1,4.46153299679167,4.68933702461163,-1.21717416711019,5.74077874423369,1
relative_z_all,84,22,curb,12,2,1.13657526614309,0.327991655533872,0.587131727417301,2.18907618923721,1
relative_z_all,84,45,trafficSign,1153,1154,0.0697441468164725,0.348313077274052,0.712835038168265,0.508971069932935,1
relative_z_all,84,58,curb,12,10,3.54399381793517,1.69632145676846,0.355509725459171,1.0681620041173,1
relative_z_all,84,88,curb,27,28,2.92459035711563,1.63018058622106,-0.396992889629587,1.76392827319693,1
relative_z_all,85,22,curb,12,2,1.16750217311907,0.294710772596404,0.403683088756509,0.750795027800352,1
relative_z_all,85,80,curb,5,1,7.13124027864717,7.3601610731217,-0.242085384908961,0.590589804741524,1
relative_z_all,86,23,curb,12,2,0.744150864531834,0.536396218993515,0.680730797578519,2.86875840801213,1
relative_z_all,86,46,trafficSign,1174,1176,0.331282556058564,0.288009342284545,0.468365281851277,0.45106206098002,1
relative_z_all,86,77,curb,3,2,3.33638058915504,2.131970624426,-1.51113847457961,3.87285448897793,1
relative_z_all,86,80,curb,27,28,2.9811568635308,1.70707156810489,-0.311149566046367,1.29302606462611,1
relative_z_all,86,108,curb,12,3,1.44248974954138,5.11669471903058,-2.78472719771906,5.05261043852988,1
relative_z_all,86,109,curb,12,3,0.906330945483475,5.72950223343181,-1.83890649154571,5.58660048324056,1
relative_z_all,88,24,curb,3,2,2.95108782415521,2.23739437468395,-0.356696456684176,1.04077583375455,1
relative_z_all,88,44,curb,12,13,3.87907354284297,1.25776881047187,0.549579189453539,1.9369637986007,1
relative_z_all,88,61,trafficSign,1153,1154,0.0462046505636605,0.329867702378306,0.572855450637519,0.368130348303983,1
relative_z_all,88,84,curb,3,1,1.91391155699149,7.5543904567083,-0.959507101130328,3.14165243810639,1
relative_z_all,89,8,curb,5,1,4.69844417639303,4.92727377406299,-0.770074774301548,0.716950232087489,1
relative_z_all,89,13,curb,5,1,6.05240666390197,6.28132817223274,-0.675078473998099,0.567393129915191,1
relative_z_all,89,19,curb,3,2,2.48693542801339,2.9702291443368,-1.83673706729516,3.34202997836794,1
relative_z_all,89,23,curb,3,2,2.93564096876545,2.27538290687486,-1.26246335024109,1.39026105635317,1
relative_z_all,89,24,curb,3,2,3.75862877213874,1.64878712601862,-1.85831327794492,3.35413169626029,1
relative_z_all,90,12,curb,5,1,7.2719878590003,7.50097921232954,-0.868317540538158,2.67964224020396,1
relative_z_all,90,25,curb,2,12,0.394127388155325,1.29827682567805,-0.627005695002424,1.37301206093196,1
relative_z_all,90,39,curb,12,13,4.17689727787172,1.48653476416841,0.545743244489046,1.08270860316882,1
relative_z_all,90,58,trafficSign,1153,1154,0.0928890952236238,0.40352778855851,-0.285724390079537,0.235080827346024,1
relative_z_all,90,102,curb,9,13,5.09706423847203,2.45593430104294,1.2785244521115,4.98405279577543,1
relative_z_all,92,52,curb,24,9,2.34252290516322,1.07809310865319,0.781085258594629,1.02557895004578,1
relative_z_all,92,67,trafficSign,1153,1154,0.017342080320288,0.339254699898951,0.0597480722316561,0.0104738479949736,1
relative_z_all,92,107,curb,27,28,1.51264845799495,0.732600758410732,-0.284924843369225,0.344569077025234,1
relative_z_all,92,110,curb,27,28,0.587037673261312,1.43037982156262,-0.191419650207195,0.148320041110206,1
relative_z_all,92,111,curb,27,28,0.269887055838672,1.65481718702174,0.20738759479238,0.182123442359813,1
relative_z_all,92,117,curb,45,27,2.09323718694542,3.3286802372373,-0.12208375557023,0.061193594103429,1
relative_z_all,93,65,trafficSign,1153,1154,0.0487058694528751,0.300548298604375,0.182758193676165,0.0672655378760324,1
relative_z_all,93,67,trafficSign,1154,1153,0.291140251145927,0.599121339062593,-0.147168358806795,0.0390265298186421,1
relative_z_all,93,96,curb,27,28,1.42859598088839,0.750503138164937,-0.341020550562234,0.87722655000841,1
relative_z_all,93,99,curb,27,28,0.584235371302506,1.58698664425033,-0.227703317411539,0.398097060115128,1
relative_z_all,93,102,curb,27,28,1.22767112056582,2.56138402574209,-0.293803854579949,0.667223494751604,1
relative_z_all,93,107,curb,45,27,2.0628150167189,3.36347788461055,0.0164347326136465,0.00201517001234938,1
relative_z_all,93,111,curb,9,24,0.767669532287688,3.97009407834413,-0.428024353947734,0.962735831827017,1
relative_z_all,95,14,curb,27,28,1.63494085167039,0.825737758267704,-0.405022838756423,2.13387587971739,1
relative_z_all,95,19,curb,27,28,0.658791221387666,1.43067723015407,-0.230793153886452,0.734977007461317,1
relative_z_all,95,29,curb,45,44,2.44587315830324,5.25915451240172,-0.334312022193302,1.13375649006333,1
relative_z_all,95,31,curb,45,27,2.16107433182246,3.28279666118491,-0.139023848910227,0.141286298576858,1
relative_z_all,95,38,curb,9,24,0.754143099238433,3.98637085012446,-0.461667645611357,0.464578782915596,1
relative_z_all,95,58,trafficSign,1153,1154,0.0672152234260587,0.297220684462546,0.0292518659972814,0.00321263276742188,1
relative_z_all,95,59,trafficSign,1154,1153,0.467263999439173,0.756648998238386,-0.206167337630859,0.0715347250019519,1
relative_z_all,95,65,curb,27,28,2.1752301091497,3.54364554911996,0.522227875273927,2.90341991621307,1
relative_z_all,95,85,curb,27,45,1.56858645710455,3.93343631525382,-0.166719040749143,0.191222629997986,1
relative_z_all,95,92,curb,9,24,2.64026913358463,5.94661972741913,-0.849023347526469,3.51230147709331,1
relative_z_all,96,9,curb,27,28,1.30086409336116,0.845826494997227,-0.551920389940193,2.99347851752076,1
relative_z_all,96,12,curb,27,28,0.632889605791358,1.72242469771594,-0.359121986942114,1.37838818366188,1
relative_z_all,96,15,curb,27,28,1.18543402001233,2.50992944376552,-0.513468736549441,2.61991159145408,1
relative_z_all,96,19,curb,45,27,2.82423634944646,2.59690660756024,0.152005566279968,0.254407239217255,1
relative_z_all,96,25,curb,9,24,0.525370964726531,3.71857193655047,-0.389580459996182,1.16689758974772,1
relative_z_all,96,63,curb,45,27,2.4126606182144,3.07924236923002,0.32591244116,1.16740424410279,1
relative_z_all,96,75,curb,9,24,2.51725322156968,5.82357811678871,-0.760901227056422,1.73459744008402,1
relative_z_all,96,80,curb,9,25,1.40465225518266,8.71892275520456,-0.748957138842201,1.9731655459928,1
relative_z_all,96,88,curb,24,25,2.80613358105712,3.78516234189672,-0.365565521960463,0.928210435814988,1
relative_z_all,96,91,trafficSign,1174,1175,0.131150413452035,0.713831037830154,-0.184259609225137,0.0512683715904289,1
relative_z_all,97,11,curb,27,28,1.25087503475697,0.967967185559124,-0.693781572294398,1.92864149249582,1
relative_z_all,97,14,curb,27,28,0.712155835450142,1.88002428468557,-0.315423991058339,1.01160844879169,1
relative_z_all,97,15,curb,27,28,0.847425324550852,2.23861563555551,0.121235133341258,0.209526963664768,1
relative_z_all,97,18,curb,27,28,1.50629744118739,2.8659891634528,-0.372393500709705,1.60344748968489,1
relative_z_all,97,27,curb,9,24,0.953401527363836,4.25053532706277,-0.209856138849943,0.317470527273951,1
relative_z_all,97,31,curb,9,24,0.630971467592173,2.88640202104006,-1.23637137091444,3.70703403239173,1
relative_z_all,97,33,curb,9,24,1.15178895545638,2.17269000859134,-0.360920733249998,0.428679126922305,1
relative_z_all,97,51,trafficSign,1153,1154,0.26112986057748,0.35407911852134,-0.0587323053331374,0.0191962663275181,1
relative_z_all,97,60,curb,9,24,2.53423462065427,5.84105012034304,-0.702378432661845,2.8481927429567,1
relative_z_all,97,66,curb,9,24,1.48820700216252,4.75172370670744,-1.10628072895094,2.21738695506664,1
relative_z_all,97,70,curb,9,25,1.47549314410465,8.61304670220228,-0.84917059660782,3.60855075745927,1
relative_z_all,97,72,curb,9,25,2.1131603575604,7.85892164618817,-0.765280627080415,3.07245422161126,1
relative_z_all,97,83,trafficSign,1174,1175,0.171346250893539,0.785643412636275,-0.254129396128121,0.0993688603385612,1
relative_z_all,97,88,curb,44,42,1.06845774062033,3.11286992461157,0.204321890364668,0.323667203031867,1
relative_z_all,98,8,curb,27,28,1.92618350781637,0.938506652038159,NaN,0,1
relative_z_all,98,11,curb,27,28,0.761074701713685,1.36692136052563,-0.345581413209516,1.27249004993148,1
relative_z_all,98,16,curb,27,28,2.05362628590096,3.4172407937672,-0.430877579571984,1.65329855020386,1
relative_z_all,98,23,curb,9,24,0.879772137032821,4.04726148690397,-1.20685804103255,2.58566083870274,1
relative_z_all,98,52,curb,45,27,2.48816198385751,2.9807414916166,0.355919212627612,1.21350507765565,1
relative_z_all,98,60,curb,9,25,1.48336657678955,8.59063052367697,-0.966615338272277,2.89032754359375,1
relative_z_all,98,63,curb,24,9,1.3349576171188,2.04528480618071,-0.715108050932571,1.45344385329318,1
relative_z_all,98,75,trafficSign,1174,1175,0.227276930597012,0.852070940884189,-0.304035881289252,0.139033810645263,1
relative_z_all,98,81,curb,9,25,2.79425330173945,7.20202536222153,-0.860436169994614,3.04584930971405,1
relative_z_all,98,89,trafficSign,1152,1150,0.3193752610286,0.51114754152331,-0.4790508622076,0.454105146401905,1
relative_z_all,99,10,curb,27,28,0.721114886867697,1.51865814283102,-0.472149079718918,1.38892509404418,1
relative_z_all,99,14,curb,45,27,3.43387162715849,2.04149841331025,0.157982308121234,0.173482225295827,1
relative_z_all,99,21,curb,27,45,3.04478703357472,2.45327275601883,0.496171765734601,1.38208725753811,1
relative_z_all,99,34,curb,9,25,1.43956233334371,8.60245798660837,-0.694357865812094,2.01797275625471,1
relative_z_all,99,62,trafficSign,1176,1175,0.23175749920722,0.987196374785586,-0.343253448106594,0.159300471365357,1
relative_z_all,99,92,curb,9,24,2.75038466241199,6.05160208549052,-1.13268453109796,3.85346927690112,1
relative_z_all,99,93,curb,9,24,2.20152375497407,5.49780591256608,-0.882937922925521,1.56588029564445,1
relative_z_all,99,94,curb,9,24,1.01914435725982,4.21697184762431,-1.50433767036179,5.03285455951608,1
relative_z_all,99,107,curb,9,24,4.05356390174936,7.36184996088307,-0.364732006907019,0.530171293705124,1
relative_z_all,100,12,curb,27,28,0.998714903165265,2.22170581144083,-0.432819140783039,2.22688698170455,1
relative_z_all,100,15,curb,9,24,2.62848912593299,5.93441453737303,-0.504254545519615,1.46696315027599,1
relative_z_all,100,58,trafficSign,1145,1146,0.103625935054985,0.331037797116572,-2.14025222679214,1.95239462910683,1
relative_z_all,100,64,trafficSign,1154,1153,0.848945860316579,0.780881137128497,NaN,0,1
relative_z_all,100,71,curb,27,28,0.571246649809026,1.91995933859037,0.0715295583430304,0.0880736087550947,1
relative_z_all,100,72,curb,9,24,3.27461278550611,6.58160791007551,-0.310155673452044,0.822900868195303,1
relative_z_all,100,73,curb,9,24,2.29338297990945,5.58927880842449,-1.07347843440854,4.79539633656606,1
relative_z_all,100,76,curb,9,24,1.61472813463724,4.89848483320155,-1.00525307886537,2.90881537053641,1
relative_z_all,100,80,curb,44,45,1.07733900983264,1.76959261495335,NaN,0,1
relative_z_all,100,81,curb,9,25,3.77174681888381,6.2192725090104,-0.81217718853452,1.94420774465387,1
relative_z_all,100,103,curb,42,44,2.65966638553534,1.479600608527,0.0556927817635824,0.0264988998702694,1
relative_z_all,100,104,curb,42,44,2.14874155552465,2.01111011447968,0.016870226956371,0.00260863573250458,1
relative_z_all,100,109,curb,9,24,0.571332679642827,3.55908377476784,-1.44789829906043,6.19317685325438,1
relative_z_all,101,8,curb,27,28,0.231216032078942,1.37200336373262,-0.272743214787624,0.439043449817725,1
relative_z_all,101,12,curb,27,28,0.953004279821792,2.3330878698815,-0.478286704928507,1.3078126116421,1
relative_z_all,101,13,curb,9,24,2.74604169197292,6.05192993495141,-0.620636221729711,1.37729571073173,1
relative_z_all,101,18,curb,9,24,1.64907305824417,4.93295714677929,-1.34690003224605,4.04493119017629,1
relative_z_all,101,24,curb,9,24,0.964437588401604,4.22598163526585,-1.13324966990098,2.7861984492753,1
relative_z_all,101,32,curb,9,24,1.01189084628553,2.31185957342706,-0.188660109405106,0.135695983869408,1
relative_z_all,101,85,curb,9,25,3.0990715077742,6.89664601028422,-1.17603300247427,4.01097350941884,1
relative_z_all,101,94,curb,40,42,2.3288401693138,3.1378921094323,0.384336318940854,0.646782318334471,1
relative_z_all,101,110,trafficSign,1175,1174,0.698618381117745,0.0736641670708573,-0.277990634727928,0.136937644635354,1
relative_z_all,101,114,curb,9,25,2.50235779966775,7.57583370113924,-1.47771405622851,5.04948263670733,1
