variant,population,frames,rmseM,medianM,p95M,p99M,maxM,maxFrame,above30cm
xy,fusion_all,1169,0.082155614863831,0.0506280062665531,0.167344715967965,0.223668294268196,0.640312423976002,1,2
xy,fusion_after_2s,1148,0.0787541991446304,0.0506286154545945,0.164868110337317,0.219035349383934,0.235787482376,872,0
xy,matching_accepted,1167,0.115059950563302,0.0852396046765801,0.211525499201117,0.248828014574627,0.333491352834659,840,1
xy,matching_common,1164,0.114693181278797,0.0850945404153052,0.211214771395838,0.24885578102757,0.333491352834659,840,1
relative_z_all,fusion_all,1169,0.0817561939705577,0.049704818416868,0.165032723360457,0.223806237632612,0.640312423976002,1,2
relative_z_all,fusion_after_2s,1148,0.0783297929494045,0.0496813956297657,0.161714763571505,0.218140314169156,0.232480269878423,871,0
relative_z_all,matching_accepted,1164,0.111571098613997,0.0816072441686166,0.207141985203162,0.248670177025008,0.361984059717199,166,2
relative_z_all,matching_common,1164,0.111571098613997,0.0816072441686166,0.207141985203162,0.248670177025008,0.361984059717199,166,2
relative_z_objects,fusion_all,1169,0.0818047876410357,0.0498845047523142,0.165485683912869,0.223919333579533,0.640312423976002,1,2
relative_z_objects,fusion_after_2s,1148,0.07838143838119,0.0498044075521945,0.162429773192938,0.218617274098789,0.232480298449133,871,0
relative_z_objects,matching_accepted,1164,0.111625581832735,0.081601747497011,0.207200034075843,0.24902939624657,0.362271000399812,166,2
relative_z_objects,matching_common,1164,0.111625581832735,0.081601747497011,0.207200034075843,0.24902939624657,0.362271000399812,166,2
relative_z_signs,fusion_all,1169,0.0820989674264766,0.0499237031758201,0.168287813539819,0.225463437423239,0.640312423976002,1,2
relative_z_signs,fusion_after_2s,1148,0.0786940218544766,0.0499236481493332,0.16486636597322,0.219230017715718,0.235054325787946,872,0
relative_z_signs,matching_accepted,1167,0.113068928914816,0.0832939533067043,0.207816675361356,0.25189527940966,0.333491352834659,840,2
relative_z_signs,matching_common,1164,0.112690485453298,0.0828848009947748,0.207325595774234,0.251986166507548,0.333491352834659,840,2
marginal_z_objects,fusion_all,1169,0.0816622044570263,0.0494756994154308,0.16706489048487,0.225589293966866,0.640312423976002,1,2
marginal_z_objects,fusion_after_2s,1148,0.0782298912126632,0.0494562102971285,0.16464205935679,0.219360251388844,0.235203604221982,872,0
marginal_z_objects,matching_accepted,1167,0.111739888754554,0.0814670415400902,0.210844241723179,0.252777293441802,0.337628869268666,1031,2
marginal_z_objects,matching_common,1164,0.11135347227787,0.0811473006728542,0.209465984497958,0.252855493760472,0.337628869268666,1031,2
marginal_z_signs,fusion_all,1169,0.0819392487632971,0.0497963782179461,0.16717126697578,0.225610124154812,0.640312423976002,1,2
marginal_z_signs,fusion_after_2s,1148,0.0785243264433866,0.0497550363548358,0.164735912473528,0.219405518308485,0.235195767706534,872,0
marginal_z_signs,matching_accepted,1167,0.112915813609953,0.0816851680034267,0.214216687147253,0.257152964776157,0.337628868591336,1031,3
marginal_z_signs,matching_common,1164,0.112536458709722,0.0816515958242503,0.212463507696676,0.257241855949591,0.337628868591336,1031,3
