frame,variant,source,target,class,sourceZWithOffsetM,targetMeanZM,heightResidualM,heightCost
166,xy,65,915,pole,NaN,219.276136038459,NaN,0
166,xy,66,924,pole,NaN,220.551480400507,NaN,0
166,xy,67,942,pole,NaN,221.327292452068,NaN,0
166,xy,68,1173,trafficSign,NaN,219.75210214919,NaN,0
166,xy,84,920,pole,NaN,218.441665599518,NaN,0
166,relative_z_objects,65,915,pole,221.187314909726,219.276136038459,-2.5241669605318,3.48161710476197
166,relative_z_objects,66,925,pole,220.613261586034,218.48460551786,-2.95301898892833,3.4595240921899
166,relative_z_objects,67,944,pole,221.342790680708,219.957368887844,-1.37850851257056,0.817292058909927
166,relative_z_objects,68,1173,trafficSign,219.113738148865,219.75210214919,0.521088903574764,0.404284978760323
166,relative_z_objects,84,920,pole,218.838896453112,218.441665599518,1.43288575385412,0.518977492355995
166,relative_z_signs,65,915,pole,221.187314909726,219.276136038459,NaN,0
166,relative_z_signs,66,924,pole,220.613261586034,220.551480400507,NaN,0
166,relative_z_signs,67,942,pole,221.342790680708,221.327292452068,NaN,0
166,relative_z_signs,68,1173,trafficSign,219.113738148865,219.75210214919,0.530345735421321,0.418398056338924
166,relative_z_signs,84,920,pole,218.838896453112,218.441665599518,NaN,0
166,marginal_z_objects,65,915,pole,221.187314909726,219.276136038459,-1.9111788712668,1.98143653744351
166,marginal_z_objects,66,924,pole,220.613261586034,220.551480400507,-0.0617811855272521,0.00195368259252721
166,marginal_z_objects,67,942,pole,221.342790680708,221.327292452068,-0.0154982286399843,3.81443583887739e-05
166,marginal_z_objects,68,1173,trafficSign,219.113738148865,219.75210214919,0.63836400032497,0.59608493376758
166,marginal_z_objects,84,920,pole,218.838896453112,218.441665599518,-0.397230853594266,0.00352787084993006
840,xy,43,1020,pole,NaN,224.297212907293,NaN,0
840,xy,44,1005,pole,NaN,223.25705551063,NaN,0
840,xy,45,1017,pole,NaN,222.945282174177,NaN,0
840,xy,46,1050,pole,NaN,224.819192760445,NaN,0
840,xy,47,1281,trafficSign,NaN,226.038262493114,NaN,0
840,xy,48,1263,trafficSign,NaN,224.74229148223,NaN,0
840,xy,49,1263,trafficSign,NaN,224.74229148223,NaN,0
840,xy,62,1017,pole,NaN,222.945282174177,NaN,0
840,xy,64,1016,pole,NaN,224.002945107942,NaN,0
840,xy,65,1033,pole,NaN,224.48214544476,NaN,0
840,xy,66,1053,pole,NaN,224.413782317785,NaN,0
840,xy,67,1061,pole,NaN,224.834905367,NaN,0
840,relative_z_objects,43,1020,pole,225.388758996561,224.297212907293,-1.35086891251953,1.05803958441267
840,relative_z_objects,44,1005,pole,NaN,223.25705551063,NaN,0
840,relative_z_objects,45,1017,pole,NaN,222.945282174177,NaN,0
840,relative_z_objects,46,1050,pole,NaN,224.819192760445,NaN,0
840,relative_z_objects,47,1281,trafficSign,NaN,226.038262493114,NaN,0
840,relative_z_objects,48,1263,trafficSign,NaN,224.74229148223,NaN,0
840,relative_z_objects,49,1263,trafficSign,NaN,224.74229148223,NaN,0
840,relative_z_objects,62,1017,pole,NaN,222.945282174177,NaN,0
840,relative_z_objects,64,1016,pole,225.916386231822,224.002945107942,-2.16586147427611,1.16655906812057
840,relative_z_objects,65,1033,pole,NaN,224.48214544476,NaN,0
840,relative_z_objects,66,1053,pole,224.348759737219,224.413782317785,-0.501785638317472,0.19870452766096
840,relative_z_objects,67,1061,pole,223.814910026859,224.834905367,0.472360844090616,0.128580301944455
840,relative_z_signs,43,1020,pole,225.388758996561,224.297212907293,NaN,0
840,relative_z_signs,44,1005,pole,NaN,223.25705551063,NaN,0
840,relative_z_signs,45,1017,pole,NaN,222.945282174177,NaN,0
840,relative_z_signs,46,1050,pole,NaN,224.819192760445,NaN,0
840,relative_z_signs,47,1281,trafficSign,NaN,226.038262493114,NaN,0
840,relative_z_signs,48,1263,trafficSign,NaN,224.74229148223,NaN,0
840,relative_z_signs,49,1263,trafficSign,NaN,224.74229148223,NaN,0
840,relative_z_signs,62,1017,pole,NaN,222.945282174177,NaN,0
840,relative_z_signs,64,1016,pole,225.916386231822,224.002945107942,NaN,0
840,relative_z_signs,65,1033,pole,NaN,224.48214544476,NaN,0
840,relative_z_signs,66,1053,pole,224.348759737219,224.413782317785,NaN,0
840,relative_z_signs,67,1061,pole,223.814910026859,224.834905367,NaN,0
840,marginal_z_objects,43,1020,pole,225.388758996561,224.297212907293,-1.09154608926778,0.630846193062915
840,marginal_z_objects,44,1005,pole,NaN,223.25705551063,NaN,0
840,marginal_z_objects,45,1017,pole,NaN,222.945282174177,NaN,0
840,marginal_z_objects,46,1050,pole,NaN,224.819192760445,NaN,0
840,marginal_z_objects,47,1281,trafficSign,NaN,226.038262493114,NaN,0
840,marginal_z_objects,48,1263,trafficSign,NaN,224.74229148223,NaN,0
840,marginal_z_objects,49,1263,trafficSign,NaN,224.74229148223,NaN,0
840,marginal_z_objects,62,1017,pole,NaN,222.945282174177,NaN,0
840,marginal_z_objects,64,1016,pole,225.916386231822,224.002945107942,-1.9134411238802,0.830951479127956
840,marginal_z_objects,65,1033,pole,NaN,224.48214544476,NaN,0
840,marginal_z_objects,66,1053,pole,224.348759737219,224.413782317785,0.0650225805669038,0.0010068291038222
840,marginal_z_objects,67,1061,pole,223.814910026859,224.834905367,1.01999534014013,0.238392388923049
