frame,time,mode,fullPose,directionalPose,measurementType,reason,pvaErrorM,mappingErrorM,yawErrorDeg,registrationSeconds
1,0,per_frame_positive,1,0,fullPose,accepted,0.0337162828644628,0.0337162828644628,-0.0872323564975766,0.04419
1,0,per_frame_negative,1,0,fullPose,accepted,0.0337160595110889,0.0337160595110889,-0.0872335202406778,0.022748
1,0,per_frame_zero,1,0,fullPose,accepted,0.033713786413503,0.033713786413503,-0.0872295704344457,0.018851
1,0,lidar_only_recursive,1,0,fullPose,accepted,0.0337162828644628,0.0337162828644628,-0.0872323564975766,0.021075
2,0.0997280321308394,per_frame_positive,1,0,fullPose,accepted,0.0353139890497443,0.0353139890497443,-0.0734609505184737,0.021238
2,0.0997280321308394,per_frame_negative,1,0,fullPose,accepted,0.0353130659772146,0.0353130659772146,-0.0734777609006899,0.020956
2,0.0997280321308394,per_frame_zero,1,0,fullPose,accepted,0.03531202092816,0.03531202092816,-0.0734536894339639,0.018757
2,0.0997280321308394,lidar_only_recursive,1,0,fullPose,accepted,0.0353133961958343,0.0353133961958343,-0.0734643022125687,0.018463
3,0.200055029412049,per_frame_positive,1,0,fullPose,accepted,0.0232051210553792,0.0232051210553792,-0.063553686710024,0.021353
3,0.200055029412049,per_frame_negative,1,0,fullPose,accepted,0.0232050580081619,0.0232050580081619,-0.0635563939802051,0.022983
3,0.200055029412049,per_frame_zero,1,0,fullPose,accepted,0.0232019197125069,0.0232019197125069,-0.0635421158541793,0.018946
3,0.200055029412049,lidar_only_recursive,1,0,fullPose,accepted,0.0232061075245216,0.0232061075245216,-0.0635603580709443,0.018933
4,0.29948941975579,per_frame_positive,1,0,fullPose,accepted,0.0287939641423599,0.0287939641423599,-0.092506584007909,0.020511
4,0.29948941975579,per_frame_negative,1,0,fullPose,accepted,0.0287948873539915,0.0287948873539915,-0.0925129384735766,0.021401
4,0.29948941975579,per_frame_zero,1,0,fullPose,accepted,0.0287917222812177,0.0287917222812177,-0.0924948704400414,0.019256
4,0.29948941975579,lidar_only_recursive,1,0,fullPose,accepted,0.0287930172008393,0.0287930172008393,-0.0925013524925914,0.019521
5,0.399468399201244,per_frame_positive,1,0,fullPose,accepted,0.0212919889319902,0.0212919889319902,-0.0545558474593728,0.020705
5,0.399468399201244,per_frame_negative,1,0,fullPose,accepted,0.0212951953609526,0.0212951953609526,-0.0545694694855667,0.021621
5,0.399468399201244,per_frame_zero,1,0,fullPose,accepted,0.0212878005215868,0.0212878005215868,-0.0545415509289783,0.018898
5,0.399468399201244,lidar_only_recursive,1,0,fullPose,accepted,0.0213014399984961,0.0213014399984961,-0.0545946786019452,0.019235
6,0.498995598211926,per_frame_positive,1,0,fullPose,accepted,0.037584588066862,0.037584588066862,-0.0759351746606975,0.021289
6,0.498995598211926,per_frame_negative,1,0,fullPose,accepted,0.0375834380258791,0.0375834380258791,-0.0759423794993115,0.021745
6,0.498995598211926,per_frame_zero,1,0,fullPose,accepted,0.0375844233008395,0.0375844233008395,-0.0759355393292555,0.019855
6,0.498995598211926,lidar_only_recursive,1,0,fullPose,accepted,0.0375844039048877,0.0375844039048877,-0.0759358326218919,0.019596
7,0.573137447104761,per_frame_positive,1,0,fullPose,accepted,0.0341221056176895,0.0341221056176895,-0.0896562716561452,0.021176
