profile,scenario,runs,meanRmsePost6Mps,worstRmsePost6Mps,maximumErrorMps
reference,noiseless,1,0.0010271636756766,0.0010271636756766,0.5
reference,nominal,20,0.0023089588821346404,0.00243115764742413,0.501117659235073
reference,noise5x,10,0.010194922159599952,0.0109320547992442,0.506817391255845
reference,large_initial,1,0.00655347934651916,0.00655347934651916,3.00104174463387
reference,tires07,1,0.288737681416304,0.288737681416304,0.646052393150704
reference,tires13,1,0.164617794218969,0.164617794218969,0.5
reference,mass12,1,0.139344331064483,0.139344331064483,0.5
reference,ay_bias02,1,0.0200991477207204,0.0200991477207204,0.503399487499102
reference,yaw_bias001,1,0.0139762355636738,0.0139762355636738,0.5
reference,dynamic_dropout,1,0.0420215928872335,0.0420215928872335,0.5
reference,speed5p1,1,0.0130123704579318,0.0130123704579318,0.5
reference,speed29p9,1,0.205614252212555,0.205614252212555,0.502677147088896
reference,stop_go,1,0.00539654409508767,0.00539654409508767,0.500231693271291
reference,overspeed,1,2.05836363679866,2.05836363679866,2.91532862302851
mncav,noiseless,1,0.000993999261915674,0.000993999261915674,0.5
mncav,nominal,20,0.005461371917615909,0.00562307396635544,0.511773324823624
mncav,noise5x,10,0.026720178474146088,0.0271275480678785,0.545060654851992
mncav,large_initial,1,0.00823151509146412,0.00823151509146412,3.00956865014278
mncav,tires07,1,0.292969544572632,0.292969544572632,0.658913342001025
mncav,tires13,1,0.166808486335329,0.166808486335329,0.506866353384205
mncav,mass12,1,0.144161499870019,0.144161499870019,0.506866353384205
mncav,ay_bias02,1,0.0234237150247971,0.0234237150247971,0.507788179801378
mncav,yaw_bias001,1,0.0367961118415352,0.0367961118415352,0.483268364439621
mncav,dynamic_dropout,1,0.0425555572882058,0.0425555572882058,0.506866353384205
mncav,speed5p1,1,0.0129083366140916,0.0129083366140916,0.506866353384205
mncav,speed29p9,1,0.208801010685064,0.208801010685064,0.510101485118833
mncav,stop_go,1,0.00716034828857905,0.00716034828857905,0.507119756214432
mncav,overspeed,1,2.0584052133203,2.0584052133203,2.9220878233516
