queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
16,11,1,1,1,accepted,-0.202298887190409,-0.207979566417634,0.000434870211828642,0.564418921592977,0.833333333333333,25,0.0606960837518935,484750.878131271,4976659.53025336,-0.914496813141443,484749.429493968,4976661.00064662,-0.815461251177554,484750.675832384,4976659.32227379,-0.914061942929615
21,11,1,1,1,accepted,-0.465447989467066,-0.363144762814045,-0.00109762051534346,0.404422675948127,0.478260869565217,11,0.109477142661704,484752.276778632,4976657.78101751,-1.0245281223353,484749.429493968,4976661.00064662,-0.815461251177554,484751.811330643,4976657.41787275,-1.02562574285065
21,16,1,1,1,accepted,-0.320617868565023,-0.14572128187865,0.002004520379004,0.700547199759134,0.652173913043478,15,0.0408318509512117,484752.276778632,4976657.78101751,-1.0245281223353,484750.878131271,4976659.53025336,-0.914496813141443,484751.956160764,4976657.63529623,-1.0225236019563
26,11,1,1,1,accepted,-0.756618397892453,-0.5844243504107,-0.00384837892560119,0.303380946004014,0.41025641025641,16,0.17625921579132,484753.546917349,4976655.74549855,-1.14220758341985,484749.429493968,4976661.00064662,-0.815461251177554,484752.790298952,4976655.1610742,-1.14605596234545
26,16,1,1,1,accepted,-0.594406967808027,-0.338216735050082,3.87813539410864e-05,0.470451791632893,0.512820512820513,20,0.0714915006199392,484753.546917349,4976655.74549855,-1.14220758341985,484750.878131271,4976659.53025336,-0.914496813141443,484752.952510382,4976655.40728182,-1.14216880206591
26,21,1,1,1,accepted,-0.301591188530438,-0.147321087308228,0.000434775264349652,0.790170373669469,0.846153846153846,33,0.0535774838322887,484753.546917349,4976655.74549855,-1.14220758341985,484752.276778632,4976657.78101751,-1.0245281223353,484753.245326161,4976655.59817747,-1.1417728081555
31,11,1,1,1,accepted,-1.30070088757202,-0.669624646194279,0.000187362403198055,0.295549577202843,0.256410256410256,10,0.0123572110354246,484754.578893835,4976653.55167225,-1.26039896764919,484749.429493968,4976661.00064662,-0.815461251177554,484753.278192948,4976652.8820476,-1.26021160524599
31,16,1,1,1,accepted,-0.913631849514786,-0.448983825743198,0.00307622580238154,0.424967025496056,0.384615384615385,15,0.124339749844402,484754.578893835,4976653.55167225,-1.26039896764919,484750.878131271,4976659.53025336,-0.914496813141443,484753.665261986,4976653.10268842,-1.25732274184681
31,21,1,1,1,accepted,-0.658044474781491,-0.164196543395519,0.000114534273710332,0.642768847961839,0.743589743589744,29,0.130909960891375,484754.578893835,4976653.55167225,-1.26039896764919,484752.276778632,4976657.78101751,-1.0245281223353,484753.920849361,4976653.38747571,-1.26028443337548
31,26,1,1,1,accepted,-0.316436526540201,-0.131908617913723,0.000994862361817894,0.781494638139337,0.923076923076923,36,0.0572255296540345,484754.578893835,4976653.55167225,-1.26039896764919,484753.546917349,4976655.74549855,-1.14220758341985,484754.262457309,4976653.41976363,-1.25940410528737
36,11,1,0,1,accepted,-1.51272477518069,-0.750409163534641,-0.0062439259142304,0.226710725579126,0.162162162162162,6,0.165618968137527,484755.336742249,4976651.28122605,-1.37708819533184,484749.429493968,4976661.00064662,-0.815461251177554,484753.824017474,4976650.53081689,-1.38333212124607
36,16,1,0,0,inconsistentClasses,-1.18683881376637,-0.533293792977929,0.00388451884391627,0.296375213158738,0.297297297297297,11,0.228456694383774,484755.336742249,4976651.28122605,-1.37708819533184,484750.878131271,4976659.53025336,-0.914496813141443,484754.149903435,4976650.74793226,-1.37320367648792
36,21,1,1,1,accepted,-1.03369539033156,-0.270518837496638,0.000252979292671318,0.510242257612296,0.594594594594595,22,0.104428140638726,484755.336742249,4976651.28122605,-1.37708819533184,484752.276778632,4976657.78101751,-1.0245281223353,484754.303046858,4976651.01070721,-1.37683521603917
36,26,1,1,1,accepted,-0.681010600936133,-0.205837704241276,-0.00149935954999947,0.644244951798767,0.837837837837838,31,0.0707633690139877,484755.336742249,4976651.28122605,-1.37708819533184,484753.546917349,4976655.74549855,-1.14220758341985,484754.655731648,4976651.07538835,-1.37858755488184
36,31,1,1,1,accepted,-0.349586285592522,-0.0295016579329967,4.45311315004915e-05,0.726308708787325,0.891891891891892,33,0.0509503672243658,484755.336742249,4976651.28122605,-1.37708819533184,484754.578893835,4976653.55167225,-1.26039896764919,484754.987155963,4976651.25172439,-1.37704366420034
