experiment,scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
identity_baseline,both,full,1169,0.0876837828203157,0.0531623661401738,0.168976151681044,0.375664873236837,0.812660393498717,0.56556015425773,1169,0,0.170256
identity_baseline,both,outage_40_60,199,0.0371406333839111,0.0349564404156602,0.0567146163201551,0.0789133819329675,1,0.28390340426201,199,0,0.170256
identity_baseline,both,recovery_60_70,100,0.0930111999206775,0.0657685464183642,0.168806669815776,0.170950807531014,0.69,0.637262698710446,100,0,0.170256
identity_baseline,lidar_only,full,1169,0.204121210212897,0.11183580989858,0.43640765902763,0.937765181357819,0.430282292557742,0.56556015425773,0,0,0.079239
identity_baseline,lidar_only,outage_40_60,199,0.0640835698556529,0.061554265312273,0.0986833174005751,0.110486818812178,0.954773869346734,0.28390340426201,0,0,0.079239
identity_baseline,lidar_only,recovery_60_70,100,0.194430846098198,0.124819920770484,0.372095944429002,0.390548968073451,0.4,0.637262698710446,0,0,0.079239
identity_baseline,gnss_only,full,1169,0.0878448428706011,0.0561536024163381,0.191537195447626,0.260214757557461,0.776732249786142,1.40098031597075,0,0,0.094613
identity_baseline,gnss_only,outage_40_60,199,0.0448420725285521,0.042220673629027,0.0686343845959304,0.0994759310686219,1,1.00256381317269,0,0,0.094613
identity_baseline,gnss_only,recovery_60_70,100,0.0717769951831015,0.0403147811682823,0.129822881558933,0.144893757380441,0.77,1.51430148820571,0,0,0.094613
identity_baseline,gnss_outage,full,1169,0.0901985512481056,0.0608032736198017,0.168976150138148,0.375664873236837,0.804961505560308,0.56556015425773,970,0,0.096466
identity_baseline,gnss_outage,outage_40_60,199,0.0634423781081359,0.060040624461469,0.0983073963533922,0.110486818812178,0.954773869346734,0.28390340426201,0,0,0.096466
identity_baseline,gnss_outage,recovery_60_70,100,0.0928215618957196,0.0656465317068049,0.168806668412931,0.170950806819775,0.69,0.637262698710446,100,0,0.096466
identity_baseline,lidar_outage,full,1169,0.0881957324614618,0.0536622267999424,0.163261525315115,0.375664873236837,0.815226689478186,0.55625308725718,970,0,0.106326
identity_baseline,lidar_outage,outage_40_60,199,0.0464786152214785,0.0458984044517715,0.0556320376975861,0.0692682719474308,1,0.166156123106018,0,0,0.106326
identity_baseline,lidar_outage,recovery_60_70,100,0.0905367656271391,0.0704869293676129,0.161294428115551,0.163509711578287,0.71,0.624105390877383,100,0,0.106326
identity_baseline,both_outage,full,1169,0.349846200266549,0.0709316732210683,0.982743043898767,1.16050142665682,0.651839178785287,0.55562277974212,970,199,0.083365
identity_baseline,both_outage,outage_40_60,199,0.818279504038212,0.918071980316649,1.12345065679409,1.16050142665682,0.0703517587939698,0.148489793457259,0,199,0.083365
identity_baseline,both_outage,recovery_60_70,100,0.14094383390476,0.0694695544014913,0.172594413102889,0.790827412893087,0.65,0.626399712867771,100,0,0.083365
identity_baseline,alternating,full,1169,0.172806656816343,0.123688414638426,0.30570489366557,0.693666181042664,0.36869118905047,0.569223369245089,0,0,0.064962
identity_baseline,alternating,outage_40_60,199,0.0979066001835637,0.0933990543300586,0.139139676100507,0.154117180243824,0.587939698492462,0.264529044226401,0,0,0.064962
identity_baseline,alternating,recovery_60_70,100,0.17211341281496,0.146375017933907,0.316514925348155,0.367514220289595,0.27,0.638452351043203,0,0,0.064962
selected_sequence_fit,both,full,1169,0.0851841976658304,0.0576470839833092,0.172571605575333,0.316256070143538,0.801539777587682,0.497780030935933,1169,0,0.202632
selected_sequence_fit,both,outage_40_60,199,0.0434655361724661,0.0390432799556528,0.0666856917923783,0.0851140123544777,1,0.387491171022515,199,0,0.202632
selected_sequence_fit,both,recovery_60_70,100,0.0657972175502863,0.0648397543402801,0.11305734117605,0.120750135022822,0.87,0.527611238872645,100,0,0.202632
selected_sequence_fit,lidar_only,full,1169,0.194990221497668,0.123320640033565,0.42016614506115,0.693298435571068,0.402908468776732,0.497780030935933,0,0,0.096868
selected_sequence_fit,lidar_only,outage_40_60,199,0.0892089468064639,0.0666092521030898,0.19670402163347,0.246044914772787,0.864321608040201,0.387491171022515,0,0,0.096868
selected_sequence_fit,lidar_only,recovery_60_70,100,0.113166245704899,0.0782579760221509,0.221982908587326,0.227126060849289,0.59,0.527611238872645,0,0,0.096868
selected_sequence_fit,gnss_only,full,1169,0.0878678294300153,0.0567144707641739,0.191320740503548,0.260214757557461,0.776732249786142,1.3993221012336,0,0,0.105156
selected_sequence_fit,gnss_only,outage_40_60,199,0.0448420720944781,0.0422206735708534,0.0686343847193757,0.0994759316718972,1,1.00256382277225,0,0,0.105156
selected_sequence_fit,gnss_only,recovery_60_70,100,0.0717769952693706,0.0403147809865556,0.129822881820217,0.144893757713196,0.77,1.5143014882082,0,0,0.105156
selected_sequence_fit,gnss_outage,full,1169,0.0906203071622907,0.065516139163049,0.183749763312821,0.316256070143538,0.781009409751925,0.497780030935933,970,0,0.112685
selected_sequence_fit,gnss_outage,outage_40_60,199,0.086748071706567,0.0660238648026668,0.193148310996435,0.244169633687965,0.879396984924623,0.387491171022515,0,0,0.112685
selected_sequence_fit,gnss_outage,recovery_60_70,100,0.065465480523077,0.0648397543402801,0.113054086714646,0.120747510293565,0.87,0.527611238872645,100,0,0.112685
selected_sequence_fit,lidar_outage,full,1169,0.0852951049462005,0.0549922410806169,0.172571493415384,0.316226824504967,0.804961505560308,0.476357329225448,970,0,0.12516
