queryFrame,fixedFrame,training,qualityPassed,rmseM,errorX,errorY,yawErrorRad,queryPoints,fixedPoints,referenceYawChangeDeg,overlap,medianDistanceM,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
21,11,1,1,1.00984797496699,-0.5307696632226,-0.354227812029421,0.00216188372247794,26332,26983,-11.9786493533443,0.616512228467264,0.214253616373392,0.190852812546963,484752.276778632,4976657.78101751,-1.0245281223353,484749.429493968,4976661.00064662,-0.815461251177554,484751.746008969,4976657.4267897,-1.02236623861282
26,11,1,0,1.37212471206633,-0.847131954098586,-0.506647805683315,0.00127983238161411,26875,26983,-18.7211858088631,0.535367441860465,0.269381010328067,0.304628934543577,484753.546917349,4976655.74549855,-1.14220758341985,484749.429493968,4976661.00064662,-0.815461251177554,484752.699785395,4976655.23885075,-1.14092775103824
26,16,1,0,1.14947029958426,-0.593639170809183,-0.331464398652315,0.000936662324982906,26875,26617,-13.0468660866259,0.588316279069767,0.235391100123089,0.222511943178492,484753.546917349,4976655.74549855,-1.14220758341985,484750.878131271,4976659.53025336,-0.914496813141443,484752.953278179,4976655.41403416,-1.14127092109487
31,11,1,0,1.72763386317531,-1.18362536060158,-0.627149243839085,-0.00106157670009854,27118,26983,-25.4930533000132,0.459842171251567,0.340274747626145,0.412615690854161,484754.578893835,4976653.55167225,-1.26039896764919,484749.429493968,4976661.00064662,-0.815461251177554,484753.395268475,4976652.92452301,-1.26146054434929
31,16,1,0,1.47069102410778,-0.928525444411207,-0.463234296999872,-0.000935770906950406,27118,26617,-19.818733577776,0.518253558522015,0.285333193625826,0.330331214360083,484754.578893835,4976653.55167225,-1.26039896764919,484750.878131271,4976659.53025336,-0.914496813141443,484753.650368391,4976653.08843795,-1.26133473855614
31,21,1,0,1.08390409596867,-0.643299153482076,-0.292432611808181,-0.00132093243525899,27118,26332,-13.5144039466689,0.595102883693488,0.23268175109273,0.230569164325622,484754.578893835,4976653.55167225,-1.26039896764919,484752.276778632,4976657.78101751,-1.0245281223353,484753.935594682,4976653.25923964,-1.26171990008445
36,16,1,0,1.67788831743361,-1.27244366606465,-0.541657770052552,-0.00216685469889399,27758,26617,-26.5045338386328,0.475466532170906,0.32186562564821,0.439080269332202,484755.336742249,4976651.28122605,-1.37708819533184,484750.878131271,4976659.53025336,-0.914496813141443,484754.064298583,4976650.73956828,-1.37925505003073
36,21,1,0,1.27061736672004,-0.982704167428892,-0.376767006702721,-0.00215920474980114,27758,26332,-20.2002042075257,0.531054110526695,0.274874770253282,0.34399225032595,484755.336742249,4976651.28122605,-1.37708819533184,484752.276778632,4976657.78101751,-1.0245281223353,484754.354038081,4976650.90445904,-1.37924740008164
36,26,1,1,0.860821384347032,-0.692454615666065,-0.2211201665923,-0.00175462256330361,27758,26875,-13.4576677520069,0.603537718855825,0.226347401343845,0.206763392112563,484755.336742249,4976651.28122605,-1.37708819533184,484753.546917349,4976655.74549855,-1.14220758341985,484754.644287633,4976651.06010588,-1.37884281789514
41,21,1,0,1.51509530279067,-1.34215141460299,-0.402892931364477,-0.0043570544282463,27882,26332,-26.7790483353608,0.461086005308084,0.333655658931016,0.439473619194447,484755.828960947,4976648.98098803,-1.49191068633805,484752.276778632,4976657.78101751,-1.0245281223353,484754.486809533,4976648.5780951,-1.4962677407663
