candidate,k1,k2,k3,certificatePassed,margin,solverInfo
1,3,3,1,1,0.118590017681011,"stored reference"
2,3,3,1.5,1,0.142527710616649,"Successfully solved (SeDuMi)"
3,3,4,2,1,0.151325717936712,"Successfully solved (SeDuMi)"
4,3,5,3,1,0.0908587588882816,"Successfully solved (SeDuMi)"
5,3,6,4,1,0.0144951709158654,"Successfully solved (SeDuMi)"
6,4,4,2,1,0.157629453745941,"Successfully solved (SeDuMi)"
7,4,5,3,1,0.156569784408271,"Successfully solved (SeDuMi)"
8,4,6,4,1,0.11284458529803,"Successfully solved (SeDuMi)"
9,4,8,6,0,NaN,"Infeasible problem (<a href=""yalmip.github.io/debugginginfeasible"">learn to debug</a>) (SeDuMi)"
10,4,10,8,0,NaN,"Infeasible problem (<a href=""yalmip.github.io/debugginginfeasible"">learn to debug</a>) (SeDuMi)"
11,5,5,3,1,0.161893590373068,"Successfully solved (SeDuMi)"
12,5,6,4,1,0.154508351734008,"Successfully solved (SeDuMi)"
13,5,8,6,1,0.0743457693446237,"Successfully solved (SeDuMi)"
14,5,10,8,0,NaN,"Infeasible problem (<a href=""yalmip.github.io/debugginginfeasible"">learn to debug</a>) (SeDuMi)"
15,5,12,10,0,NaN,"Infeasible problem (<a href=""yalmip.github.io/debugginginfeasible"">learn to debug</a>) (SeDuMi)"
16,6,6,4,1,0.152590106544627,"Successfully solved (SeDuMi)"
17,6,8,6,1,0.103005824108305,"Successfully solved (SeDuMi)"
18,6,10,8,1,0.00653555956583735,"Successfully solved (SeDuMi)"
19,2.5,4,2,1,0.113828460730966,"Successfully solved (SeDuMi)"
20,3.5,6,4,1,0.0713307308157157,"Successfully solved (SeDuMi)"
