candidate,noisy,positionRmseM,velocityRmseMps,accelerationRmseMps2,headingRmseDeg,peakVelocityErrorMps,peakAccelerationErrorMps2,certificateVerified,outsideRateEnvelope
1,0,0.0830336353571229,0.249764360724453,0.258377223529039,1.10565685529261e-05,1.1075818430969,0.394339320591458,1,0
1,1,0.0837741494930126,0.25002416754645,0.258457446942327,0.0572425231060937,1.11144044504758,0.398127890521149,1,0
2,0,0.0661135782880245,0.199450721665898,0.207859744748852,8.93733902329643e-06,1.19786584169906,0.538181827948464,1,0
2,1,0.0673760380640979,0.199978987116353,0.208083185730427,0.0572419064242588,1.20159254552448,0.5398326460351,1,0
3,0,0.047342311618423,0.142855931811896,0.193780867123849,6.32537625224448e-06,1.66807729286958,0.745913831176097,1,0
3,1,0.049210219234683,0.143958879252604,0.194116879081417,0.0572393258235121,1.67322170677509,0.748228543120813,1,0
4,0,0.032364095346011,0.0977205416337533,0.163934015986473,4.29729866004142e-06,2.19785355391973,1.16569546786982,1,0
4,1,0.0350301990561175,0.0995402498956639,0.164450548312935,0.0572378736482726,2.20449743716176,1.16925006128876,1,0
5,0,0.0244632830338579,0.073878480561092,0.147829687422281,3.23574138005607e-06,2.70449521295476,1.57366429095281,1,0
5,1,0.0276249353330334,0.076107956082103,0.148406767401881,0.0572375520125259,2.71270080063175,1.57854773816423,1,0
6,0,0.0493462047158971,0.197745326788516,0.208751848695406,8.77287005345987e-06,1.35869980904085,0.633565076557133,1,0
6,1,0.05083467369432,0.198211752917056,0.20895113736427,0.0572420584373954,1.36441360232168,0.636003106639034,1,0
7,0,0.0333816900802527,0.133833955717504,0.173074251446062,5.88145466916959e-06,1.82751290339721,1.0109975137416,1,0
7,1,0.0357410341867115,0.134916293314684,0.173479760127627,0.057239411695337,1.83455679858392,1.01468319894923,1,0
8,0,0.0250642057161114,0.100501999671408,0.154115145437596,4.38953102561961e-06,2.28431828214276,1.38235661059234,1,0
8,1,0.0280761635606594,0.102105276311038,0.154656894180069,0.0572381859534807,2.29286545296646,1.38720046751783,1,0
11,0,0.034448230822165,0.172285841577289,0.183492545318359,7.58850993454043e-06,1.59754532481253,0.911973587426703,1,0
11,1,0.0365249489967876,0.172879151700441,0.183777727274914,0.0572415488936795,1.6047436947435,0.915654460372612,1,0
12,0,0.0256895058681055,0.128493122624979,0.161177915493318,5.618384245184e-06,2.01506219645848,1.25704888823531,1,0
12,1,0.0284807878889963,0.129563819340106,0.161627805351744,0.0572394419646162,2.0236316593835,1.26191939889292,1,0
13,0,0.0169425949845518,0.0847477580272344,0.138957444518087,3.6727755327912e-06,2.83370781452241,1.937573531401,1,0
13,1,0.0207409310627196,0.0865346349038458,0.139572056918002,0.0572379543358727,2.8449608847061,1.94494633900073,1,0
16,0,0.0263402223030386,0.157907827125029,0.169046241975216,6.92185131596059e-06,1.83649892608567,1.17083608091644,1,0
16,1,0.0289135143976243,0.15858457184553,0.169392982969119,0.0572411475026084,1.84497646400932,1.17563263627689,1,0
17,0,0.0172360980400886,0.10333170072663,0.143392838329219,4.48148409601916e-06,2.60347732321675,1.81582291874124,1,0
17,1,0.0209223988612536,0.10473159943615,0.14396520797274,0.0572385429161365,2.61466234176344,1.82295402006808,1,0
18,0,0.0127807728834498,0.0766221703363299,0.131065388052396,3.30433636430063e-06,3.35863453042528,2.45451178151818,1,0
18,1,0.0172198761041601,0.0784977352918371,0.131712505845198,0.0572379075453684,3.37248207660251,2.4641546394602,1,0
19,0,0.0463789978244921,0.117077784222563,0.187143771112675,5.1911705877935e-06,1.89408956219812,0.827115108366171,1,0
19,1,0.0484919490438051,0.118703248792948,0.187558936515504,0.0572381643577948,1.89903539279981,0.829385092580661,1,0
20,0,0.0247607588320389,0.0870215650442603,0.150877042210933,3.80347183479622e-06,2.47100592045402,1.46758539888096,1,0
20,1,0.0278628804075583,0.0889314211946217,0.151446446744877,0.0572377892472037,2.47945794248331,1.47241940624025,1,0
