resolution,frame,start,reason,accepted,distance,yawdeg
0.15,28,1,accepted,1,0.030854327835205,-0.0775576325412896
0.15,28,2,accepted,1,0.0308518355656436,-0.0775766056981193
0.15,28,3,accepted,1,0.0308543874469999,-0.0775575584133229
0.15,214,1,accepted,1,0.0353608784014976,0.219793588128053
0.15,214,2,accepted,1,0.0353611462943132,0.219786383326168
0.15,214,3,accepted,1,0.035360483908292,0.219790256881311
0.15,458,1,accepted,1,0.0626071480850369,0.201952737741066
0.15,458,2,accepted,1,0.0625994109489322,0.201888813313299
0.15,458,3,accepted,1,0.0625990569934441,0.201884466019637
0.15,600,1,accepted,1,0.120154770518163,0.730629055818886
0.15,600,2,accepted,1,0.112977850184078,0.655281146199872
0.15,600,3,accepted,1,0.112975721503575,0.655275855318967
0.15,855,1,inconsistentClasses,0,0.844990298760257,1.90286663424207
0.15,855,2,accepted,1,0.124319304491165,-0.0686448774225807
0.15,855,3,accepted,1,0.124315617579295,-0.068630897343109
0.15,943,1,accepted,1,0.0972423407519118,0.100382051470851
0.15,943,2,accepted,1,0.0789751186079036,0.0539037866499461
0.15,943,3,accepted,1,0.0789733416314655,0.0538932994257141
0.15,1137,1,accepted,1,0.236553857823592,0.556165762236522
0.15,1137,2,accepted,1,0.185972071290325,0.148641245574733
0.15,1137,3,accepted,1,0.18597199459295,0.148640813272389
0.3,28,1,accepted,1,0.0212339428673749,-0.0690708244123763
0.3,28,2,accepted,1,0.0212391315987504,-0.0690915956709105
0.3,28,3,accepted,1,0.0212334030094126,-0.0690668414591158
0.3,214,1,accepted,1,0.0337698552808964,0.212812370032932
0.3,214,2,accepted,1,0.0337422583409172,0.212905206109572
0.3,214,3,accepted,1,0.0337348212360376,0.21289895123202
0.3,458,1,accepted,1,0.0623746871418864,0.215360946056166
0.3,458,2,accepted,1,0.146740213179719,0.449953815192922
0.3,458,3,accepted,1,0.025452217022985,0.096955087491476
0.3,600,1,accepted,1,0.108814040232913,0.727166291658844
0.3,600,2,accepted,1,0.101696918263731,0.652898304281243
0.3,600,3,accepted,1,0.10169949791573,0.652905996421113
0.3,855,1,inconsistentClasses,0,0.853619773219019,1.90956898408652
0.3,855,2,accepted,1,0.126679183152171,-0.0853618014483696
0.3,855,3,accepted,1,0.126675172270482,-0.0853469232456386
0.3,943,1,accepted,1,0.102458058777942,0.357016788700209
0.3,943,2,accepted,1,0.0706959794515518,0.0267658907418248
0.3,943,3,accepted,1,0.0706884022999575,0.0267247958965815
0.3,1137,1,accepted,1,0.246282803152482,0.684278402689074
0.3,1137,2,accepted,1,0.176681578211678,0.0151897247666944
0.3,1137,3,accepted,1,0.176681580693522,0.0151897558522575
0.45,28,1,accepted,1,0.0549329817640931,0.018715601627242
0.45,28,2,accepted,1,0.0376014689063807,-0.0356842669111872
0.45,28,3,accepted,1,0.0376018672510097,-0.035682096169157
0.45,214,1,accepted,1,0.0371797778000498,0.228009865214141
0.45,214,2,accepted,1,0.0371767576135746,0.228004125364585
0.45,214,3,accepted,1,0.0371760261696604,0.228003101330261
0.45,458,1,accepted,1,0.0598682469231263,0.14227612276274
0.45,458,2,accepted,1,0.216347585389485,0.52613304268314
0.45,458,3,accepted,1,0.0232494806302841,0.0111610072215103
0.45,600,1,accepted,1,0.133208894129518,0.721553036073026
0.45,600,2,accepted,1,0.125544718649577,0.645903592192762
0.45,600,3,accepted,1,0.125542552010219,0.645898896117604
0.45,855,1,inconsistentClasses,0,0.821895808882572,1.7684623552602
0.45,855,2,accepted,1,0.122374189475588,-0.0723110873413429
0.45,855,3,accepted,1,0.122370143423044,-0.0722945971883847
0.45,943,1,accepted,1,0.123590922738634,0.137235821962111
0.45,943,2,accepted,1,0.0701849488095244,0.0306619262461378
0.45,943,3,accepted,1,0.0701784214530004,0.0306225636806342
0.45,1137,1,accepted,1,0.234216893664389,0.618550757169935
0.45,1137,2,accepted,1,0.186223479314502,0.191821702462415
0.45,1137,3,accepted,1,0.186223491795627,0.191821813074103
0.9,28,1,accepted,1,0.0881829952228288,0.122787289111016
0.9,28,2,accepted,1,0.0582867102111881,-0.0828137498062484
0.9,28,3,accepted,1,0.058277830419372,-0.0827659919443836
0.9,214,1,accepted,1,0.0270545326071252,0.221478635787834
0.9,214,2,accepted,1,0.0270547604657453,0.221479338999136
0.9,214,3,accepted,1,0.0270538697655558,0.221474525888903
0.9,458,1,accepted,1,0.0669777340151365,0.233163077991793
0.9,458,2,accepted,1,0.225912110805652,0.524508863139928
0.9,458,3,accepted,1,0.00724255677464129,0.0464922720371736
0.9,600,1,accepted,1,0.116992415277174,0.723928293860216
0.9,600,2,accepted,1,0.116984261912262,0.723896918648824
0.9,600,3,accepted,1,0.116983452370888,0.723890962687206
0.9,855,1,inconsistentClasses,0,0.865163139506111,1.87002047457034
0.9,855,2,accepted,1,0.134746545021377,-0.113663703367135
0.9,855,3,accepted,1,0.134740226917607,-0.113643466309169
0.9,943,1,accepted,1,0.102487601601371,0.356518402855426
0.9,943,2,accepted,1,0.0701132685876852,0.027538797953023
0.9,943,3,accepted,1,0.0701058036004208,0.0274980300757615
0.9,1137,1,accepted,1,0.242195223950665,0.641553260164459
0.9,1137,2,accepted,1,0.176238354436741,0.0159607373769306
0.9,1137,3,accepted,1,0.176238352975711,0.0159607530797441
1.8,28,1,accepted,1,0.0868448328372858,0.119464601069631
1.8,28,2,accepted,1,0.061893301117616,-0.0909803087009243
