method,samples,positionRmseM,positionP95M,positionMaximumM,aboveOneMeterFrames,longestAboveOneMeterRunFrames
previous_geometric_all_outputs,1170,0.22262786693455563,0.473913815332894,1.0877679469523678,1,1
withdrawn_ndt_all_outputs,1170,0.38842263220723866,0.9410403761031474,1.9856677196585477,56,24
current_recursive_all_outputs,1170,0.18253482468176183,0.3280152199658898,0.844665885549916,0,0
current_recursive_accepted,1166,0.18234562121923376,0.3280201519308639,0.844665885549916,0,0
current_referenceSeed_all_outputs,1170,0.1848029585168327,0.34123826015280073,0.8397913494524427,0,0
current_referenceSeed_accepted,1167,0.18217009521008085,0.3333806768935318,0.8397913494524427,0,0
previous_common_accepted,1069,0.19723298407178771,0.39904675311501964,1.0877679469523678,1,1
current_common_accepted,1069,0.1581781800925892,0.27117375580538494,0.844665885549916,0,0
observer_both,1169,0.08103294915648802,0.15025467167949552,0.353606635130718,0,0
observer_lidar_only,1169,0.17839634125992088,0.37312657166683444,0.8945941184832061,0,0
observer_gnss_only,1169,0.08814875135402814,0.19108468875127527,0.2608338644862169,0,0
observer_gnss_outage,1169,0.08371063815303081,0.15775609827798448,0.353606635130718,0,0
observer_lidar_outage,1169,0.08200376452604181,0.15044813956374337,0.353606635130718,0,0
observer_both_outage,1169,0.1905775525548382,0.4967602787402254,0.611893414706429,0,0
observer_alternating,1169,0.16059582970860678,0.286535018287175,0.5197193639657874,0,0
