scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.0810329491266135,0.0506161042597309,0.150254673494565,0.353606635172619,0.833190761334474,0.545421865333222,1165,0,0.190147
both,outage_40_60,199,0.0454549915636212,0.042418928397457,0.0644931272872837,0.105974613125532,0.989949748743719,0.316773049314346,199,0,0.190147
both,recovery_60_70,100,0.0636343019087431,0.050145602595869,0.108219012564465,0.116131214039541,0.86,0.396622548339265,99,0,0.190147
lidar_only,full,1169,0.178396341250326,0.107569904099293,0.373126570227589,0.894594118716645,0.463644140290847,0.544584863952171,0,4,0.086174
lidar_only,outage_40_60,199,0.0694227244157606,0.0587526299534364,0.124423600908019,0.188102398977625,0.914572864321608,0.316772019907168,0,0,0.086174
lidar_only,recovery_60_70,100,0.131201352786714,0.116917734517933,0.206400172851498,0.231994273375784,0.36,0.396142768217669,0,1,0.086174
gnss_only,full,1169,0.0881487512466593,0.0565922307184494,0.191084683598018,0.260833864372083,0.773310521813516,1.404558460028,0,0,0.089635
gnss_only,outage_40_60,199,0.045123217112103,0.0426094940956696,0.0680433606991734,0.0991610156176212,1,1.0000785979807,0,0,0.089635
gnss_only,recovery_60_70,100,0.0718717131137143,0.0402929326291944,0.129712872712342,0.148002452786037,0.77,1.517807825212,0,0,0.089635
gnss_outage,full,1169,0.0837106381397012,0.05507621642344,0.157756099369159,0.353606635172619,0.819503849443969,0.545392037499323,966,0,0.112689
gnss_outage,outage_40_60,199,0.0683299686198196,0.0582804243022743,0.120832771671826,0.185552188998224,0.914572864321608,0.316773049314346,0,0,0.112689
gnss_outage,recovery_60_70,100,0.0634549456705705,0.0500230622320464,0.108252526838441,0.114885193164685,0.85,0.396142768217669,99,0,0.112689
lidar_outage,full,1169,0.0820037645218867,0.0544299519757308,0.150448145771101,0.353606635172619,0.838323353293413,0.53224373329882,966,0,0.110535
lidar_outage,outage_40_60,199,0.0545287416939449,0.0544390231910185,0.0637216366823156,0.0759277221430197,1,0.148645962979664,0,0,0.110535
lidar_outage,recovery_60_70,100,0.0643111024128889,0.0471550403708328,0.105703246250961,0.127156843064,0.9,0.383401548080393,99,0,0.110535
both_outage,full,1169,0.190577552559173,0.0617263037440995,0.496760275332647,0.611893418577068,0.685201026518392,0.530552647568976,966,199,0.088023
both_outage,outage_40_60,199,0.418832621565553,0.452785599024253,0.576071593809633,0.611893418577068,0.115577889447236,0.108664599050378,0,199,0.088023
both_outage,recovery_60_70,100,0.0832667718354148,0.0471550403708328,0.131823032256408,0.401691584742759,0.87,0.382699522419255,99,0,0.088023
alternating,full,1169,0.160595829651301,0.121923648618777,0.28653501827077,0.519719364140273,0.37125748502994,0.537773970789628,0,3,0.073113
alternating,outage_40_60,199,0.106262113852076,0.0959358872267342,0.157344542565067,0.227112357482975,0.542713567839196,0.297939007718862,0,0,0.073113
alternating,recovery_60_70,100,0.148288299034729,0.137087303619983,0.225263995768821,0.286502295921675,0.28,0.392112152826415,0,1,0.073113
