scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.0784742734612255,0.0461508898139435,0.171913189765446,0.268704773566813,0.83917878528657,0.54017237736755,1083,0,0.178559
both,outage_40_60,199,0.0510183953590343,0.0371113135959403,0.103012968436288,0.132034917453316,0.949748743718593,0.198528512278151,198,0,0.178559
both,recovery_60_70,100,0.0875630165282986,0.0589480586579227,0.167320454832446,0.215777398942168,0.77,0.482240407102823,95,0,0.178559
lidar_only,full,1169,0.255781501497361,0.0707532751851186,0.291803092162908,2.03499540666631,0.704020530367836,0.329623772959468,0,86,0.091814
lidar_only,outage_40_60,199,0.0671302328974626,0.0484044801503864,0.136640180346488,0.177990015086893,0.869346733668342,0.198718199362309,0,1,0.091814
lidar_only,recovery_60_70,100,0.124667454266298,0.0830612098769419,0.23307311608158,0.281323147152918,0.63,0.482237988501035,0,5,0.091814
gnss_only,full,1169,0.0880406778464795,0.0559018808583677,0.191084763788518,0.260833864459913,0.773310521813516,1.40357576458218,0,0,0.097471
gnss_only,outage_40_60,199,0.0451232169981474,0.042609494354777,0.0680433606526017,0.099161015729063,1,1.00007860130595,0,0,0.097471
gnss_only,recovery_60_70,100,0.071871713107643,0.0402929325523052,0.12971287288037,0.148002452665215,0.77,1.51780782523856,0,0,0.097471
gnss_outage,full,1169,0.0805418778849189,0.0480631028586805,0.17335700782898,0.268704773566813,0.823781009409752,0.540184250614669,885,1,0.119898
gnss_outage,outage_40_60,199,0.0671041952962291,0.0462157678362937,0.136640180346488,0.177990015086893,0.869346733668342,0.198718199367027,0,1,0.119898
gnss_outage,recovery_60_70,100,0.0879179020770891,0.0589062540514807,0.167320602729674,0.215777399058361,0.75,0.482240407102823,95,0,0.119898
lidar_outage,full,1169,0.0759252304921689,0.0394702838389173,0.171915765505068,0.269039579249006,0.851154833190761,0.569558498218341,885,0,0.117055
lidar_outage,outage_40_60,199,0.0285150585289593,0.0292218506590406,0.0393755225476084,0.0493124736154543,1,0.488834126001257,0,0,0.117055
lidar_outage,recovery_60_70,100,0.081298707593556,0.0557482926543781,0.158351942737918,0.204807270274835,0.8,0.458814853120743,95,0,0.117055
both_outage,full,1169,0.740815011500195,0.0592287748992405,2.18545298816474,2.74853403025087,0.686911890504705,0.534539706120319,885,199,0.093626
both_outage,outage_40_60,199,1.78123279769515,1.79231752669364,2.67323439330744,2.74853403025087,0.0402010050251256,0.0904976388181259,0,199,0.093626
both_outage,recovery_60_70,100,0.20624912748573,0.051355178104156,0.203002702745896,1.59389525886063,0.79,0.466644416746821,95,0,0.093626
alternating,full,1169,0.135621119605886,0.0956550539949604,0.250176396261102,0.612882226715247,0.538066723695466,0.330215772001732,0,36,0.074125
alternating,outage_40_60,199,0.0857213276600744,0.0787696017832886,0.125878198905408,0.179275227970366,0.78391959798995,0.176841388285432,0,1,0.074125
alternating,recovery_60_70,100,0.147276831791248,0.112227747106729,0.270479833179651,0.340628489563275,0.42,0.582050109936057,0,1,0.074125
