scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.103445400549985,0.065768374111821,0.210695171465833,0.44282136936955,0.707442258340462,0.706161716026023,1071,0,0.178144
both,outage_40_60,199,0.0610710965723621,0.0500984003447391,0.105856640646576,0.164348840819091,0.939698492462312,0.271307743081886,190,0,0.178144
both,recovery_60_70,100,0.132886843060311,0.0710880666558041,0.262243991518318,0.310842416694093,0.62,0.802682437147084,99,0,0.178144
lidar_only,full,1169,0.201632398776296,0.0991461921592932,0.457501815914523,0.874615067815085,0.504704875962361,0.589516100691594,0,98,0.079602
lidar_only,outage_40_60,199,0.0964584684598566,0.0827239613437218,0.16769557841864,0.244678957834364,0.688442211055276,0.271195496936006,0,9,0.079602
lidar_only,recovery_60_70,100,0.194692985699124,0.0998344084445157,0.40484548979521,0.471819681872996,0.5,0.802169104886407,0,1,0.079602
gnss_only,full,1169,0.0882524599559174,0.0570510808136803,0.191084740943842,0.260833864372083,0.771599657827203,1.40382612428222,0,0,0.088604
gnss_only,outage_40_60,199,0.0451232170168671,0.0426094946529568,0.068043360813444,0.0991610159983746,1,1.00007860034614,0,0,0.088604
gnss_only,recovery_60_70,100,0.0718717131689518,0.0402929325492502,0.129712873136639,0.148002452786037,0.77,1.51780782521396,0,0,0.088604
gnss_outage,full,1169,0.107871192346423,0.0719464964123991,0.212089117231926,0.44282136936955,0.665526090675791,0.706154380278648,881,9,0.101585
gnss_outage,outage_40_60,199,0.0961988896222538,0.0827239521228621,0.167612288640526,0.244590184344815,0.693467336683417,0.2711955611519,0,9,0.101585
gnss_outage,recovery_60_70,100,0.13265766842476,0.069748947849856,0.262243991282812,0.310842416694093,0.62,0.8026824349904,99,0,0.101585
lidar_outage,full,1169,0.100609804807089,0.0558874531502218,0.210635903698869,0.44282136936955,0.723695466210436,0.706066109986524,881,0,0.103843
lidar_outage,outage_40_60,199,0.0267982901860397,0.0270477168046567,0.0358989937182415,0.0551035176483967,1,0.282596916647802,0,0,0.103843
lidar_outage,recovery_60_70,100,0.130041619042145,0.0682783368555025,0.258170705508668,0.308303513496384,0.67,0.791285221539026,99,0,0.103843
both_outage,full,1169,0.551096726533857,0.0861143756951128,1.5912221138917,1.99682083172876,0.55945252352438,0.698497179882639,881,199,0.083693
both_outage,outage_40_60,199,1.3102700301757,1.35603171378793,1.93728529223334,1.99682083172876,0.0351758793969849,0.113420953971486,0,199,0.083693
both_outage,recovery_60_70,100,0.184132305998588,0.0676857557968743,0.267558271681588,1.14582347103722,0.67,0.796981097763975,99,0,0.083693
alternating,full,1169,0.150558491464486,0.0991318844300528,0.299384561988475,0.627488029342883,0.507271171941831,0.554021163985928,0,48,0.063364
alternating,outage_40_60,199,0.0910949322093714,0.0772733873680052,0.155020074883792,0.23526808760818,0.733668341708543,0.257460753129163,0,4,0.063364
alternating,recovery_60_70,100,0.168979453672278,0.113656600979065,0.37037523280554,0.468309886856541,0.4,0.6551277452582,0,0,0.063364
