model,CfOverMass,CrOverMass,IzOverMass,conditionalCfNPerRad,conditionalCrNPerRad,conditionalIzKgM2,roadSteeringOffsetRad,steeringWheelOffsetDeg,referenceXFromCgM,referenceHeadingCorrectionDeg,steeringTimeShiftSeconds,boundIndices,scaledJacobianCondition,success,evaluations
smoothing_0.21,21.09103905668093,19.18002952454112,2.754106461941082,47939.93177583576,43596.20710928196,6260.0839879920795,0.0016160456036984534,1.5000000000000002,-1.3592625438932022,-0.0093782595143573,0.0,[],24.42022640452849,True,16
smoothing_0.51,20.495849930442713,18.84429535191517,2.4314580995681037,46587.066891896284,42833.08333490318,5526.7042603183,0.0016160456036984534,1.5000000000000002,-1.3017158433609333,-0.020085184334056365,0.0,[],29.178503286125807,True,21
smoothing_1.01,19.719309884575463,18.151040621818733,2.1320582645450896,44821.991367640025,41257.315333393984,4846.168435310989,0.0016160456036984534,1.5000000000000002,-1.2050234064080654,-0.024859001816056207,0.0,[],33.61069785440999,True,16
point_offset_omit_block_2,88.87405138375564,149.99999999999983,2.0248349375623347,202010.71879527657,340949.9999999996,4602.449813079187,0.0016160456036984534,1.5000000000000002,-2.89436743400788,0.0,0.0,[1],64.84687737440221,True,5
point_offset_omit_block_3,89.07358347343836,149.99999999999983,1.7518378294614545,202464.2552351254,340949.9999999996,3981.927386365886,0.0016160456036984534,1.5000000000000002,-2.8585505796989197,0.0,0.0,[1],22.41965875129666,True,5
point_offset_omit_block_4,89.9234288833515,149.9999999999468,2.19765889159754,204395.95385185798,340949.99999987904,4995.278660601208,0.0016160456036984534,1.5000000000000002,-2.8657724801889737,0.0,0.0,[1],22.694540491585684,True,6
point_offset_omit_block_5,76.92688802585201,114.38122344617399,2.145365113925504,174854.8164827616,259988.52089315347,4876.414903952671,0.0016160456036984534,1.5000000000000002,-2.8161485461676277,0.0,0.0,[],21.42363179065876,True,7
point_offset_omit_block_6,50.24184972922349,60.23655511006006,1.1852601988710056,114199.724434525,136917.68976516652,2694.0964320337957,0.0016160456036984534,1.5000000000000002,-2.6170157442013893,0.0,0.0,[],21.633658291550926,True,9
point_offset_omit_block_7,96.37343327489013,149.99999999904594,1.977244554308625,219056.81383382526,340949.9999978314,4494.276871943504,0.0016160456036984534,1.5000000000000002,-2.7826697013782917,0.0,0.0,[1],22.19271990166067,True,7
point_offset_omit_block_8,92.77589015247217,149.9999999990843,2.325300892606936,210879.59831656926,340949.9999979186,5285.408928895566,0.0016160456036984534,1.5000000000000002,-2.796621192852701,0.0,0.0,[1],22.014505868450794,True,7
point_offset_omit_block_9,90.24373147417455,149.99999999999983,2.1252631120418144,205124.00164079876,340949.9999999996,4830.723053671044,0.0016160456036984534,1.5000000000000002,-2.8572876320306992,0.0,0.0,[1],22.652002596297827,True,7
point_heading_omit_block_2,88.82909324588067,149.9999999999997,2.0745081221557267,201908.52894788678,340949.9999999993,4715.356961659967,0.0016160456036984534,1.5000000000000002,-2.8074223490038506,0.11293608723415532,0.0,[1],111.91979146179503,True,4
point_heading_omit_block_3,88.68803617427562,149.99999999999983,1.6955973277894951,201587.9062241285,340949.9999999996,3854.0927260655226,0.0016160456036984534,1.5000000000000002,-2.8390257315544316,0.1478536910916073,0.0,[1],32.6804255539825,True,5
point_heading_omit_block_4,89.60315632356603,149.99999999999983,2.268155557160874,203667.97432346558,340949.9999999996,5155.517581426667,0.0016160456036984534,1.5000000000000002,-2.872621110524524,0.1127253813597442,0.0,[1],33.7774583234632,True,5
point_heading_omit_block_5,87.88541428202674,149.99999999999983,2.702370707365526,199763.54666304679,340949.9999999996,6142.48861784184,0.0016160456036984534,1.5000000000000002,-2.895162948620868,0.12308166164409885,0.0,[1],33.65657506914973,True,5
point_heading_omit_block_6,60.832489104115375,81.28296175277491,1.4326260790201344,138272.24773365425,184756.17206405738,3256.3590776127653,0.0016160456036984534,1.5000000000000002,-2.762395511349719,0.046185136155978836,0.0,[],26.16458025488023,True,9
point_heading_omit_block_7,96.29935927049691,149.99999999999878,1.968032958201682,218888.44362183948,340949.9999999972,4473.338913992423,0.0016160456036984534,1.5000000000000002,-2.849964938731401,0.1050505385946328,0.0,[1],36.053842756935396,True,5
point_heading_omit_block_8,92.60572065268303,149.99999999999983,2.3935496852570615,210492.80304354854,340949.9999999996,5440.538434589301,0.0016160456036984534,1.5000000000000002,-2.8260248960440246,0.08455711681409143,0.0,[1],31.99113581917698,True,9
point_heading_omit_block_9,89.97279304204065,149.99999999999983,2.1687350911478838,204508.1585845584,340949.9999999996,4929.53486217914,0.0016160456036984534,1.5000000000000002,-2.865449777950466,0.09840426330669537,0.0,[1],31.531621670047056,True,4
