model,drive,partition,integralRows,deltaYawRateRmseRadps,conditionalYawRmseRadps,accelerationDrivenYawRmseRadps
integral_0.1,12-11-24,fit,263,0.0025210258762387912,0.06114759831015973,0.002239872115321826
integral_0.1,12-11-24,holdout,368,0.001893113296563914,0.034491426770056025,0.0018103691852185853
integral_0.2,12-11-24,fit,131,0.004843867869841027,0.06223567491511319,0.0022025025194493957
integral_0.2,12-11-24,holdout,184,0.003681699319118296,0.03601607347327121,0.0018075710034981829
integral_0.5,12-11-24,fit,52,0.010041663129394364,0.05932894798440306,0.0021738694276286245
integral_0.5,12-11-24,holdout,73,0.008539799234963844,0.03275056757218612,0.0018208398355085951
integral_1.0,12-11-24,fit,25,0.01830296958871333,0.06103433085291427,0.0019047946143291503
integral_1.0,12-11-24,holdout,36,0.015815711823868754,0.03825719193656863,0.0017130742667653992
integral_0.1,12-09-31,evaluation,1027,0.002538830964142425,0.08031250538806498,0.002310193581180558
integral_0.2,12-09-31,evaluation,513,0.004877426500741352,0.07905366300009332,0.0022814226778124346
integral_0.5,12-09-31,evaluation,204,0.010730260297141015,0.07718354587388282,0.002202209742826916
integral_1.0,12-09-31,evaluation,102,0.021307363627780473,0.08204032022700551,0.0020875762328840318
