IzOverMass,CfOverMass,CrOverMass,conditionalIzKgM2,conditionalCfNPerRad,conditionalCrNPerRad
0.4,10.617471504889265,9.116783237904858,909.2,24133.5127306133,20722.448299757743
0.6,15.638845113679036,13.894397351713335,1363.8,35547.09494339245,31581.96518044441
0.8,20.482225505968835,18.82768390806794,1818.4,46556.09857506716,42795.325523038424
1.0,25.15691188625103,23.9243774988757,2273.0,57181.66071744859,54380.11005494447
1.2,29.671566767907688,29.192733736385268,2727.6,67443.47126345418,66355.08378280372
1.4,34.034269546825534,34.641573876111096,3182.2,77359.89467993444,78740.29742040051
1.6,38.25256475507335,40.28033410577256,3636.8,86948.07968828172,91557.19942242104
1.7999999999999998,42.333505600931176,46.11912007956513,4091.3999999999996,96224.05823091656,104828.75994085154
2.0,46.283693323859076,52.1687673607666,4546.0,105202.83492513168,118579.60821102248
2.1999999999999997,50.10931282631737,58.44090853321658,5000.599999999999,113898.46805421938,132836.18509600128
2.4,53.816164986989904,64.94804785618832,5455.2,122324.14301542805,147626.91277711606
2.5999999999999996,57.40969601049172,71.70364447073581,5909.799999999999,130492.23903184768,162982.3838819825
2.8,60.89502412587647,78.72220532255967,6364.4,138414.3898381172,178935.57269817815
2.9999999999999996,64.27696390920009,86.01938915143462,6818.999999999999,146101.5389656118,195522.0715412109
3.1999999999999997,67.56004847321508,93.6121231159592,7273.599999999999,153563.99017961786,212780.35584257529
3.3999999999999995,70.74854973925711,101.51873388179241,7728.199999999999,160811.45355733144,230752.08211331416
3.5999999999999996,73.84649698195618,109.75909531022198,8182.799999999999,167853.0876399864,249482.42364013457
3.8,76.8576938160499,118.35479525248496,8637.4,174697.53804388142,269020.4496088983
3.9999999999999996,79.78573377587938,127.32932439693839,9091.999999999998,181352.97287257382,289419.55435424094
4.2,82.63401462173964,136.70829064742003,9546.6,187827.1152352142,310737.94464158575
4.3999999999999995,85.40575149283426,146.51966315259827,10001.199999999999,194127.27314321225,333039.19434585585
4.6,88.10398901388247,156.79405088379357,10455.8,200260.36702855484,356392.8776588628
4.8,90.73161245122002,167.56502160557307,10910.4,206232.95510162308,380875.2941094676
5.0,93.29135800433268,178.8694682412743,11365.0,212051.25674384818,406570.30131241644
5.2,95.78582230999427,190.74803105807905,11819.6,217721.174110617,433570.2745950137
5.4,98.21747122840739,203.24558585228712,12274.2,223248.31210217,461977.2166422486
5.6,100.58864797384194,216.41181049426376,12728.8,228637.99684454274,491904.0452534615
5.8,102.9015806461264,230.30184491037093,13183.4,233895.29280864532,523476.0934812731
6.0,105.15838921387628,244.9770629883849,13638.0,239025.01868314078,556832.8641725988
