variant,referenceInjected,population,samples,rmseM,medianM,p95M,maximumM,fractionAtMost5cm,fractionAtMost10cm,meanForwardErrorM,meanLeftErrorM
actual,0,native_full,1084,0.117369324654158,0.0963452442980099,0.206697149542251,0.329049821177467,0.123616236162362,0.535055350553506,0.00686786017016542,-0.0651385292841141
actual,0,uniform_all,11690,0.122594951691181,0.0987883066406342,0.226274205562709,0.334049234829016,0.120188195038494,0.511291702309666,0.00961974062324659,-0.0617230672236818
reference_position_input,1,native_full,1084,0.0665571401042679,0.0609355221678544,0.102182520263982,0.140175174587937,0.35239852398524,0.94280442804428,0.0104481901191781,-0.0456995693209177
reference_position_input,1,uniform_all,11690,0.0682138384172004,0.0628993369718653,0.103788347966058,0.233019709194446,0.333704020530368,0.930282292557742,0.0113127591937392,-0.0404758615115931
reference_heading_input,1,native_full,1084,0.125452277661955,0.10217629242675,0.220786985974413,0.348217944301394,0.101476014760148,0.476937269372694,0.00696629927596609,-0.0721051295756837
reference_heading_input,1,uniform_all,11690,0.129808184264888,0.105223881651811,0.237408324597458,0.362900079928546,0.0983746792130026,0.455260906757913,0.00972813593144485,-0.0677364966672426
reference_heading_and_rate,1,native_full,1084,0.125459358478187,0.102478298161685,0.221011383983711,0.348930532145982,0.101476014760148,0.477859778597786,0.00697111237969102,-0.0721274186115752
reference_heading_and_rate,1,uniform_all,11690,0.129825422673712,0.105319973707695,0.237641351341317,0.363611671832548,0.0982891360136869,0.456030795551754,0.00973301955440031,-0.0677747150183571
reference_body_velocity,1,native_full,1084,0.0849742142799732,0.0592375581917058,0.161106825835798,0.292900247813745,0.404981549815498,0.777675276752767,-0.00143820302906488,-0.0150137777516986
reference_body_velocity,1,uniform_all,11690,0.0950790715832547,0.0624001936080131,0.188236041943416,0.399062051310271,0.380752780153978,0.737895637296835,0.000806079582033726,-0.0174358435111174
reference_longitudinal_velocity,1,native_full,1084,0.116176883071179,0.0958264986866447,0.204318934213492,0.328440154631402,0.154059040590406,0.533210332103321,-0.000558625672110174,-0.0652142145572779
reference_longitudinal_velocity,1,uniform_all,11690,0.121040992334963,0.0986215512124171,0.223912704592455,0.333483136488093,0.144054747647562,0.51180496150556,0.00219125037062865,-0.0617767830811081
reference_lateral_velocity,1,native_full,1084,0.0865970472528982,0.0627296607738603,0.163597935291749,0.293150077442368,0.382841328413284,0.768450184501845,0.00598828275100782,-0.0149380924123641
reference_lateral_velocity,1,uniform_all,11690,0.0970520995887112,0.0661820319217513,0.191994939029002,0.399777217031136,0.355945252352438,0.732763045337896,0.0082345697155142,-0.0173821275521619
reference_body_acceleration,1,native_full,1084,0.117704376801508,0.0949375824240488,0.210054123374273,0.319472114857551,0.148523985239852,0.546125461254613,0.00132742231649039,-0.0651079360309487
reference_body_acceleration,1,uniform_all,11690,0.12264598433807,0.0980056308258878,0.230004249837627,0.332301723650176,0.142087254063302,0.521300256629598,0.00453722168816397,-0.0613086037673111
reference_velocity_acceleration,1,native_full,1084,0.0865551170006038,0.0599519305796184,0.169523478454764,0.279758152301373,0.416051660516605,0.767527675276753,-0.00697864085652472,-0.0149831846194793
