group,method,samples,rmseM,medianM,p95M,maximumM,fractionAtMost5cm,fractionAtMost10cm,meanForwardErrorM,meanLeftErrorM
stationary,raw,15,0.0333917050297036,0.0353120219354178,0.0390738014963383,0.0391428553063473,1,1,0.0107778035107214,-0.024726136218877
stationary,observer,15,0.0340910719146143,0.0247630763440444,0.0662055223078297,0.0693495570034284,0.866666666666667,1,-0.00516442749604811,-0.0219497572967711
slow,raw,73,0.106903414164918,0.054609165601045,0.284033074422143,0.337549587651621,0.493150684931507,0.794520547945205,0.00582754916939078,-0.00387389652715132
slow,observer,73,0.105820473531523,0.0692980342034039,0.268416024095753,0.329049821177467,0.164383561643836,0.876712328767123,-0.0298843835978713,0.00608961346211982
moving,raw,996,0.15228161398459,0.0828192457205472,0.335570266255755,0.575064923076906,0.223895582329317,0.597389558232932,-0.00128742101123874,-0.0215137445416912
moving,observer,996,0.118972425401636,0.0997157265095141,0.206327405621239,0.316804347721322,0.109437751004016,0.503012048192771,0.00974275787102876,-0.0710094991639186
straight_moving,raw,611,0.139464046828752,0.076606227935241,0.316248846649388,0.539758847201055,0.242225859247136,0.65139116202946,0.00437944067882038,-0.0224961298003337
straight_moving,observer,611,0.113904688711666,0.0990225474412054,0.192257791797167,0.287491799050594,0.0998363338788871,0.51063829787234,0.0202271000804525,-0.0798767934083665
turning_moving,raw,385,0.170658362752406,0.0968092062697418,0.371657554436432,0.575064923076906,0.194805194805195,0.511688311688312,-0.0102808041089689,-0.0199546863779754
turning_moving,observer,385,0.126599238097128,0.100687054511055,0.254328170293409,0.316804347721322,0.124675324675325,0.490909090909091,-0.0068960293756151,-0.0569369880383142
outside_long_gaps_and_1s_recovery,raw,974,0.144207106333859,0.0773105840561668,0.319715285211215,0.575064923076906,0.259753593429158,0.631416837782341,-0.00212440094928086,-0.0214138648814576
outside_long_gaps_and_1s_recovery,observer,974,0.112966838058509,0.0946426293586,0.195173185523325,0.329049821177467,0.126283367556468,0.557494866529774,0.00386608878200955,-0.0688716645073453
