mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_zero,native_full,lidar_measurement,1084,0.148634389798263,0.0788666854398096,0.330449648702042,0.575064923076906,0.252767527675277,0.616236162361624,0.424399955637063
per_frame_positive,native_full,lidar_measurement,1066,0.17710186432749,0.104577171699458,0.369100264552349,0.855137324422494,0.180112570356473,0.478424015009381,0.551785079370937
per_frame_negative,native_full,lidar_measurement,1069,0.207377178427302,0.103202047099693,0.43533232764138,1.35176983633233,0.19176800748363,0.489242282507016,0.605412590153471
per_frame_zero,native_full,previous_observer,1084,0.117369324654158,0.0963452442980099,0.206697149542251,0.329049821177467,0.123616236162362,0.535055350553506,0.313955470763155
per_frame_zero,native_all,previous_observer,1170,0.12182862870962,0.0983847256242617,0.225489516035975,0.329049821177467,0.120512820512821,0.514529914529914,0.346716909222717
per_frame_zero,uniform_all,previous_observer,11690,0.122594951691181,0.0987883066406342,0.226274205562709,0.334049234829016,0.120188195038494,0.511291702309666,0.347781470594457
per_frame_zero,uniform_first60,previous_observer,6001,0.116275248311202,0.0939474237234871,0.207640467122056,0.334049234829016,0.114314280953174,0.565572404599233,0.319493121984008
per_frame_zero,uniform_after60,previous_observer,5689,0.128925951168958,0.105726822468199,0.237431061515794,0.314676181978915,0.126384250307611,0.454034100896467,0.375317549908944
per_frame_zero,native_full,steering_only,1084,0.117922147959017,0.0973790610469514,0.207077026408923,0.328316764535533,0.121771217712177,0.529520295202952,0.313955470763155
per_frame_zero,native_all,steering_only,1170,0.122327038239247,0.0989099641277158,0.224916484825326,0.328316764535533,0.117948717948718,0.509401709401709,0.346716909222717
per_frame_zero,uniform_all,steering_only,11690,0.1230900853452,0.099530197841727,0.226868050395948,0.3333053668364,0.117023096663815,0.503763900769889,0.347781470594457
per_frame_zero,uniform_first60,steering_only,6001,0.116769488672961,0.0946690726336347,0.208450961797475,0.3333053668364,0.109815030828195,0.558740209965006,0.319493121984008
per_frame_zero,uniform_after60,steering_only,5689,0.129423217729347,0.106524683092768,0.237652680437001,0.313379530650117,0.124626472139216,0.44577254350501,0.375317549908944
per_frame_zero,native_full,lidar_bias_legacy_steering,1084,0.0933870464597342,0.0655644481423856,0.187624874834753,0.329049821177467,0.356088560885609,0.746309963099631,0.313955470763155
per_frame_zero,native_all,lidar_bias_legacy_steering,1170,0.100426748587412,0.0672940114277117,0.20943124224481,0.340282087180896,0.341025641025641,0.717948717948718,0.346716909222717
per_frame_zero,uniform_all,lidar_bias_legacy_steering,11690,0.101379562706132,0.0684994748467979,0.208537341842354,0.341063707465443,0.331394354148845,0.712745936698033,0.347781470594457
per_frame_zero,uniform_first60,lidar_bias_legacy_steering,6001,0.0920894609418281,0.0592042990872391,0.191536165853585,0.334049234829016,0.407432094650892,0.777870354940843,0.319493121984008
per_frame_zero,uniform_after60,lidar_bias_legacy_steering,5689,0.110334645384963,0.0789389419856119,0.219321453678845,0.341063707465443,0.251186500263667,0.644049920899982,0.375317549908944
per_frame_zero,native_full,steering_and_lidar_bias,1084,0.0934033690378908,0.0655834691528955,0.187967544400269,0.328316764535533,0.357011070110701,0.746309963099631,0.313955470763155
per_frame_zero,native_all,steering_and_lidar_bias,1170,0.100449448865671,0.0673216539271427,0.20947921725316,0.340169904551853,0.341880341880342,0.717948717948718,0.346716909222717
per_frame_zero,uniform_all,steering_and_lidar_bias,11690,0.101402302434833,0.068469936143195,0.208589522315293,0.340951180955316,0.331052181351583,0.712232677502139,0.347781470594457
per_frame_zero,uniform_first60,steering_and_lidar_bias,6001,0.0921482704814978,0.0591695828641067,0.19218223585819,0.3333053668364,0.407265455757374,0.777037160473254,0.319493121984008
per_frame_zero,uniform_after60,steering_and_lidar_bias,5689,0.110325790815823,0.0789113574778054,0.219246766960976,0.340951180955316,0.250659166813148,0.643874143083143,0.375317549908944
per_frame_positive,native_full,previous_observer,1066,0.138794540581978,0.109978449023551,0.243783696993662,0.728544096081888,0.135084427767355,0.442776735459662,0.452389008731909
per_frame_positive,native_all,previous_observer,1170,0.147219878690107,0.113737604544571,0.262676851895809,0.728544096081888,0.125641025641026,0.416239316239316,0.464366569711378
per_frame_positive,uniform_all,previous_observer,11690,0.148124146192083,0.114727569557971,0.263737991885947,0.733492202449504,0.121385799828914,0.409409751924722,0.464052729983417
per_frame_positive,uniform_first60,previous_observer,6001,0.145191168109436,0.100216746288236,0.270376159448654,0.733492202449504,0.131978003666056,0.498416930511581,0.397295362593743
per_frame_positive,uniform_after60,previous_observer,5689,0.151156311605687,0.125666315653936,0.259366444821622,0.428790345312223,0.110212691158376,0.315521181226929,0.52535682569563
per_frame_positive,native_full,steering_only,1066,0.139232799671849,0.110646439697322,0.244490665688425,0.727572011758904,0.131332082551595,0.437148217636023,0.452389008731909
per_frame_positive,native_all,steering_only,1170,0.147533847408095,0.114471329738997,0.262483909569672,0.727572011758904,0.122222222222222,0.412820512820513,0.464366569711378
per_frame_positive,uniform_all,steering_only,11690,0.148435835847065,0.115257187025451,0.263782576021703,0.732516638419013,0.119247219846022,0.406928999144568,0.464052729983417
per_frame_positive,uniform_first60,steering_only,6001,0.145500933559269,0.100748763771201,0.27065041784307,0.732516638419013,0.128478586902183,0.495917347108815,0.397295362593743
per_frame_positive,uniform_after60,steering_only,5689,0.151470077925709,0.1260693118607,0.259406011869023,0.429206135980042,0.109509579891018,0.313060291791176,0.52535682569563
per_frame_positive,native_full,lidar_bias_legacy_steering,1066,0.120713547067714,0.0864733017294051,0.233032514205543,0.728544096081888,0.24577861163227,0.573170731707317,0.452389008731909
