mode,variant,population,samples,rmseMps,biasMps,medianAbsMps
per_frame_zero,previous_observer,moving,10787,0.274291963019241,-0.201159059721472,0.263454558648851
per_frame_zero,previous_observer,straight,6303,0.273430361235066,-0.263053740898226,0.278358774570087
per_frame_zero,previous_observer,moving_first60,5098,0.306171555924884,-0.258688923022272,0.289667633095069
per_frame_zero,previous_observer,moving_after60,5689,0.242184888706769,-0.14960566842116,0.245461168101183
per_frame_zero,steering_only,moving,10787,0.277096147346553,-0.205363943541657,0.266952662644953
per_frame_zero,steering_only,straight,6303,0.277113330123818,-0.267014076549223,0.282415834921933
per_frame_zero,steering_only,moving_first60,5098,0.309068314966093,-0.262366047054823,0.292938914046225
per_frame_zero,steering_only,moving_after60,5689,0.244924935535666,-0.154283485867176,0.24937175260517
per_frame_zero,lidar_bias_legacy_steering,moving,10787,0.142988763013971,-0.00641897502458527,0.0592499246127241
per_frame_zero,lidar_bias_legacy_steering,straight,6303,0.0676875905412871,-0.033192582864064,0.0460079168637791
per_frame_zero,lidar_bias_legacy_steering,moving_first60,5098,0.132384462475903,-0.036920827906898,0.042624559168512
per_frame_zero,lidar_bias_legacy_steering,moving_after60,5689,0.151863652358027,0.0209142023341827,0.0704390705370055
per_frame_zero,steering_and_lidar_bias,moving,10787,0.143015365509226,-0.00684890965239114,0.0594032094523914
per_frame_zero,steering_and_lidar_bias,straight,6303,0.0676755000382205,-0.0332393546942654,0.0459123269091049
per_frame_zero,steering_and_lidar_bias,moving_first60,5098,0.132646033594132,-0.0377693695096587,0.0425986970241918
per_frame_zero,steering_and_lidar_bias,moving_after60,5689,0.151706535021864,0.0208593878256103,0.0702816516062413
per_frame_positive,previous_observer,moving,10787,0.274291963019241,-0.201159059721472,0.263454558648851
per_frame_positive,previous_observer,straight,6303,0.273430361235066,-0.263053740898226,0.278358774570087
per_frame_positive,previous_observer,moving_first60,5098,0.306171555924884,-0.258688923022272,0.289667633095069
per_frame_positive,previous_observer,moving_after60,5689,0.242184888706769,-0.14960566842116,0.245461168101183
per_frame_positive,steering_only,moving,10787,0.277096147346553,-0.205363943541657,0.266952662644953
per_frame_positive,steering_only,straight,6303,0.277113330123818,-0.267014076549223,0.282415834921933
per_frame_positive,steering_only,moving_first60,5098,0.309068314966093,-0.262366047054823,0.292938914046225
per_frame_positive,steering_only,moving_after60,5689,0.244924935535666,-0.154283485867176,0.24937175260517
per_frame_positive,lidar_bias_legacy_steering,moving,10787,0.160473621722209,-0.059603787615864,0.10375125831396
per_frame_positive,lidar_bias_legacy_steering,straight,6303,0.114417623429046,-0.0853147349899898,0.0851938506273107
per_frame_positive,lidar_bias_legacy_steering,moving_first60,5098,0.15504949343208,-0.0795125785480367,0.0859165093058688
per_frame_positive,lidar_bias_legacy_steering,moving_after60,5689,0.165183016479097,-0.0417632152530205,0.120304243751321
per_frame_positive,steering_and_lidar_bias,moving,10787,0.160618134593976,-0.0600874329372634,0.103615052088097
per_frame_positive,steering_and_lidar_bias,straight,6303,0.114421904894174,-0.0853748381846363,0.085319935195493
per_frame_positive,steering_and_lidar_bias,moving_first60,5098,0.155511190121598,-0.0804868128829594,0.0860219022641626
per_frame_positive,steering_and_lidar_bias,moving_after60,5689,0.165060361446004,-0.0418072362483622,0.120348356867477
per_frame_negative,previous_observer,moving,10787,0.274291963019241,-0.201159059721472,0.263454558648851
per_frame_negative,previous_observer,straight,6303,0.273430361235066,-0.263053740898226,0.278358774570087
per_frame_negative,previous_observer,moving_first60,5098,0.306171555924884,-0.258688923022272,0.289667633095069
per_frame_negative,previous_observer,moving_after60,5689,0.242184888706769,-0.14960566842116,0.245461168101183
per_frame_negative,steering_only,moving,10787,0.277096147346553,-0.205363943541657,0.266952662644953
per_frame_negative,steering_only,straight,6303,0.277113330123818,-0.267014076549223,0.282415834921933
per_frame_negative,steering_only,moving_first60,5098,0.309068314966093,-0.262366047054823,0.292938914046225
per_frame_negative,steering_only,moving_after60,5689,0.244924935535666,-0.154283485867176,0.24937175260517
per_frame_negative,lidar_bias_legacy_steering,moving,10787,0.167021088837234,-0.0250466430055933,0.0575300824306226
per_frame_negative,lidar_bias_legacy_steering,straight,6303,0.0874537966317665,-0.0489195416235787,0.0444704606052495
per_frame_negative,lidar_bias_legacy_steering,moving_first60,5098,0.172881280960822,-0.0753107447217451,0.0595086491092661
per_frame_negative,lidar_bias_legacy_steering,moving_after60,5689,0.161589226535025,0.0199957880981053,0.0560214219697365
per_frame_negative,steering_and_lidar_bias,moving,10787,0.167468355158571,-0.0256914808220088,0.0575429380048824
per_frame_negative,steering_and_lidar_bias,straight,6303,0.0877729876536897,-0.0490835043221188,0.0444022560010998
per_frame_negative,steering_and_lidar_bias,moving_first60,5098,0.173958287277138,-0.076615603102125,0.0597618626325057
per_frame_negative,steering_and_lidar_bias,moving_after60,5689,0.161431117366793,0.0199424048141368,0.0558835399568186
