variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
actual,moving,10787,0.274291963019241,0.263454558648851,-0.201159059721472,0.0277728858721092,0.228931945593582,0.276327363338225,0.994142713252699,1.642823,Original certified design; grid certificate covers LPV branch only
actual,straight,6303,0.273430361235066,0.278358774570087,-0.263053740898226,0.00679840959370222,0.269852150491929,0.272784975898143,1,1.642823,Original certified design; grid certificate covers LPV branch only
actual,turning,4484,0.275498530203355,0.241279122917618,-0.114155898379572,0.0572559643696113,0.171411862749184,0.281231339679976,0.985909332706705,1.642823,Original certified design; grid certificate covers LPV branch only
actual,moving_first60,5098,0.306171555924884,0.289667633095069,-0.258688923022272,0.0172326436353859,0.275921566657658,0.308323602236178,0.987606404051955,1.642823,Original certified design; grid certificate covers LPV branch only
actual,moving_later,5689,0.242184888706769,0.245461168101183,-0.14960566842116,0.037218158314158,0.186823826735318,0.24411782487389,1,1.642823,Original certified design; grid certificate covers LPV branch only
gain_0,all,11690,0.275384870538914,0.259377287636879,-0.185716316151478,0.0241870316559319,0.209903347807409,0.27656868179609,0.917349653366712,1.655295,Diagnostic perturbation; certificate not transferred
gain_0,moving,10787,0.28049763327883,0.267615515885796,-0.20908392460625,0.0198480209873316,0.228931945593582,0.282122006374977,0.994142713252699,1.655295,Diagnostic perturbation; certificate not transferred
gain_0,straight,6303,0.2836921897658,0.289812398387723,-0.272090939512928,-0.00223878902099957,0.269852150491929,0.282805862487376,1,1.655295,Diagnostic perturbation; certificate not transferred
gain_0,turning,4484,0.275944635796777,0.242451543238579,-0.120517195133281,0.0508946676159024,0.171411862749184,0.281157921742779,0.985909332706705,1.655295,Diagnostic perturbation; certificate not transferred
gain_0,moving_first60,5098,0.316493293318675,0.303057514457606,-0.269209081665281,0.00671248499237751,0.275921566657658,0.318187931486653,0.987606404051955,1.655295,Diagnostic perturbation; certificate not transferred
gain_0,moving_later,5689,0.243766746084772,0.240456151155927,-0.155204850834596,0.0316189759007217,0.186823826735318,0.245339097834474,1,1.655295,Diagnostic perturbation; certificate not transferred
gain_025,all,11690,0.273102979078227,0.258259248354372,-0.182981063909248,0.0269222838981617,0.209903347807409,0.274421199980681,0.917349653366712,1.574108,Diagnostic perturbation; certificate not transferred
gain_025,moving,10787,0.278069343168735,0.26597523166761,-0.206119699269116,0.0228122463244658,0.228931945593582,0.279840194445118,0.994142713252699,1.574108,Diagnostic perturbation; certificate not transferred
gain_025,straight,6303,0.279788712454629,0.285461027357717,-0.268695110999091,0.00115703949283819,0.269852150491929,0.278985763003688,1,1.574108,Diagnostic perturbation; certificate not transferred
gain_025,turning,4484,0.275634353328181,0.241446756302261,-0.118159659096495,0.0532522036526881,0.171411862749184,0.281036846339063,0.985909332706705,1.574108,Diagnostic perturbation; certificate not transferred
gain_025,moving_first60,5098,0.312490206755197,0.299583208497557,-0.26521037672944,0.0107111899282181,0.275921566657658,0.314347174772174,0.987606404051955,1.574108,Diagnostic perturbation; certificate not transferred
gain_025,moving_later,5689,0.243118722387167,0.242212707685856,-0.153167638504002,0.033656188231316,0.186823826735318,0.244820207343688,1,1.574108,Diagnostic perturbation; certificate not transferred
gain_05,all,11690,0.271542954383327,0.256864132254075,-0.181022926577898,0.0288804212295117,0.209903347807409,0.272962054913748,0.917349653366712,1.577165,Diagnostic perturbation; certificate not transferred
