plant,profile,positionRmseM,velocityRmseMps,accelerationRmseMps2,headingRmseDeg,peakVelocityErrorMps,peakAccelerationErrorMps2,maximumTrueCourseRate,outsideRateEnvelope,matrixCertificatePassed
nominal,tracking,0.168115257846319,0.508208648433838,0.54045505760556,0.0568997923780829,1.15923886807831,1.13450918242361,0.329755915143462,1,1
nominal,mncav,0.0197500157857921,0.104273399862623,0.213741042088221,0.0676449929567509,4.24355423134214,3.70702957004606,0.329755915143462,0,1
inertia_07,tracking,0.167972146032036,0.507795319457292,0.540191932406941,0.0569025860140456,1.15621115697697,1.13642760471869,0.329903795029515,1,1
inertia_07,mncav,0.0197859442513891,0.104342448024777,0.213967910414039,0.0676451586535607,4.24233410366103,3.70133636407706,0.329903795029515,0,1
inertia_13,tracking,0.168232201325299,0.508540003411065,0.540629651163448,0.0568974057616204,1.16212869792368,1.13215409976067,0.329582642089586,1,1
inertia_13,mncav,0.0197137283430847,0.104192977984941,0.213487457667139,0.0676448400370628,4.2446275820684,3.71237636820879,0.329582642089586,0,1
front_07,tracking,0.146554196848728,0.444018731220789,0.470423865911664,0.0569670625425395,1.16523217949697,0.918511859138506,0.28937959981193,1,1
front_07,mncav,0.0177905258325418,0.0947755551642209,0.194378176685094,0.0676456895827186,4.24491688184144,3.71164105763507,0.28937959981193,0,1
front_13,tracking,0.183773542254476,0.55448449387764,0.59149004963374,0.0568462033216607,1.20114411323826,1.29879140644061,0.356550859810272,1,1
front_13,mncav,0.0211458221054627,0.111353031002242,0.227661965346817,0.0676446198035372,4.24271800293948,3.70420405667324,0.356550859810272,0,1
rear_07,tracking,0.202643436597994,0.610372967215094,0.653054983796251,0.0567650492931913,1.38187523694673,1.50753187390918,0.387138564092137,1,1
rear_07,mncav,0.0224467515845784,0.119327491712664,0.243153341074068,0.0676433149560188,4.24457038463872,3.71519566011624,0.387138564092137,0,1
rear_13,tracking,0.154631992884656,0.468276949247469,0.497089871649418,0.056946282791978,1.15993958845858,1.00135679098921,0.305325958466395,1,1
rear_13,mncav,0.0185644040520361,0.0984977872934725,0.202297432748926,0.0676456194528517,4.24320551861455,3.70440138232221,0.305325958466395,0,1
