positionGain,velocityGain,accelerationGain,headingGain,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg,certificateMargin,accuracyFeasible
3,1,4,0.5,0.198073156158591,0.832696001947935,0.314669865211262,0.394541119166472,0.64602694454847,0
4,1,4,0.5,0.179564740937976,0.847919282588754,0.296653798625909,0.394541119166472,0.90074875130661,0
5,1,4,0.5,0.170769818364445,0.858823629666058,0.289893553185678,0.394541119166472,1.09394614553746,0
6,1,4,0.5,0.166264679931239,0.865535160655871,0.282400392990035,0.394541119166472,1.23464573933885,0
8,1,4,0.5,0.162611240592365,0.872046354269329,0.283124120006719,0.394541119166472,1.4097554749903,0
10,1,4,0.5,0.161697382455025,0.873651925873241,0.286214946025186,0.394541119166472,1.50652828708265,0
3,4,4,0.5,0.174074461962946,0.858694455824046,0.309864438845762,0.394541119166472,1.34502797055511,0
4,4,4,0.5,0.164544049134426,0.869372842090524,0.294449080435581,0.394541119166472,1.83193034067646,0
5,4,4,0.5,0.160503487582588,0.876861509737281,0.284852397910415,0.394541119166472,2.31640734491138,0
6,4,4,0.5,0.158799975843837,0.881013728117224,0.278252852332939,0.394541119166472,2.79771928221003,0
8,4,4,0.5,0.158128606629883,0.883972140933238,0.278174073737765,0.394541119166472,3.74604090446557,0
10,4,4,0.5,0.158680185725015,0.883377850500537,0.282247233795084,0.394541119166472,4.65958499162002,0
3,8,4,0.5,0.172584785796223,0.867665770191994,0.308396577946195,0.394541119166472,1.4303853520595,0
4,8,4,0.5,0.163666189438192,0.876346466920185,0.293408312885291,0.394541119166472,1.92780095611331,0
5,8,4,0.5,0.159928134621347,0.88268035208488,0.284260410820369,0.394541119166472,2.42500169684221,0
6,8,4,0.5,0.15839419917048,0.886035506574256,0.278337060017171,0.394541119166472,2.92195463987618,0
8,8,4,0.5,0.157894945314313,0.887821305072702,0.278502162404094,0.394541119166472,3.91493466813953,0
10,8,4,0.5,0.158527496787452,0.886607968662696,0.282289686630815,0.394541119166472,4.90618157090467,0
3,1,12,0.5,0.197543358839161,0.832177556278753,0.319588135988955,0.394541119166472,0.696971154387085,0
4,1,12,0.5,0.179164087319401,0.846959051746143,0.301570892104547,0.394541119166472,0.97035882302811,0
5,1,12,0.5,0.170447797154016,0.857835026751869,0.292813201390614,0.394541119166472,1.18219239972191,0
6,1,12,0.5,0.165996322982488,0.864634207557384,0.284557749161012,0.394541119166472,1.33868754104585,1
