reference,population,method,samples,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg
INSPVA,uniform_all,map_matching,11690,0.188464702841258,0.967272865311592,0.37606782237813,0.584031418826891
INSPVA,uniform_all,previous_observer,11690,0.195741995644374,1.13506127503235,0.348827771950175,0.538750084001544
INSPVA,uniform_all,previous_same_initial,11690,0.194513265908924,1.13506127451233,0.346492626338368,0.532555252973659
INSPVA,uniform_all,motion_aided,11690,0.176934281205468,0.863911601781431,0.337687070903598,0.55290244410718
INSPVA,uniform_design,map_matching,6001,0.166083865575274,0.865365132520261,0.313092326112858,0.515257722510524
INSPVA,uniform_design,previous_observer,6001,0.164958012005705,0.898978750997824,0.284113456195441,0.473430816386706
INSPVA,uniform_design,previous_same_initial,6001,0.162101943372481,0.898990425241062,0.280355385402068,0.459574444678981
INSPVA,uniform_design,motion_aided,6001,0.162911882730412,0.863911601781431,0.281438977860911,0.481924181173143
INSPVA,uniform_reserved,map_matching,5689,0.209497541349064,0.967272865311592,0.433805824678858,0.648722669322038
INSPVA,uniform_reserved,previous_observer,5689,0.223668668358556,1.13506127503235,0.420158479463462,0.599993739280196
INSPVA,uniform_reserved,previous_same_initial,5689,0.223668668322565,1.13506127451233,0.420158479517411,0.59999373928008
INSPVA,uniform_reserved,motion_aided,5689,0.190610987871788,0.735487700355788,0.40730180950514,0.619014955011136
INSPVA,native_all,map_matching,1170,0.207316973579108,0.967885956799145,0.442531462601719,0.617444222434905
INSPVA,native_all,previous_observer,1170,0.195741442071321,1.13368708300863,0.348108157251729,0.53985818072646
INSPVA,native_all,previous_same_initial,1170,0.194027642240236,1.13368708249528,0.344759712997756,0.532100973344663
INSPVA,native_all,motion_aided,1170,0.17669686909934,0.860965230250629,0.338916340772716,0.552408927433327
INSPVA,native_accepted,map_matching,1098,0.187444550611154,0.967885956799145,0.377716633589226,0.531090042052094
INSPVA,native_accepted,previous_observer,1098,0.1810423456498,1.12524156248055,0.297632858338886,0.490111853984659
INSPVA,native_accepted,previous_same_initial,1098,0.179066988011413,1.12524156192591,0.29181734423427,0.48098710978643
INSPVA,native_accepted,motion_aided,1098,0.161506330584389,0.860965230250629,0.271286642726455,0.491373536992256
mixed_ODOM,uniform_all,map_matching,11690,0.251085493466494,1.73131840985815,0.485653062412899,0.584031418826891
mixed_ODOM,uniform_all,previous_observer,11690,0.254624816099415,1.73027564429198,0.489153447837804,0.538750084001544
mixed_ODOM,uniform_all,previous_same_initial,11690,0.253681189715742,1.73027564429198,0.48371371040111,0.532555252973659
mixed_ODOM,uniform_all,motion_aided,11690,0.242192309737406,1.62288235477222,0.490829451082328,0.55290244410718
mixed_ODOM,uniform_design,map_matching,6001,0.166258452076434,0.86537597935921,0.314575258056025,0.515257722510524
mixed_ODOM,uniform_design,previous_observer,6001,0.165076219062983,0.899055627580428,0.283917148731709,0.473430816386706
mixed_ODOM,uniform_design,previous_same_initial,6001,0.162221434741827,0.899067302290283,0.280111034847273,0.459574444678981
mixed_ODOM,uniform_design,motion_aided,6001,0.163048183938795,0.86396516095799,0.281424697318729,0.481924181173143
mixed_ODOM,uniform_reserved,map_matching,5689,0.316839897342795,1.73131840985815,0.764888590900219,0.648722669322038
mixed_ODOM,uniform_reserved,previous_observer,5689,0.323231532007778,1.73027564429198,0.845227907474186,0.599993739280196
mixed_ODOM,uniform_reserved,previous_same_initial,5689,0.323231531987932,1.73027564429198,0.845227907425474,0.59999373928008
mixed_ODOM,uniform_reserved,motion_aided,5689,0.304119147855327,1.62288235477222,0.703066288704397,0.619014955011136
mixed_ODOM,native_all,map_matching,1170,0.288704046201594,1.58469486505207,0.556911370694678,0.617444222434905
mixed_ODOM,native_all,previous_observer,1170,0.278089875469773,1.58208847074914,0.519390629339857,0.53985818072646
mixed_ODOM,native_all,previous_same_initial,1170,0.276885838938036,1.58208847080613,0.50873412747249,0.532100973344663
mixed_ODOM,native_all,motion_aided,1170,0.26678192883033,1.50502567467085,0.50454854570667,0.552408927433327
mixed_ODOM,native_accepted,map_matching,1098,0.274187832275565,1.58469486505207,0.486302105395179,0.531090042052094
mixed_ODOM,native_accepted,previous_observer,1098,0.267493927171262,1.58208847074914,0.446301725782817,0.490111853984659
mixed_ODOM,native_accepted,previous_same_initial,1098,0.26616050604931,1.58208847080613,0.434971422117683,0.48098710978643
mixed_ODOM,native_accepted,motion_aided,1098,0.256413597940326,1.50502567467085,0.391456270458606,0.491373536992256
