model,split,yawRmseRadps,vyRmseMps,vyBiasMps
bicycle_fixed_ratio,june_evaluation,0.0022513974349489,0.3521710336984081,-0.268080193343294
bicycle_fixed_ratio,june_holdout,0.0018619258978226,0.2700926404143761,-0.1089044034163335
bicycle_fixed_ratio,june_train,0.0014007631944538,0.2619600039587666,0.0299522265921321
bicycle_fixed_ratio,train,0.003286371374990055,,
bicycle_fixed_ratio,validation,0.00326508848776788,,
bicycle_joint_vy,june_evaluation,0.0025701406680036,0.2556114246135851,-0.2410852196079623
bicycle_joint_vy,june_holdout,0.0019612557464845,0.0359907559767844,-0.0288434245883675
bicycle_joint_vy,june_train,0.0015580445842511,0.041456786401528,0.0209032409621421
bicycle_joint_vy,train,0.0033422536957404365,,
bicycle_joint_vy,validation,0.0032038770093283002,,
bicycle_ratio_lag,june_evaluation,0.0022150918598549,0.3416763341987308,-0.2657355835329549
bicycle_ratio_lag,june_holdout,0.0018499603426788,0.2516674389166523,-0.1023881184027731
bicycle_ratio_lag,june_train,0.0014257390784729,0.2431588429902801,0.0292579825219987
bicycle_ratio_lag,train,0.0031413772205067456,,
bicycle_ratio_lag,validation,0.0031554809851332597,,
filter_bank_0.0001,june_evaluation,0.00221101556227,,
filter_bank_0.0001,june_holdout,0.0016507347365021,,
filter_bank_0.0001,june_train,0.0010280322474044,,
filter_bank_0.0001,train,0.0029696899016532635,,
filter_bank_0.0001,validation,0.00298858542905312,,
filter_bank_0.001,june_evaluation,0.0021805932597214,,
filter_bank_0.001,june_holdout,0.0016467412508766,,
filter_bank_0.001,june_train,0.0010355351042041,,
filter_bank_0.001,train,0.0029858380566456,,
filter_bank_0.001,validation,0.0030112136652182203,,
filter_bank_0.01,june_evaluation,0.0021471730692662,,
filter_bank_0.01,june_holdout,0.0016504982062645,,
filter_bank_0.01,june_train,0.0011059285353769,,
filter_bank_0.01,train,0.0030453856388321906,,
filter_bank_0.01,validation,0.00305274725868152,,
filter_bank_0.1,june_evaluation,0.002160308436776,,
filter_bank_0.1,june_holdout,0.001782128854939,,
filter_bank_0.1,june_train,0.0014068576995166,,
filter_bank_0.1,train,0.0032310512099477454,,
filter_bank_0.1,validation,0.00326514092468774,,
filter_bank_1.0,june_evaluation,0.0025182942406845,,
filter_bank_1.0,june_holdout,0.0019673878633517,,
filter_bank_1.0,june_train,0.0020716313952519,,
filter_bank_1.0,train,0.0035841130772361453,,
filter_bank_1.0,validation,0.00399102953702782,,
filter_bank_10.0,june_evaluation,0.0065702951334725,,
filter_bank_10.0,june_holdout,0.0038085527560679,,
filter_bank_10.0,june_train,0.0052987162566593,,
filter_bank_10.0,train,0.004859082749552382,,
filter_bank_10.0,validation,0.004680984392110401,,
filter_bank_100.0,june_evaluation,0.0182086517723032,,
filter_bank_100.0,june_holdout,0.0067467427815449,,
filter_bank_100.0,june_train,0.0142088256221039,,
filter_bank_100.0,train,0.010052766930259019,,
filter_bank_100.0,validation,0.00774176630568814,,
nominal,june_evaluation,0.0105207757330671,0.2776205965358779,-0.2560221860579279
nominal,june_holdout,0.0119774750765344,0.0925450117834431,-0.0566145490453795
nominal,june_train,0.0119077100137528,0.0777922272521186,0.0152146918518798
nominal,train,0.006315065212843072,,
nominal,validation,0.00550696699075452,,
previous_yaw,june_evaluation,0.0024510227436924,0.2525523893701465,-0.2379021891182801
previous_yaw,june_holdout,0.0016566319206909,0.0338888224221383,-0.0188682923079605
previous_yaw,june_train,0.0016578912257991,0.0524345196139893,0.0189941725227308
previous_yaw,train,0.0037660297991281276,,
previous_yaw,validation,0.0038403335652742003,,
understeer_lag,june_evaluation,0.0025186174540843,,
understeer_lag,june_holdout,0.0020565390121221,,
understeer_lag,june_train,0.0016508917846504,,
understeer_lag,train,0.0032731447214927457,,
understeer_lag,validation,0.0033688803541804,,
