model,split,drive,samples,yawRmseRadps,yawBiasRadps,vyRmseMps,vyBiasMps
nominal,june_evaluation,raw_data_2024-06-07-12-09-31_0,4460,0.010520775733067166,0.005206964814256592,0.2776205965358779,-0.2560221860579279
nominal,june_holdout,raw_data_2024-06-07-12-11-24_0,1591,0.011977475076534447,0.0059021979289757475,0.09254501178344317,-0.05661454904537958
nominal,june_train,raw_data_2024-06-07-12-11-24_0,1114,0.011907710013752874,0.0025394500406806624,0.07779222725211865,0.01521469185187987
nominal,train,raw_data_2024-05-21-11-46-26_0,732,0.002163533441134675,0.0009892577746038634,,
nominal,train,raw_data_2024-05-21-11-47-02_0,1360,0.002713759317660535,0.0013535109952358248,,
nominal,train,raw_data_2024-05-21-11-49-00_0,1803,0.006987586540679781,-0.0007011122783870026,,
nominal,train,raw_data_2024-05-21-11-50-00_0,1131,0.0031100260441298843,0.0022542379533659067,,
nominal,train,raw_data_2024-05-21-11-53-04_0,1560,0.003513154206810718,-0.0016632550592416701,,
nominal,train,raw_data_2024-05-21-12-02-39_0,2100,0.005589069073092564,0.004847512064325296,,
nominal,train,raw_data_2024-05-21-12-04-05_0,1522,0.009168296952573806,0.0076427081968375886,,
nominal,train,raw_data_2024-05-21-12-04-51_0,136,0.0030392674935056404,-0.0022963333606457227,,
nominal,train,raw_data_2024-05-21-12-06-03_0,2957,0.013751926669087935,0.00670883109617643,,
nominal,train,raw_data_2024-05-21-12-08-47_0,478,0.007322716197614293,-0.0019446384590769599,,
nominal,train,raw_data_2024-05-21-12-11-36_0,1716,0.012106381404984523,0.009172057036205336,,
nominal,validation,raw_data_2024-05-21-11-45-43_0,1166,0.002123986997155389,-0.0002138588200877963,,
nominal,validation,raw_data_2024-05-21-11-47-40_0,1439,0.0027424612254270705,0.0015064053006714978,,
nominal,validation,raw_data_2024-05-21-11-50-48_0,379,0.006514654336412834,-0.0010569996311539933,,
nominal,validation,raw_data_2024-05-21-12-03-40_0,464,0.008886677659341358,-0.0046057487474144955,,
nominal,validation,raw_data_2024-05-21-12-09-13_0,1050,0.00726705473543626,0.0028770059238186294,,
