model,split,subset,samples,accelerationRmseMps2,biasMps2
net_torque,june_calibration,all,688,0.26365211888600093,-0.1410557084546159
net_torque,june_calibration,traction,207,0.21109238499376498,0.001640593921890305
net_torque,june_evaluation,all,991,0.25607268702508035,0.0718723834204438
net_torque,june_evaluation,traction,762,0.2821931477676354,0.10195581373322957
net_torque,train,all,3617,0.23596713698729174,-0.008360768197227933
net_torque,train,traction,2179,0.2112647223018574,0.07863527154085699
net_torque,validation,all,1084,0.17330146476428357,-0.02488790219258043
net_torque,validation,traction,592,0.16201866296058132,0.029769410169976182
free_brake_gain,june_calibration,all,688,0.2915016632796513,-0.14034497172623517
free_brake_gain,june_calibration,traction,207,0.25298911289798587,0.03897721802714466
free_brake_gain,june_evaluation,all,991,0.2812576528558864,0.08342063569940995
free_brake_gain,june_evaluation,traction,762,0.3079743084151812,0.12760149028216755
free_brake_gain,train,all,3617,0.25007571632102554,-0.001430057221913045
free_brake_gain,train,traction,2179,0.22889130482369718,0.0976906306460138
free_brake_gain,validation,all,1084,0.18883008890113356,0.005395762063454826
free_brake_gain,validation,traction,592,0.16457046033242015,0.0406024003375754
traction_only,june_calibration,all,688,0.4085023713069487,-0.28226070994891916
traction_only,june_calibration,traction,207,0.27969942168575357,-0.03293102193015956
traction_only,june_evaluation,all,991,0.28573405254014284,-0.014766257110334023
traction_only,june_evaluation,traction,762,0.2948632368385954,0.04561211112165435
traction_only,train,all,3617,0.3304145113807732,-0.13175479967102008
traction_only,train,traction,2179,0.2191091286955399,0.015761682842813655
traction_only,validation,all,1084,0.3246488308272737,-0.1914127748506185
traction_only,validation,traction,592,0.16913828062309028,-0.04506511651820538
