model,replicate,massKg,brakeGain
net_torque,0,2604.9570629620493,1.0
net_torque,1,2522.2670059391235,1.0
net_torque,2,2567.3164029904765,1.0
net_torque,3,2373.0324708912744,1.0
net_torque,4,2539.030417959352,1.0
net_torque,5,2465.556033710216,1.0
net_torque,6,2525.4536101059393,1.0
net_torque,7,2552.659096604163,1.0
net_torque,8,2527.5174699093077,1.0
net_torque,9,2512.987971969372,1.0
net_torque,10,2403.474534877472,1.0
net_torque,11,2523.0180171108864,1.0
net_torque,12,2556.889333769972,1.0
net_torque,13,2560.1799848876985,1.0
net_torque,14,2502.7546171932413,1.0
net_torque,15,2322.6510042558907,1.0
net_torque,16,2550.7415092615856,1.0
net_torque,17,2511.1407766305274,1.0
net_torque,18,2575.527487324668,1.0
net_torque,19,2521.1735057930277,1.0
net_torque,20,2521.855941976503,1.0
net_torque,21,2542.7577267687457,1.0
net_torque,22,2526.18631468955,1.0
net_torque,23,2526.5686791869075,1.0
net_torque,24,1992.1138735804911,1.0
net_torque,25,2554.8672612503165,1.0
net_torque,26,2541.208160303407,1.0
net_torque,27,2337.8138359868417,1.0
net_torque,28,2479.2262333772446,1.0
net_torque,29,2400.0731998749197,1.0
net_torque,30,2562.5811511494203,1.0
net_torque,31,2602.5934865570816,1.0
net_torque,32,2505.6660352837393,1.0
net_torque,33,2552.1286271477693,1.0
net_torque,34,2538.96872613337,1.0
net_torque,35,2343.516370001639,1.0
net_torque,36,2519.494477737942,1.0
net_torque,37,2590.9343743165073,1.0
net_torque,38,2543.3075986063527,1.0
net_torque,39,2515.974577392652,1.0
net_torque,40,2514.3022313242564,1.0
net_torque,41,2522.212186690753,1.0
net_torque,42,2538.3081226393897,1.0
net_torque,43,2459.3278635819806,1.0
net_torque,44,2424.917186404765,1.0
net_torque,45,2532.187080264432,1.0
net_torque,46,2502.0311248271273,1.0
net_torque,47,2586.0288171611937,1.0
net_torque,48,2441.6065871284422,1.0
net_torque,49,2547.0228063583595,1.0
net_torque,50,2560.020947447078,1.0
net_torque,51,2570.928353319962,1.0
net_torque,52,2531.574061012958,1.0
net_torque,53,2557.648036313663,1.0
net_torque,54,2290.2009812216693,1.0
net_torque,55,2515.1789231357766,1.0
net_torque,56,2472.908443030313,1.0
net_torque,57,2569.736267973415,1.0
net_torque,58,2528.237282152812,1.0
net_torque,59,2484.0443584819354,1.0
net_torque,60,2521.1202261856974,1.0
net_torque,61,2541.855470029511,1.0
net_torque,62,2524.926880155084,1.0
net_torque,63,2253.673521609715,1.0
net_torque,64,2527.9213544635654,1.0
net_torque,65,2594.0252773324482,1.0
net_torque,66,2473.3292321997446,1.0
net_torque,67,2367.414527544677,1.0
net_torque,68,2522.523158504557,1.0
net_torque,69,2496.073459286045,1.0
net_torque,70,2235.377070357098,1.0
net_torque,71,2565.822159112306,1.0
net_torque,72,2521.3599702246884,1.0
net_torque,73,2509.5595886196934,1.0
net_torque,74,2322.619160441273,1.0
net_torque,75,2574.165178981467,1.0
net_torque,76,2248.4167901953547,1.0
net_torque,77,2556.56992707503,1.0
net_torque,78,2552.5638669761474,1.0
net_torque,79,2558.846393091695,1.0
net_torque,80,2518.8714841423575,1.0
net_torque,81,2554.6947718755937,1.0
net_torque,82,2532.3107208972942,1.0
net_torque,83,2480.927853306533,1.0
net_torque,84,2580.9291249682396,1.0
net_torque,85,2558.0680118823584,1.0
net_torque,86,2352.7027984552665,1.0
net_torque,87,2357.395043899343,1.0
net_torque,88,2519.113073889587,1.0
net_torque,89,2482.2189014207424,1.0
net_torque,90,2555.716692355469,1.0
net_torque,91,2536.386615258277,1.0
net_torque,92,2535.6587836066274,1.0
net_torque,93,2526.451063977583,1.0
net_torque,94,2547.3391080803426,1.0
net_torque,95,2522.055969098735,1.0
net_torque,96,2424.0862684743124,1.0
net_torque,97,2452.920665567405,1.0
net_torque,98,2536.840487564336,1.0
net_torque,99,2538.9597754939773,1.0
net_torque,100,2543.570063906881,1.0
net_torque,101,2553.5114606393226,1.0
net_torque,102,2234.0113208508897,1.0
net_torque,103,2535.8202031386604,1.0
net_torque,104,2308.45377284254,1.0
net_torque,105,2289.2778144676495,1.0
net_torque,106,2404.9502147535395,1.0
net_torque,107,2500.019705347389,1.0
net_torque,108,2449.9668529794862,1.0
net_torque,109,2476.9201757294563,1.0
net_torque,110,2561.5630274399946,1.0
net_torque,111,2561.2171310748267,1.0
net_torque,112,2579.3440495290474,1.0
net_torque,113,2451.750945876614,1.0
net_torque,114,2518.353215765715,1.0
net_torque,115,2510.389493520093,1.0
net_torque,116,2483.004534759103,1.0
net_torque,117,2538.19807058374,1.0
net_torque,118,2456.5452010697927,1.0
net_torque,119,2474.4410243252346,1.0
net_torque,120,2470.5764337178707,1.0
net_torque,121,2588.884390183743,1.0
net_torque,122,2497.2811977519127,1.0
net_torque,123,2470.83776006347,1.0
net_torque,124,2467.945749219506,1.0
net_torque,125,2546.895128385545,1.0
net_torque,126,2564.805142162797,1.0
net_torque,127,2640.7689664177947,1.0
net_torque,128,2517.085059827109,1.0
net_torque,129,2493.648373676561,1.0
net_torque,130,2415.069886071816,1.0
net_torque,131,2582.670594633843,1.0
net_torque,132,2441.9369196197413,1.0
net_torque,133,2537.73389477979,1.0
net_torque,134,2583.979253043476,1.0
net_torque,135,2521.4121741411755,1.0
net_torque,136,2481.5984937598732,1.0
net_torque,137,2521.2209391767537,1.0
net_torque,138,2355.5425123855784,1.0
net_torque,139,2421.1446824269497,1.0
net_torque,140,2360.249737769043,1.0
net_torque,141,2546.5958853993857,1.0
net_torque,142,2545.863396065539,1.0
net_torque,143,2508.6559787986325,1.0
net_torque,144,2445.3179186291836,1.0
net_torque,145,2510.8912769603185,1.0
net_torque,146,2506.509344410297,1.0
net_torque,147,2539.2810289010245,1.0
net_torque,148,2551.5171447144667,1.0
net_torque,149,2603.863437840249,1.0
free_brake_gain,0,1968.988849092758,0.5019668129763181
free_brake_gain,1,2229.7192765215977,0.6812470112779816
free_brake_gain,2,2269.870188094587,0.6955946148896732
free_brake_gain,3,2180.5152993677266,0.6467639788871238
free_brake_gain,4,2083.9601536104956,0.41319691559445587
free_brake_gain,5,2173.1047557255156,0.5551547250658687
free_brake_gain,6,2292.604878397153,0.7146386943134511
free_brake_gain,7,2000.8460462077962,0.4544295673852551
free_brake_gain,8,1750.2380748032247,0.33745209293255474
free_brake_gain,9,2268.140022025558,0.6625845694050232
free_brake_gain,10,2262.7083737413905,0.6275276506772127
free_brake_gain,11,1983.5661512213057,0.5581748001597217
free_brake_gain,12,2258.7996687781883,0.7325441730023379
free_brake_gain,13,2154.7489037097544,0.6209699677404391
free_brake_gain,14,2302.5058006629215,0.5902973160208239
free_brake_gain,15,2254.7848477721923,0.6738511276940743
free_brake_gain,16,2339.504055712752,0.6839384231830952
free_brake_gain,17,2249.3414598703257,0.6887681738396236
free_brake_gain,18,2280.4923608508534,0.6733843082217847
free_brake_gain,19,2192.2529038946077,0.6392715720831115
free_brake_gain,20,2244.7984371796797,0.6484935271399426
free_brake_gain,21,2199.186152828534,0.6327487807025498
free_brake_gain,22,2284.2214783956224,0.7006096954222376
free_brake_gain,23,2046.3982282343763,0.5961443891625119
free_brake_gain,24,2238.126464164696,0.6794539256041691
free_brake_gain,25,2320.2928364902796,0.6825653141435951
free_brake_gain,26,2337.426123862154,0.7517522408995507
free_brake_gain,27,2195.9219599773933,0.6210911827235271
free_brake_gain,28,2289.5871850861377,0.6514811108380076
free_brake_gain,29,1964.301271051992,1.4430248860487735e-18
free_brake_gain,30,2194.074617496416,0.5826992183327938
free_brake_gain,31,2195.1084359637,0.6403135597076937
free_brake_gain,32,2195.7253899797097,0.6481712842224268
free_brake_gain,33,2235.7915199453228,0.6189686863484687
free_brake_gain,34,1318.3149767879986,3.1147503995889107e-20
free_brake_gain,35,2082.039061657204,0.6098346332305877
free_brake_gain,36,2368.070912900268,0.7758364959946299
free_brake_gain,37,2097.83567506344,0.5828920206300531
free_brake_gain,38,2016.0628641206715,0.5799775093858867
free_brake_gain,39,2227.459285410064,0.6658331395548779
free_brake_gain,40,2348.071634564818,0.7678064907446126
free_brake_gain,41,2250.5254843393927,0.7069326805824262
free_brake_gain,42,1936.8489319128146,0.45544225870374994
free_brake_gain,43,2302.236215240765,0.7439286630463761
free_brake_gain,44,2304.1260477617107,0.7799357433938061
free_brake_gain,45,2183.739141618937,0.6239272212109831
free_brake_gain,46,2275.382926200853,0.6880225482489557
free_brake_gain,47,2177.8868124769215,0.6019650103098918
free_brake_gain,48,2185.463579851173,0.6346452777987484
free_brake_gain,49,2254.59795132529,0.6528890345851682
free_brake_gain,50,2361.7812646269845,0.7962759118176744
free_brake_gain,51,2027.6682351559791,0.42166142787086575
free_brake_gain,52,2100.1315729684247,0.5922412368713821
free_brake_gain,53,1992.7024403836435,0.5552230562076759
free_brake_gain,54,2263.710963968998,0.6008586880038077
free_brake_gain,55,2104.5368794261312,0.5628119307310693
