family,start,cost,success,parameters
bicycle_fixed_ratio,0,0.00039497329803225167,True,"[2.527789647318777, 2.383899661853629, -0.7193043512634663, 0.04187032769925339, 16.2, 0.0]"
bicycle_fixed_ratio,1,0.000394973298965681,True,"[2.5278179148558295, 2.3839298309364287, -0.7192805796073856, 0.0418703289678548, 16.2, 0.0]"
bicycle_fixed_ratio,2,0.00039497329883124487,True,"[2.52781383405852, 2.383925475278974, -0.7192840478714383, 0.041870328775199354, 16.2, 0.0]"
bicycle_fixed_ratio,3,0.0003949732970095534,True,"[2.5277515057409508, 2.3838589474730583, -0.7193368721056443, 0.04187032559012557, 16.2, 0.0]"
bicycle_fixed_ratio,4,0.00039497329884029617,True,"[2.5278141783096615, 2.3839258429075696, -0.7192837434872151, 0.04187032880186172, 16.2, 0.0]"
bicycle_ratio_lag,0,0.0003798646300474984,True,"[5.068419888877162, 5.986513959921695, 1.2133306427843495, 0.04198570480990333, 16.469786900482372, 0.044220698032511094]"
bicycle_ratio_lag,1,0.00035060585524852476,True,"[2.593339612154779, 2.4495767755232634, -1.203972804325936, 0.0418441021127097, 16.29955360992249, 0.043937377314499586]"
bicycle_ratio_lag,2,0.0003506058543853462,True,"[2.593452081505777, 2.4496960022458487, -1.203972804325936, 0.04184409913502344, 16.29956408797256, 0.043941481518103516]"
bicycle_ratio_lag,3,0.00035060585437755886,True,"[2.5934654919415325, 2.4497105004884285, -1.203972804325936, 0.04184409632301421, 16.299561233952762, 0.04394204554336815]"
bicycle_ratio_lag,4,0.00037986387027737944,True,"[5.06996272471167, 5.991398270299459, 1.2155336156496284, 0.041985707996286384, 16.469759899669164, 0.0442246396948]"
bicycle_joint_vy,0,0.0005457397129155861,True,"[4.000622447025086, 4.117326157295679, 0.6798054841634871, 0.041301075358259644, 16.2, 0.0]"
bicycle_joint_vy,1,0.000545739713616882,True,"[4.000621752797203, 4.117326594490802, 0.6797947775726404, 0.04130106298765319, 16.2, 0.0]"
bicycle_joint_vy,2,0.0005457397133780625,True,"[4.000621909072924, 4.117326346285136, 0.6797983197691451, 0.04130106615715168, 16.2, 0.0]"
bicycle_joint_vy,3,0.0005457397134966341,True,"[4.00062194620081, 4.11732670449546, 0.6797960275015589, 0.04130106526481575, 16.2, 0.0]"
bicycle_joint_vy,4,0.0005457397129298918,True,"[4.00062373801522, 4.117329111272826, 0.6797976228376469, 0.04130107968303627, 16.2, 0.0]"
