scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,11690,0.11871111853985,0.0692693894655178,0.237246313103139,0.454714736553834,0.704619332763045,0.548023996676687,10824,0,1.718443
both,outage_40_60,2000,0.0755275428944021,0.0496279150789407,0.151802987852429,0.238665381759773,0.811,0.202776926710842,1989,0,1.718443
both,recovery_60_70,1000,0.113735939481137,0.0799720787082298,0.216840154956941,0.266471773189778,0.613,0.460056329327294,945,0,1.718443
lidar_only,full,11690,0.235444785782322,0.0797730399709421,0.305617321388792,1.81816727346881,0.645337895637297,0.333811381030175,0,865,0.838828
lidar_only,outage_40_60,2000,0.0832862552071729,0.0570576830751025,0.164842643675727,0.255909566750715,0.775,0.202935522541925,0,11,0.838828
lidar_only,recovery_60_70,1000,0.130035066685266,0.091009236020091,0.243280729035929,0.304088790077798,0.556,0.461846277828218,0,55,0.838828
gnss_only,full,11690,0.302563423480404,0.192288256344989,0.585645685412792,0.784953379379617,0.282207014542344,1.43952856350087,0,1,1.291571
gnss_only,outage_40_60,2000,0.138663766635684,0.098857979254623,0.207032572032871,0.20941384061367,0.5025,1.03010656451471,0,0,1.291571
gnss_only,recovery_60_70,1000,0.164495973533002,0.134994918044151,0.268213035025093,0.271074812393436,0.319,1.50803349845536,0,0,1.291571
gnss_outage,full,11690,0.119622160132034,0.0701805070249854,0.238272110240459,0.454714736553834,0.698460222412318,0.548034040338151,8835,11,1.579978
gnss_outage,outage_40_60,2000,0.0832849674744925,0.0570576845850977,0.16484264439617,0.25590952226779,0.775,0.202935522553206,1,11,1.579978
gnss_outage,recovery_60_70,1000,0.114062173258249,0.0799233014220192,0.216840346194968,0.266471773189778,0.613,0.460056329327294,944,0,1.579978
lidar_outage,full,11690,0.126682794469138,0.0752143539076627,0.236750449435027,0.455462712334063,0.660564585115483,0.571555906160541,8845,0,1.744647
lidar_outage,outage_40_60,2000,0.133577774604902,0.0862578443157621,0.21242401524135,0.222303014886056,0.53,0.449321716766348,11,0,1.744647
lidar_outage,recovery_60_70,1000,0.106877827316291,0.0772138864269774,0.202237586403964,0.262796514570579,0.662,0.437930635213726,944,0,1.744647
both_outage,full,11690,0.731757689134518,0.0853423914673475,2.0852874114278,2.83168305623951,0.572027373823781,0.542819549249976,8835,1990,1.625964
both_outage,outage_40_60,2000,1.73492977399879,1.65982417580312,2.73872021766012,2.83168305623951,0.037,0.103006979766029,1,1989,1.625964
both_outage,recovery_60_70,1000,0.314921023749811,0.0823043946558818,0.257778514022672,2.81881458602677,0.613,0.447205147710402,944,1,1.625964
alternating,full,11690,0.218293139522425,0.158869196465341,0.376546628368162,0.880904346080281,0.195979469632164,0.338396515060825,291,661,1.337665
alternating,outage_40_60,2000,0.141345745401372,0.129332267775336,0.21222503408894,0.253949479146622,0.2505,0.184414930968021,56,74,1.337665
alternating,recovery_60_70,1000,0.204893178959413,0.18257098566234,0.304596371797718,0.330936196098844,0.135,0.563052295810757,0,11,1.337665
