method,timeConstant,rmseMps,biasMps,p95Mps,maximumMps,samples
robust,0.01,0.0242707559940735,-0.00168284764968434,0.0483759346677637,0.171350148286166,3790
robust,0.04,0.0248311036876655,-0.00300943344598905,0.04805000874142,0.118289745332348,3790
robust,0.08,0.0291421694487915,-0.00500100777328125,0.0536104269018249,0.111499508030423,3790
robust,0.15,0.040484219463042,-0.00863708079856055,0.0743964970207607,0.110801686790431,3790
mean,0.01,0.0246255582312275,-0.00168186202163247,0.0483759346677637,0.225997352314204,3790
mean,0.04,0.0249090866029756,-0.00301733899026545,0.04805000874142,0.141641129572928,3790
mean,0.08,0.0291643947807961,-0.00501154432667923,0.0536104269018249,0.111499508030423,3790
mean,0.15,0.0404853481343814,-0.00864884429594384,0.0743817737993027,0.110801686790431,3790
rear,0.01,0.0272347833774554,-0.00285579312465657,0.0495619533160454,0.354084512742828,3790
rear,0.04,0.0250431455948185,-0.00429057877872631,0.0465981935399959,0.204348405192384,3790
rear,0.08,0.0286977158075433,-0.0062907359917645,0.0516544851777834,0.134104799346211,3790
rear,0.15,0.0399486283900771,-0.00991733554449895,0.0731338170890492,0.109410455337587,3790
