name,noisy,theta,yawGain,kPosition,kVelocity,kAcceleration,certificateMargin,certificatePassed,peakVelocityErrorMps,peakAccelerationErrorMps2,peakHeadingErrorDeg,positionRmseM,velocityRmseMps,accelerationRmseMps2,headingRmseDeg,settlingTimeSec,passed
reference,0,20,0.5,3,3,1,8.20763071909544,1,22.1788154298152,130.958918471153,44.018728745645,5.43807051620223e-09,1.46827551749408e-07,1.11478626640909e-06,0.00149126959116125,0.95,1
reference,1,20,0.5,3,3,1,8.20763071909544,1,22.7241242439914,134.165531693507,44.9350814354026,0.0507427623644841,0.0556727742966101,0.066678935020984,0.313661088262516,0.89,1
theta16,0,16,0.5,3,3,1,4.20697209620205,1,17.7868237976013,83.5657392396469,41.3836340553077,3.43905232068234e-09,7.45384351212964e-08,4.58878323790066e-07,0.00149130131738795,0.91,1
theta16,1,16,0.5,3,3,1,4.20697209620205,1,18.2281800751269,85.5867896083106,42.2692119499408,0.0507450897179067,0.055984076790506,0.0664283656009612,0.315697077973549,0.86,1
theta14,0,14,0.5,3,3,1,2.20641207549787,1,15.6111548174894,64.1548960232872,39.6398462459332,2.6276665817736e-09,5.01784760182628e-08,2.76212241685798e-07,0.00149131524412579,0.87,1
theta14,1,14,0.5,3,3,1,2.20641207549787,1,15.9947620626361,65.7114568156802,40.5087209793021,0.0507478494654315,0.0562441673873546,0.0662185207706615,0.317392165867384,0.83,1
theta12,0,12,0.5,3,3,1,0.205549287736565,1,13.346813756751,47.2359910628381,37.563079651473,1.94361552119702e-09,3.24233393145884e-08,1.61913320304004e-07,0.00149132849303974,0.94,1
theta12,1,12,0.5,3,3,1,0.205549287736565,1,13.6722234834,48.3681142396038,38.4010994521497,0.0507534773108917,0.056636702069,0.0658998878483256,0.319940785195113,0.94,1
theta10_rejected,0,10,0.5,3,3,1,-1.79588145500398,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
theta10_rejected,1,10,0.5,3,3,1,-1.79588145500398,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
shaped8,0,8,0.5,6,8,3,0.148783951217288,1,12.1196452210352,33.7778053721569,33.7379052016765,4.12814870934938e-09,5.54447925573275e-08,2.00935058565708e-07,0.00149132839234029,1.26,1
shaped8,1,8,0.5,6,8,3,0.148783951217288,1,12.4193388743588,34.5985718899772,34.5157079717656,0.0507589521543409,0.0572859432813942,0.0644610727818261,0.324074754712768,1.24,1
shaped8_yaw01,0,8,0.1,6,8,3,0.148783951217288,1,12.1196452210352,33.7778053721569,15.9970381435486,4.12814870934938e-09,5.54447925573275e-08,2.00935058565708e-07,0.00158572568627198,3.57,1
shaped8_yaw01,1,8,0.1,6,8,3,0.148783951217288,1,12.4193388743588,34.5985718899772,16.240662537578,0.0507589521543409,0.0572859432813942,0.0644610727818261,0.1820409839134,3.51,1
shaped8_yaw02,0,8,0.2,6,8,3,0.148783951217288,1,12.1196452210352,33.7778053721569,21.2378724009113,4.12814870934938e-09,5.54447925573275e-08,2.00935058565708e-07,0.00152532753722704,1.98,1
shaped8_yaw02,1,8,0.2,6,8,3,0.148783951217288,1,12.4193388743588,34.5985718899772,21.6709126081915,0.0507589521543409,0.0572859432813942,0.0644610727818261,0.266634482349215,1.86,1
shaped8b,0,8,0.2,8,12,4,0.338090289469882,1,13.6394168188796,34.5107451119646,21.1389432879057,7.87539976608928e-09,1.14081647950548e-07,3.44473232837136e-07,0.00152532019057312,1.98,1
shaped8b,1,8,0.2,8,12,4,0.338090289469882,1,13.9790491593075,35.359237167804,21.5644622794715,0.0507555773071289,0.0571992139642158,0.06311323176427,0.266115458605499,1.85,1
