frame,timeSeconds,rosStamp,referenceX,referenceY,referencePsi,predictedX,predictedY,predictedPsi,x,y,psi,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi,directionalAccepted,clockModelId
1,0,1717776571.61581,484201.072914107,4977500.92147539,-2.14078739241383,484201.572914107,4977500.52147539,-2.10588080737395,484201.572914107,4977500.52147539,-2.10588080737395,0,insufficientComponents,0.640312423976002,2,0,0,0,0,317.497,297.458,18.268,1.096,10.80222,0,0,0,0,0,0,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
2,0.0998559667310051,1717776571.70735,484201.07302691,4977500.92158158,-2.14078978613332,484201.573010608,4977500.52141818,-2.10591833274973,484201.02019596,4977500.84596626,-2.13838007925393,1,accepted,0.0922430870503347,0.138066034052624,0.246927418456218,3,8,27,229.303,130.437,97.267,0.64,10.80222,4.23884961705288,-0.356657157953018,45.0430030098981,5.3512815787098,-32.0122320386937,1709.02096894918,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
3,0.200121057709047,1717776571.79926,484201.073042103,4977500.92173931,-2.14077014957213,484201.020346917,4977500.84587001,-2.13842453766514,484201.022639744,4977500.84396456,-2.13899558128045,1,accepted,0.0926785257788798,0.101675273571265,0.321421527166777,3,4,33,182.54,149.522,32.01,0.336,10.80222,5.83790891532826,-0.602823569058995,53.370187676159,7.31075029668534,-39.1504231665806,2392.221287854,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
4,0.299872987759305,1717776571.8907,484201.073104978,4977500.92190698,-2.14077473635988,484201.022961168,4977500.84375934,-2.13904656593396,484201.031285209,4977500.83931901,-2.13886338468625,1,accepted,0.0925724873489899,0.109512384064188,0.40700302607746,3,4,34,283.048,238.359,41.969,0.157,10.80222,7.48821951658706,-0.731866971760826,67.2079709096826,9.37655377992443,-50.0541732126561,3087.73218639488,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
5,0.39948784948268,1717776571.98201,484201.07328077,4977500.92205501,-2.14077815066427,484201.032197404,4977500.83873672,-2.13898467639403,484201.03491387,4977500.83517572,-2.13893388880993,1,accepted,0.0949738347918856,0.10566842057051,0.502774892055714,3,4,35,103.746,92.907,8.513,1.111,10.80222,9.12700920216977,-0.89872619693275,78.891262907849,11.3765782177947,-59.127193145322,3720.18764642103,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
6,0.499382309785561,1717776572.07358,484201.07333889,4977500.92231551,-2.14076295886164,484201.035995056,4977500.83448553,-2.13898398824798,484201.043557217,4977500.82397973,-2.138518607395,1,accepted,0.102746649836902,0.128591866782693,0.49596637268329,3,4,35,99.919,82.892,16.231,0.073,10.80222,9.23919539759228,-0.975479534482162,72.39610588627,11.3150159522569,-55.4331470522987,3562.44282982232,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
7,0.599357398516022,1717776572.16522,484201.073280711,4977500.92234748,-2.1407564392376,484201.044517505,4977500.82336728,-2.13853539796814,484201.043609719,4977500.81763622,-2.13817141106826,1,accepted,0.108833888504123,0.148111204025333,0.461627538075184,3,4,33,94.835,85.656,8.919,0.068,10.80222,9.33258105816208,-1.24493406591517,74.3760872398349,11.3506287327936,-60.0568747549814,3559.22407700608,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
8,0.699386846412172,1717776572.25692,484201.072622537,4977500.92105682,-2.14076026633545,484201.044912845,4977500.81680569,-2.13827114554436,484201.041986258,4977500.8206719,-2.13820064378929,1,accepted,0.104955765090398,0.146655569041532,0.480663073448242,3,3,34,87.749,80.466,7.089,0.068,10.80222,9.11754676881865,-1.05011822154727,73.4738895050774,11.1723501103946,-52.7350268599216,3341.56367115664,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
9,0.799663381425096,1717776572.34884,484201.070866522,4977500.91798095,-2.14074231378668,484201.04344308,4977500.81974337,-2.13827312004468,484201.036611674,4977500.81809275,-2.13813461796851,1,accepted,0.105598512159387,0.149409964635564,0.463601780792641,3,4,31,84.54,76.176,8.163,0.06,10.80222,10.0257995179148,-0.972207465501563,73.8223364100054,12.3525146980787,-56.921241495128,3564.77427499392,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
10,0.900221075567739,1717776572.44102,484201.067501287,4977500.91215501,-2.1407521995967,484201.037921595,4977500.81725797,-2.13823552091029,484201.034545487,4977500.82056812,-2.13830667382461,1,accepted,0.0973357229971645,0.140118305431414,0.475510693893259,3,3,29,87.305,79.212,7.87,0.063,10.80222,10.0782301608902,-0.985235097697237,70.5029951906768,12.5228020261355,-51.709413587877,3635.19966413448,0,10d901c3326ba355f1cceeb0ec824996a54645f65eea8b644a14d69490d91dcc
