scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
both,full,1169,0.0604908610494191,0.0413934021105683,0.103133306888813,0.640312423976002,0.947818648417451,0.400716130252329,1168,0,12.621687
both,outage_40_60,199,0.0348380220116699,0.029022011453008,0.0578390439230383,0.0669019781127265,1,0.272730488579071,199,0,12.621687
both,recovery_60_70,100,0.049942154684245,0.0396567799561684,0.0808041884815477,0.087979653269996,1,0.478564991642706,100,0,12.621687
lidar_only,full,1169,0.187778013563952,0.136242321919818,0.389003825332366,0.705634405938985,0.3464499572284,0.508698977465706,0,1,7.951239
lidar_only,outage_40_60,199,0.101261121248838,0.0600114579621764,0.218597149663418,0.235938437672126,0.738693467336683,0.319767661343942,0,0,7.951239
lidar_only,recovery_60_70,100,0.0865912332585568,0.0766745990984133,0.126755168296277,0.165588822402475,0.69,0.521179081403345,0,0,7.951239
gnss_only,full,1169,0.063270137927376,0.0464994702963281,0.111925891698274,0.640312423976002,0.937553464499572,1.34397802975042,0,0,0.092936
gnss_only,outage_40_60,199,0.0427951703609707,0.0422951510081499,0.0547335318130451,0.099941716063649,1,1.10224916941266,0,0,0.092936
gnss_only,recovery_60_70,100,0.0581087170326967,0.0426105692059161,0.126155804047798,0.140950778546496,0.9,1.07759048897573,0,0,0.092936
gnss_outage,full,1169,0.0676361936086268,0.0454848835592858,0.130200944030651,0.640312423976002,0.909324208725406,0.400793347651362,969,0,12.432023
gnss_outage,outage_40_60,199,0.0811483633222443,0.0536028532736568,0.157372737823479,0.1967730581493,0.773869346733668,0.273396240557063,0,0,12.432023
gnss_outage,recovery_60_70,100,0.0500772499054198,0.0396380001448701,0.08106733328732,0.0879446183806566,1,0.478564955571166,100,0,12.432023
lidar_outage,full,1169,0.0612437263253909,0.0449139861020378,0.103137866234025,0.640312423976002,0.947818648417451,0.385656945475556,969,0,10.607815
lidar_outage,outage_40_60,199,0.0448725780633848,0.0454681434338695,0.0521555905197749,0.0666132350956449,1,0.172221500210507,0,0,10.607815
lidar_outage,recovery_60_70,100,0.045850189022407,0.0349512138208083,0.0746536415647168,0.0852565637536137,1,0.423775410036045,100,0,10.607815
both_outage,full,1169,0.237156411847898,0.0498652239348871,0.566274806354661,1.03071365140706,0.786997433704021,0.381912062917777,969,199,10.683413
both_outage,outage_40_60,199,0.552577130575159,0.509444075925365,0.974898764596921,1.03071365140706,0.085427135678392,0.102881207300557,0,199,10.683413
both_outage,recovery_60_70,100,0.110070189138155,0.0349513243039247,0.1499717249583,0.720619313927136,0.94,0.428886765434338,100,0,10.683413
alternating,full,1169,0.166336351877683,0.125958938939428,0.310813329163196,0.640312423976002,0.37382378100941,0.467487002952691,0,0,4.11321
alternating,outage_40_60,199,0.121683284792211,0.110396732631806,0.188088768090811,0.242269678031877,0.391959798994975,0.339809927918216,0,0,4.11321
alternating,recovery_60_70,100,0.109901155401612,0.0886384780579372,0.167973454486018,0.214121423397712,0.55,0.453367690089098,0,0,4.11321
